COD_CIDADE,Região de Saúde,2019,2020,2021,2022,2023
1,. Cruzeiro,278.0,359.0,92.0,570.0,199.0
2,. Lago Norte,422.0,512.0,299.0,702.0,283.0
3,. Lago Sul,300.0,460.0,127.0,529.0,223.0
4,. Plano Piloto,1658.0,2008.0,607.0,1896.0,1047.0
5,. Sudoeste Octogonal,220.0,179.0,91.0,239.0,146.0
6,. Varjão,662.0,126.0,42.0,203.0,84.0
7,. Candangolândia,365.0,261.0,43.0,263.0,101.0
8,. Estrutural,563.0,237.0,188.0,671.0,353.0
9,. Guará,1828.0,2887.0,481.0,2296.0,745.0
10,. Núcleo Bandeirante,591.0,251.0,88.0,300.0,143.0
11,. Park Way,280.0,202.0,37.0,193.0,92.0
12,. Riacho Fundo I,834.0,568.0,112.0,561.0,283.0
13,. Riacho Fundo II,384.0,515.0,109.0,848.0,1023.0
14,. SIA,6.0,14.0,12.0,11.0,8.0
15,. Jardim Botânico,227.0,443.0,172.0,503.0,309.0
16,. Itapoã,2439.0,568.0,456.0,779.0,551.0
17,. Paranoá,2947.0,656.0,705.0,1849.0,1006.0
18,. São Sebastião,3129.0,2736.0,1063.0,3417.0,2099.0
19,. Fercal,519.0,257.0,61.0,140.0,49.0
20,. Planaltina,5667.0,2577.0,3395.0,4359.0,2164.0
21,. Sobradinho,1781.0,2570.0,1613.0,3021.0,1694.0
22,. Sobradinho II,2546.0,2735.0,1013.0,2337.0,725.0
23,. Brazlândia,1310.0,648.0,177.0,1680.0,2545.0
24,. Ceilândia,4163.0,5249.0,1640.0,11499.0,5280.0
25,. Águas Claras,862.0,1190.0,388.0,1560.0,743.0
26,. Recanto Das Emas,1995.0,1384.0,404.0,2260.0,2566.0
27,. Samambaia,2547.0,3422.0,1152.0,6575.0,3518.0
28,. Taguatinga,1951.0,3425.0,703.0,4483.0,2169.0
29,. Vicente Pires,721.0,1986.0,495.0,2491.0,1099.0
30,. Gama,910.0,4735.0,244.0,1087.0,933.0
31,. Santa Maria,885.0,3814.0,223.0,740.0,670.0
32,Angra dos Reis,1764.0,187.0,104.0,504.0,3248.0
33,Rio de janeiro,22046.0,1536.0,1255.0,7576.0,43592.0
34,Campos de Goytacazes,177.0,18.0,94.0,1142.0,8300.0
35,Valença,190.0,104.0,91.0,146.0,80.0
