Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2019,0000 UTC,0,"25,5","25,2",86.0,85.0
01/01/2019,0100 UTC,0,"25,4","25,1",87.0,86.0
01/01/2019,0200 UTC,0,"25,3",25,87.0,86.0
01/01/2019,0300 UTC,0,"25,1","24,7",89.0,87.0
01/01/2019,0400 UTC,0,25,"24,7",89.0,88.0
01/01/2019,0500 UTC,0,25,"24,7",88.0,87.0
01/01/2019,0600 UTC,0,"24,9","24,3",88.0,86.0
01/01/2019,0700 UTC,0,"25,1","24,6",86.0,83.0
01/01/2019,0800 UTC,0,"24,6","24,2",89.0,86.0
01/01/2019,0900 UTC,0,"25,7","24,2",89.0,86.0
01/01/2019,1000 UTC,0,"27,6","25,7",86.0,77.0
01/01/2019,1100 UTC,0,"29,2","27,5",77.0,71.0
01/01/2019,1200 UTC,0,"29,1",28,73.0,71.0
01/01/2019,1300 UTC,0,31,"28,7",72.0,66.0
01/01/2019,1400 UTC,0,"31,7","29,9",70.0,64.0
01/01/2019,1500 UTC,0,"31,9","29,5",71.0,62.0
01/01/2019,1600 UTC,0,31,"28,6",74.0,67.0
01/01/2019,1700 UTC,0,30,"28,1",76.0,71.0
01/01/2019,1800 UTC,0,"29,2","27,6",79.0,73.0
01/01/2019,1900 UTC,0,"28,9","27,9",78.0,74.0
01/01/2019,2000 UTC,0,"28,2","27,5",79.0,76.0
01/01/2019,2100 UTC,0,"27,9","27,2",80.0,78.0
01/01/2019,2200 UTC,0,"27,2","26,4",84.0,80.0
01/01/2019,2300 UTC,0,"26,8","26,4",85.0,80.0
02/01/2019,0000 UTC,0,"26,6","26,4",80.0,76.0
02/01/2019,0100 UTC,0,27,26,79.0,74.0
02/01/2019,0200 UTC,0,"26,8","26,3",76.0,75.0
02/01/2019,0300 UTC,0,"26,3","25,7",79.0,76.0
02/01/2019,0400 UTC,0,"26,4",26,77.0,73.0
02/01/2019,0500 UTC,0,"26,3","25,5",80.0,76.0
02/01/2019,0600 UTC,0,"25,5",25,82.0,80.0
02/01/2019,0700 UTC,0,"25,7","25,2",85.0,82.0
02/01/2019,0800 UTC,0,26,"25,5",86.0,83.0
02/01/2019,0900 UTC,0,"26,1","25,8",83.0,82.0
02/01/2019,1000 UTC,0,"26,5","25,8",83.0,81.0
02/01/2019,1100 UTC,0,28,"26,4",81.0,75.0
02/01/2019,1200 UTC,0,"30,7","27,6",76.0,71.0
02/01/2019,1300 UTC,0,"31,6","29,1",73.0,65.0
02/01/2019,1400 UTC,0,"32,5","29,3",71.0,62.0
02/01/2019,1500 UTC,0,"32,5","29,5",70.0,62.0
02/01/2019,1600 UTC,0,"31,6","29,6",71.0,65.0
02/01/2019,1700 UTC,0,"30,8","29,4",73.0,69.0
02/01/2019,1800 UTC,0,"30,1","28,7",76.0,71.0
02/01/2019,1900 UTC,0,"29,3","28,4",78.0,75.0
02/01/2019,2000 UTC,0,"28,8","27,4",82.0,77.0
02/01/2019,2100 UTC,0,"27,5",27,84.0,82.0
02/01/2019,2200 UTC,0,27,"26,2",86.0,83.0
02/01/2019,2300 UTC,0,"27,6","26,6",84.0,71.0
03/01/2019,0000 UTC,0,"27,6","26,7",79.0,70.0
03/01/2019,0100 UTC,0,"27,4","26,8",74.0,71.0
03/01/2019,0200 UTC,0,"27,4","26,7",75.0,71.0
03/01/2019,0300 UTC,0,"27,3","26,5",77.0,74.0
03/01/2019,0400 UTC,0,"26,9","26,5",77.0,75.0
03/01/2019,0500 UTC,0,"26,9","26,6",75.0,73.0
03/01/2019,0600 UTC,0,"26,9","26,7",74.0,73.0
03/01/2019,0700 UTC,0,"27,3","26,5",75.0,70.0
03/01/2019,0800 UTC,0,"27,4","27,1",72.0,70.0
03/01/2019,0900 UTC,0,"28,8","27,2",71.0,66.0
03/01/2019,1000 UTC,0,"28,9",27,72.0,65.0
03/01/2019,1100 UTC,0,"29,4","27,5",71.0,67.0
03/01/2019,1200 UTC,0,"31,5","28,9",68.0,60.0
03/01/2019,1300 UTC,0,"35,4","31,5",62.0,41.0
03/01/2019,1400 UTC,0,"36,3","33,7",49.0,39.0
03/01/2019,1500 UTC,0,"34,9","33,1",52.0,45.0
03/01/2019,1600 UTC,0,35,"33,5",53.0,44.0
03/01/2019,1700 UTC,0,"34,5","30,7",68.0,50.0
03/01/2019,1800 UTC,0,"31,3","29,8",69.0,65.0
03/01/2019,1900 UTC,0,"30,8","29,8",70.0,65.0
03/01/2019,2000 UTC,0,"29,8","28,9",76.0,70.0
03/01/2019,2100 UTC,0,"29,5",29,74.0,67.0
03/01/2019,2200 UTC,0,"31,5","29,4",67.0,55.0
03/01/2019,2300 UTC,0,"32,3","31,5",55.0,47.0
04/01/2019,0000 UTC,0,32,"31,2",55.0,53.0
04/01/2019,0100 UTC,0,"31,2","29,3",62.0,55.0
04/01/2019,0200 UTC,0,"30,3","29,2",63.0,57.0
04/01/2019,0300 UTC,0,"30,5","29,9",60.0,56.0
04/01/2019,0400 UTC,0,"31,4","29,3",63.0,50.0
04/01/2019,0500 UTC,0,"31,5",31,52.0,49.0
04/01/2019,0600 UTC,0,"31,1","30,5",53.0,50.0
04/01/2019,0700 UTC,0,"30,8","30,2",54.0,52.0
04/01/2019,0800 UTC,0,31,"28,9",59.0,51.0
04/01/2019,0900 UTC,0,"28,9","27,7",73.0,59.0
04/01/2019,1000 UTC,0,"29,4","27,8",73.0,67.0
04/01/2019,1100 UTC,0,"30,6","29,3",67.0,62.0
04/01/2019,1200 UTC,0,"32,7","29,8",66.0,54.0
04/01/2019,1300 UTC,0,"35,8","31,7",56.0,37.0
04/01/2019,1400 UTC,0,"34,8","32,5",54.0,46.0
04/01/2019,1500 UTC,0,"34,1","32,1",57.0,45.0
04/01/2019,1600 UTC,0,"33,8","31,2",64.0,50.0
04/01/2019,1700 UTC,0,"32,9","31,3",67.0,61.0
04/01/2019,1800 UTC,0,"32,8","31,3",63.0,52.0
04/01/2019,1900 UTC,0,"31,5","30,4",64.0,55.0
04/01/2019,2000 UTC,0,"31,1","30,1",59.0,55.0
04/01/2019,2100 UTC,0,"30,2","29,2",68.0,58.0
04/01/2019,2200 UTC,0,"30,1","29,2",67.0,60.0
04/01/2019,2300 UTC,0,"29,8","28,7",71.0,58.0
05/01/2019,0000 UTC,0,"30,1","29,5",60.0,56.0
05/01/2019,0100 UTC,0,"29,6","29,3",59.0,54.0
05/01/2019,0200 UTC,"1,2","29,6","27,6",64.0,54.0
05/01/2019,0300 UTC,"6,8","27,6","24,6",84.0,64.0
05/01/2019,0400 UTC,"0,2","25,2","24,8",85.0,82.0
05/01/2019,0500 UTC,0,"25,4","25,2",84.0,82.0
05/01/2019,0600 UTC,0,"26,7","25,2",82.0,71.0
05/01/2019,0700 UTC,0,"26,2",25,84.0,78.0
05/01/2019,0800 UTC,0,"27,4",25,85.0,67.0
05/01/2019,0900 UTC,"0,2","27,8","25,5",84.0,63.0
05/01/2019,1000 UTC,0,"25,6","25,1",86.0,84.0
05/01/2019,1100 UTC,0,"25,9","25,3",84.0,82.0
05/01/2019,1200 UTC,0,"26,5","25,7",83.0,80.0
05/01/2019,1300 UTC,0,"27,4","25,8",84.0,81.0
05/01/2019,1400 UTC,0,"28,6",27,82.0,75.0
05/01/2019,1500 UTC,0,"29,8","28,5",76.0,69.0
05/01/2019,1600 UTC,0,"29,8","28,4",74.0,68.0
05/01/2019,1700 UTC,0,"29,9","28,1",75.0,69.0
05/01/2019,1800 UTC,0,"29,3","28,1",75.0,70.0
05/01/2019,1900 UTC,0,29,"28,1",74.0,71.0
05/01/2019,2000 UTC,0,"28,7","26,7",79.0,73.0
05/01/2019,2100 UTC,0,"26,8","26,4",80.0,78.0
05/01/2019,2200 UTC,0,"26,5","24,5",83.0,79.0
05/01/2019,2300 UTC,0,"25,3","24,6",83.0,79.0
06/01/2019,0000 UTC,0,"25,3","24,9",80.0,77.0
06/01/2019,0100 UTC,0,26,"25,3",77.0,72.0
