Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2021/01/01,0000 UTC,0,"20,6","19,2",86.0,78.0
2021/01/01,0100 UTC,0,"19,3","18,2",89.0,86.0
2021/01/01,0200 UTC,0,"18,2","17,3",91.0,88.0
2021/01/01,0300 UTC,0,"17,5","16,5",92.0,90.0
2021/01/01,0400 UTC,0,"16,8","16,5",92.0,90.0
2021/01/01,0500 UTC,,,,,
2021/01/01,0600 UTC,,,,,
2021/01/01,0700 UTC,,,,,
2021/01/01,0800 UTC,,,,,
2021/01/01,0900 UTC,,,,,
2021/01/01,1000 UTC,,,,,
2021/01/01,1100 UTC,,,,,
2021/01/01,1200 UTC,,,,,
2021/01/01,1300 UTC,,,,,
2021/01/01,1400 UTC,,,,,
2021/01/01,1500 UTC,,,,,
2021/01/01,1600 UTC,,,,,
2021/01/01,1700 UTC,,,,,
2021/01/01,1800 UTC,,,,,
2021/01/01,1900 UTC,,,,,
2021/01/01,2000 UTC,,,,,
2021/01/01,2100 UTC,,,,,
2021/01/01,2200 UTC,,,,,
2021/01/01,2300 UTC,,,,,
2021/01/02,0000 UTC,,,,,
2021/01/02,0100 UTC,,,,,
2021/01/02,0200 UTC,,,,,
2021/01/02,0300 UTC,,,,,
2021/01/02,0400 UTC,,,,,
2021/01/02,0500 UTC,,,,,
2021/01/02,0600 UTC,,,,,
2021/01/02,0700 UTC,,,,,
2021/01/02,0800 UTC,,,,,
2021/01/02,0900 UTC,,,,,
2021/01/02,1000 UTC,,,,,
2021/01/02,1100 UTC,,,,,
2021/01/02,1200 UTC,,,,,
2021/01/02,1300 UTC,,,,,
2021/01/02,1400 UTC,,,,,
2021/01/02,1500 UTC,,,,,
2021/01/02,1600 UTC,,,,,
2021/01/02,1700 UTC,,,,,
2021/01/02,1800 UTC,,,,,
2021/01/02,1900 UTC,,,,,
2021/01/02,2000 UTC,,,,,
2021/01/02,2100 UTC,,,,,
2021/01/02,2200 UTC,,,,,
2021/01/02,2300 UTC,,,,,
2021/01/03,0000 UTC,,,,,
2021/01/03,0100 UTC,,,,,
2021/01/03,0200 UTC,,,,,
2021/01/03,0300 UTC,,,,,
2021/01/03,0400 UTC,,,,,
2021/01/03,0500 UTC,,,,,
2021/01/03,0600 UTC,,,,,
2021/01/03,0700 UTC,,,,,
2021/01/03,0800 UTC,,,,,
2021/01/03,0900 UTC,,,,,
2021/01/03,1000 UTC,,,,,
2021/01/03,1100 UTC,,,,,
2021/01/03,1200 UTC,,,,,
2021/01/03,1300 UTC,,,,,
2021/01/03,1400 UTC,,,,,
2021/01/03,1500 UTC,,,,,
2021/01/03,1600 UTC,,,,,
2021/01/03,1700 UTC,,,,,
2021/01/03,1800 UTC,,,,,
2021/01/03,1900 UTC,,,,,
2021/01/03,2000 UTC,,,,,
2021/01/03,2100 UTC,,,,,
2021/01/03,2200 UTC,,,,,
2021/01/03,2300 UTC,,,,,
2021/01/04,0000 UTC,,,,,
2021/01/04,0100 UTC,,,,,
2021/01/04,0200 UTC,,,,,
2021/01/04,0300 UTC,,,,,
2021/01/04,0400 UTC,,,,,
2021/01/04,0500 UTC,,,,,
2021/01/04,0600 UTC,,,,,
2021/01/04,0700 UTC,,,,,
2021/01/04,0800 UTC,,,,,
2021/01/04,0900 UTC,,,,,
2021/01/04,1000 UTC,,,,,
2021/01/04,1100 UTC,,,,,
2021/01/04,1200 UTC,,,,,
2021/01/04,1300 UTC,,,,,
2021/01/04,1400 UTC,0,"22,9","21,2",77.0,64.0
2021/01/04,1500 UTC,,,,,
2021/01/04,1600 UTC,,,,,
2021/01/04,1700 UTC,,,,,
2021/01/04,1800 UTC,,,,,
2021/01/04,1900 UTC,"11,8",19,"18,3",94.0,92.0
2021/01/04,2000 UTC,"0,8","19,9","18,8",94.0,94.0
2021/01/04,2100 UTC,0,21,"19,8",94.0,91.0
2021/01/04,2200 UTC,"0,2","20,8",20,93.0,92.0
2021/01/04,2300 UTC,0,20,"18,8",94.0,93.0
2021/01/05,0000 UTC,0,"18,8","17,9",94.0,94.0
2021/01/05,0100 UTC,0,"17,9","16,9",94.0,94.0
2021/01/05,0200 UTC,0,"16,9","16,1",94.0,94.0
2021/01/05,0300 UTC,0,"16,2","15,6",94.0,94.0
2021/01/05,0400 UTC,0,"15,6",15,95.0,94.0
2021/01/05,0500 UTC,0,"15,2","14,4",95.0,94.0
2021/01/05,0600 UTC,0,"14,6","14,3",95.0,95.0
2021/01/05,0700 UTC,0,17,"14,5",95.0,95.0
2021/01/05,0800 UTC,0,"17,9","15,6",96.0,95.0
2021/01/05,0900 UTC,0,"18,6","17,6",95.0,95.0
2021/01/05,1000 UTC,0,"18,7",18,95.0,94.0
2021/01/05,1100 UTC,0,"22,5","18,2",95.0,82.0
2021/01/05,1200 UTC,0,"25,1","22,5",83.0,66.0
2021/01/05,1300 UTC,0,"27,3","24,5",72.0,52.0
2021/01/05,1400 UTC,0,"28,5","27,1",56.0,48.0
2021/01/05,1500 UTC,0,"29,4","27,3",52.0,43.0
2021/01/05,1600 UTC,0,"27,5","26,7",56.0,48.0
2021/01/05,1700 UTC,0,"30,1","27,5",55.0,42.0
2021/01/05,1800 UTC,0,"29,8","28,5",54.0,40.0
2021/01/05,1900 UTC,0,"30,3","28,2",53.0,44.0
2021/01/05,2000 UTC,0,"28,9",28,53.0,46.0
2021/01/05,2100 UTC,0,"28,3","26,8",55.0,48.0
2021/01/05,2200 UTC,0,"26,8","22,5",75.0,54.0
2021/01/05,2300 UTC,0,"22,6",21,83.0,75.0
2021/01/06,0000 UTC,0,"21,2",20,84.0,80.0
2021/01/06,0100 UTC,0,20,"19,2",89.0,84.0
2021/01/06,0200 UTC,0,"19,8",19,90.0,88.0
2021/01/06,0300 UTC,0,"19,2","18,9",91.0,90.0
2021/01/06,0400 UTC,0,"19,4","18,7",92.0,90.0
2021/01/06,0500 UTC,0,"19,1","18,7",92.0,90.0
2021/01/06,0600 UTC,0,"18,8","17,5",92.0,91.0
2021/01/06,0700 UTC,0,"17,8","16,9",93.0,92.0
2021/01/06,0800 UTC,0,17,"16,2",94.0,93.0
2021/01/06,0900 UTC,0,"16,4","16,2",94.0,93.0
2021/01/06,1000 UTC,0,"20,7","16,3",95.0,92.0
2021/01/06,1100 UTC,0,"25,7","20,7",92.0,62.0
2021/01/06,1200 UTC,0,"27,5","25,6",65.0,54.0
