Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2021/01/01,0000 UTC,0,"20,2","19,7",86.0,81.0
2021/01/01,0100 UTC,0,"20,1","19,4",88.0,84.0
2021/01/01,0200 UTC,0,"20,2","19,6",88.0,82.0
2021/01/01,0300 UTC,0,"20,2","19,1",89.0,84.0
2021/01/01,0400 UTC,0,"20,5",19,90.0,81.0
2021/01/01,0500 UTC,0,"20,8",19,85.0,77.0
2021/01/01,0600 UTC,0,"19,6","17,5",90.0,82.0
2021/01/01,0700 UTC,0,18,"17,4",91.0,90.0
2021/01/01,0800 UTC,0,18,"17,5",91.0,90.0
2021/01/01,0900 UTC,0,"18,1",17,92.0,91.0
2021/01/01,1000 UTC,0,"20,6","18,1",91.0,83.0
2021/01/01,1100 UTC,0,"22,7","20,6",84.0,75.0
2021/01/01,1200 UTC,0,"24,2","22,3",76.0,70.0
2021/01/01,1300 UTC,0,"26,9","24,2",71.0,61.0
2021/01/01,1400 UTC,0,"28,3",26,66.0,53.0
2021/01/01,1500 UTC,0,"30,1","27,6",56.0,45.0
2021/01/01,1600 UTC,0,"30,1","25,9",56.0,45.0
2021/01/01,1700 UTC,0,"27,3","24,6",63.0,49.0
2021/01/01,1800 UTC,0,"28,7","25,3",61.0,52.0
2021/01/01,1900 UTC,0,"26,4","20,4",80.0,52.0
2021/01/01,2000 UTC,0,"21,1","20,4",80.0,72.0
2021/01/01,2100 UTC,0,"20,8","19,9",85.0,75.0
2021/01/01,2200 UTC,"0,2","20,9","19,7",88.0,75.0
2021/01/01,2300 UTC,"0,4","20,4","19,1",90.0,79.0
2021/01/02,0000 UTC,0,"19,2","18,7",90.0,85.0
