Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2022/01/01,0000 UTC,"2,4","19,7","19,1",93.0,90.0
2022/01/01,0100 UTC,"3,6","19,1",19,94.0,93.0
2022/01/01,0200 UTC,0,"19,1","18,7",95.0,94.0
2022/01/01,0300 UTC,0,"18,9","18,7",95.0,94.0
2022/01/01,0400 UTC,0,"18,9","18,8",95.0,94.0
2022/01/01,0500 UTC,0,"18,8","18,6",94.0,93.0
2022/01/01,0600 UTC,"2,4","18,6","18,3",95.0,93.0
2022/01/01,0700 UTC,1,"18,4","18,4",95.0,95.0
2022/01/01,0800 UTC,"0,2","18,4","18,3",95.0,95.0
2022/01/01,0900 UTC,"0,4","18,4","18,3",95.0,94.0
2022/01/01,1000 UTC,0,"18,7","18,4",95.0,95.0
2022/01/01,1100 UTC,"0,2","18,7","18,5",95.0,94.0
2022/01/01,1200 UTC,"0,8","19,1","18,5",95.0,95.0
2022/01/01,1300 UTC,"0,6","19,6",19,95.0,93.0
2022/01/01,1400 UTC,"0,2","20,2","19,5",94.0,90.0
2022/01/01,1500 UTC,0,"21,2","19,9",92.0,85.0
2022/01/01,1600 UTC,"1,4","21,8",20,92.0,82.0
2022/01/01,1700 UTC,"7,8","19,9","18,4",94.0,90.0
2022/01/01,1800 UTC,"0,2","20,1","19,7",93.0,90.0
2022/01/01,1900 UTC,"1,4","20,1","19,4",93.0,89.0
2022/01/01,2000 UTC,"5,2","19,9","18,9",95.0,92.0
2022/01/01,2100 UTC,"0,6","19,1","18,9",95.0,93.0
2022/01/01,2200 UTC,0,"19,1","18,7",94.0,93.0
2022/01/01,2300 UTC,0,"18,8","18,6",94.0,94.0
2022/01/02,0000 UTC,0,"18,7","18,6",95.0,94.0
2022/01/02,0100 UTC,0,"18,7","18,4",95.0,95.0
2022/01/02,0200 UTC,0,"18,4","18,4",95.0,95.0
2022/01/02,0300 UTC,0,"18,4","18,3",95.0,95.0
2022/01/02,0400 UTC,0,"18,4","18,3",95.0,95.0
2022/01/02,0500 UTC,0,"18,4","18,3",95.0,95.0
2022/01/02,0600 UTC,"0,2","18,4","18,2",95.0,94.0
2022/01/02,0700 UTC,0,"18,4","18,3",95.0,94.0
2022/01/02,0800 UTC,"0,4","18,4","18,1",95.0,94.0
2022/01/02,0900 UTC,1,"18,4","18,1",95.0,95.0
2022/01/02,1000 UTC,"0,6","18,6","18,2",95.0,95.0
2022/01/02,1100 UTC,"0,6","18,8","18,5",95.0,95.0
2022/01/02,1200 UTC,0,"19,2","18,8",95.0,94.0
2022/01/02,1300 UTC,"0,4","21,1","19,2",94.0,89.0
2022/01/02,1400 UTC,0,"22,3",21,89.0,81.0
2022/01/02,1500 UTC,"0,8","23,3","20,7",92.0,78.0
2022/01/02,1600 UTC,"1,4","23,4","20,4",92.0,74.0
