Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2022,0000 UTC,"0,4","21,1","20,9",92,91
01/01/2022,0100 UTC,"0,4","21,2","21,1",92,92
01/01/2022,0200 UTC,"1,6","21,2","20,9",92,91
01/01/2022,0300 UTC,"0,6","21,1","20,9",92,91
01/01/2022,0400 UTC,"1,2",21,"20,7",93,92
01/01/2022,0500 UTC,"0,4","20,8","20,6",93,92
01/01/2022,0600 UTC,"1,4","20,7","20,4",93,92
01/01/2022,0700 UTC,1,"20,7","20,4",93,92
01/01/2022,0800 UTC,"0,4","20,7","20,5",93,92
01/01/2022,0900 UTC,0,21,"20,7",93,91
01/01/2022,1000 UTC,0,"21,6",21,92,91
01/01/2022,1100 UTC,"0,4","22,3","21,6",92,91
01/01/2022,1200 UTC,0,"23,5","22,3",92,89
01/01/2022,1300 UTC,0,"24,8","23,4",90,84
01/01/2022,1400 UTC,0,"25,5","24,6",88,82
01/01/2022,1500 UTC,"0,2","26,5","25,5",85,65
01/01/2022,1600 UTC,0,"28,4","26,1",75,61
01/01/2022,1700 UTC,0,29,"27,1",71,58
01/01/2022,1800 UTC,0,"28,9","27,3",71,60
01/01/2022,1900 UTC,0,"28,2","26,7",72,65
01/01/2022,2000 UTC,0,"26,9","24,3",80,72
01/01/2022,2100 UTC,0,"24,3","23,5",86,80
01/01/2022,2200 UTC,0,"23,6","23,3",87,85
01/01/2022,2300 UTC,0,"23,4","23,1",87,87
02/01/2022,0000 UTC,0,"23,5","23,2",87,84
02/01/2022,0100 UTC,0,"23,5","22,9",86,84
02/01/2022,0200 UTC,0,"23,3","22,9",86,84
02/01/2022,0300 UTC,0,23,"22,8",87,86
02/01/2022,0400 UTC,0,"22,8","22,6",88,87
02/01/2022,0500 UTC,0,"22,7","22,2",90,87
02/01/2022,0600 UTC,"0,6","22,2","21,9",92,90
02/01/2022,0700 UTC,"0,4",22,"21,8",92,91
02/01/2022,0800 UTC,"0,2",22,"21,7",91,90
02/01/2022,0900 UTC,"0,4","21,8","21,6",91,91
02/01/2022,1000 UTC,"0,8","21,7","21,5",92,91
02/01/2022,1100 UTC,"0,2","22,5","21,7",92,88
02/01/2022,1200 UTC,0,"24,3","22,6",88,81
02/01/2022,1300 UTC,0,"26,6",24,83,74
02/01/2022,1400 UTC,0,"27,3","26,3",76,71
02/01/2022,1500 UTC,0,"27,3","26,5",74,70
02/01/2022,1600 UTC,0,"28,2","26,9",72,67
02/01/2022,1700 UTC,"3,4","27,5","24,2",89,70
02/01/2022,1800 UTC,1,"25,4","23,8",91,81
02/01/2022,1900 UTC,0,"25,6","24,7",88,81
02/01/2022,2000 UTC,"0,8",25,24,92,86
02/01/2022,2100 UTC,"0,2","24,6","24,1",92,83
02/01/2022,2200 UTC,0,"24,1","22,8",92,82
02/01/2022,2300 UTC,1,23,"22,7",94,92
03/01/2022,0000 UTC,"1,8","23,1","22,7",94,94
03/01/2022,0100 UTC,2,"23,1","22,9",94,93
03/01/2022,0200 UTC,"0,2","22,9","22,5",93,92
03/01/2022,0300 UTC,"0,6","22,6","22,4",94,93
03/01/2022,0400 UTC,"0,8","22,5","22,3",94,93
03/01/2022,0500 UTC,"0,2","22,5","22,4",93,91
03/01/2022,0600 UTC,0,"22,6","22,3",92,90
03/01/2022,0700 UTC,0,"22,4","22,3",92,90
03/01/2022,0800 UTC,"0,2","22,4",22,92,90
03/01/2022,0900 UTC,0,"22,4",22,92,90
03/01/2022,1000 UTC,0,"23,1","22,5",90,88
03/01/2022,1100 UTC,0,"23,6","23,1",89,87
03/01/2022,1200 UTC,"0,2","24,7","23,6",87,83
03/01/2022,1300 UTC,0,"26,4","24,7",84,76
03/01/2022,1400 UTC,0,"28,9","26,3",78,60
03/01/2022,1500 UTC,0,29,"27,4",67,58
03/01/2022,1600 UTC,0,29,"27,2",72,62
03/01/2022,1700 UTC,0,"28,2",27,73,69
03/01/2022,1800 UTC,0,"28,2",27,73,69
03/01/2022,1900 UTC,0,"28,7","27,2",72,66
03/01/2022,2000 UTC,0,"27,3","26,4",74,69
03/01/2022,2100 UTC,0,"26,4","25,4",78,73
03/01/2022,2200 UTC,"0,6","25,5",24,86,78
03/01/2022,2300 UTC,"1,6",24,"23,1",91,86
04/01/2022,0000 UTC,"2,8","23,2","22,9",93,91
04/01/2022,0100 UTC,"1,2","22,9","22,8",93,91
04/01/2022,0200 UTC,0,"22,9","22,7",91,90
04/01/2022,0300 UTC,0,23,"22,7",90,89
04/01/2022,0400 UTC,0,"22,9","22,7",90,89
04/01/2022,0500 UTC,0,"22,9","22,7",89,87
04/01/2022,0600 UTC,0,"22,8","22,5",88,86
04/01/2022,0700 UTC,0,"22,6","22,2",88,87
04/01/2022,0800 UTC,0,"22,4","22,2",87,86
04/01/2022,0900 UTC,0,"22,3","22,1",87,86
04/01/2022,1000 UTC,0,"23,4","22,3",87,84
04/01/2022,1100 UTC,0,"23,9","23,2",84,82
04/01/2022,1200 UTC,0,"24,8","23,9",83,78
04/01/2022,1300 UTC,0,"25,5","24,7",79,75
04/01/2022,1400 UTC,0,"26,1","25,5",77,74
04/01/2022,1500 UTC,0,"26,8","25,9",76,69
04/01/2022,1600 UTC,0,"27,4","26,8",72,68
04/01/2022,1700 UTC,"0,2","27,8","27,2",70,67
04/01/2022,1800 UTC,0,"28,5","27,6",71,67
04/01/2022,1900 UTC,0,"29,1","28,4",70,65
04/01/2022,2000 UTC,0,"29,7","28,6",69,63
04/01/2022,2100 UTC,0,"29,3","27,3",73,63
04/01/2022,2200 UTC,0,"27,3","26,2",78,73
04/01/2022,2300 UTC,0,"26,4","26,1",78,70
05/01/2022,0000 UTC,0,"26,2","25,5",72,70
05/01/2022,0100 UTC,0,"25,6","25,2",74,72
05/01/2022,0200 UTC,0,"25,2","24,5",76,73
05/01/2022,0300 UTC,0,"24,6","24,2",77,75
05/01/2022,0400 UTC,0,"24,2","23,7",80,77
05/01/2022,0500 UTC,0,"23,9","23,7",80,79
05/01/2022,0600 UTC,0,"23,9","23,7",80,79
05/01/2022,0700 UTC,0,"23,8","23,6",81,79
05/01/2022,0800 UTC,0,"23,7","23,4",81,78
05/01/2022,0900 UTC,0,"23,6","23,4",79,78
05/01/2022,1000 UTC,0,"24,1","23,6",79,76
