Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,21,"20,5",87.0,84.0
2023/01/01,0100 UTC,0,"20,5","20,3",86.0,84.0
2023/01/01,0200 UTC,0,"20,4","19,8",86.0,83.0
2023/01/01,0300 UTC,0,"19,9","19,7",87.0,85.0
2023/01/01,0400 UTC,0,"20,1","19,8",86.0,84.0
2023/01/01,0500 UTC,0,"20,3","19,8",87.0,83.0
2023/01/01,0600 UTC,0,"19,8","19,5",89.0,87.0
2023/01/01,0700 UTC,0,"19,6","19,1",89.0,87.0
2023/01/01,0800 UTC,0,"19,2","18,3",92.0,89.0
2023/01/01,0900 UTC,0,"19,1","18,4",90.0,88.0
2023/01/01,1000 UTC,0,"20,2","18,9",89.0,85.0
2023/01/01,1100 UTC,0,21,"20,1",87.0,83.0
2023/01/01,1200 UTC,0,"22,8",21,84.0,72.0
2023/01/01,1300 UTC,0,"24,9","22,6",74.0,63.0
2023/01/01,1400 UTC,0,"25,7","23,8",66.0,53.0
2023/01/01,1500 UTC,0,"25,9","24,6",63.0,55.0
2023/01/01,1600 UTC,0,"26,3","24,8",62.0,53.0
2023/01/01,1700 UTC,0,"27,1","25,5",60.0,53.0
2023/01/01,1800 UTC,0,"26,7","25,9",58.0,53.0
2023/01/01,1900 UTC,0,"27,8","26,2",56.0,48.0
2023/01/01,2000 UTC,"2,6",27,"21,7",83.0,50.0
2023/01/01,2100 UTC,"2,2","22,4","21,5",86.0,74.0
2023/01/01,2200 UTC,0,"22,4","21,6",88.0,81.0
2023/01/01,2300 UTC,0,"22,4","21,6",88.0,79.0
2023/01/02,0000 UTC,0,"22,4",21,88.0,72.0
2023/01/02,0100 UTC,0,"22,3","20,7",82.0,72.0
2023/01/02,0200 UTC,0,"21,9","20,6",86.0,74.0
2023/01/02,0300 UTC,0,"20,9","20,6",88.0,85.0
2023/01/02,0400 UTC,2,"20,9","20,4",91.0,88.0
2023/01/02,0500 UTC,"3,8","20,5","19,6",93.0,90.0
2023/01/02,0600 UTC,"0,6",20,"19,1",94.0,92.0
2023/01/02,0700 UTC,0,"19,5","18,9",94.0,86.0
2023/01/02,0800 UTC,0,"19,3","18,8",92.0,90.0
2023/01/02,0900 UTC,0,19,"18,5",90.0,87.0
2023/01/02,1000 UTC,0,"20,3","18,8",88.0,83.0
2023/01/02,1100 UTC,0,"21,5","20,3",85.0,78.0
2023/01/02,1200 UTC,0,"22,9","21,4",80.0,69.0
2023/01/02,1300 UTC,0,24,"22,7",73.0,62.0
2023/01/02,1400 UTC,0,"25,1",24,67.0,61.0
2023/01/02,1500 UTC,0,"25,6","24,1",67.0,60.0
2023/01/02,1600 UTC,0,26,"24,3",65.0,58.0
2023/01/02,1700 UTC,0,26,"24,6",67.0,58.0
2023/01/02,1800 UTC,0,"26,4",25,64.0,54.0
2023/01/02,1900 UTC,0,"26,7",25,63.0,56.0
2023/01/02,2000 UTC,0,25,"24,2",67.0,60.0
2023/01/02,2100 UTC,0,"24,2","21,8",75.0,66.0
2023/01/02,2200 UTC,0,"21,8","20,3",81.0,70.0
2023/01/02,2300 UTC,0,"21,2","19,8",88.0,77.0
2023/01/03,0000 UTC,0,20,"19,5",89.0,87.0
2023/01/03,0100 UTC,0,20,19,92.0,86.0
2023/01/03,0200 UTC,0,19,"18,4",94.0,92.0
2023/01/03,0300 UTC,0,"18,5","18,2",94.0,93.0
2023/01/03,0400 UTC,0,"18,2",18,93.0,93.0
2023/01/03,0500 UTC,0,"18,2",18,93.0,92.0
2023/01/03,0600 UTC,0,"18,8",18,92.0,87.0
2023/01/03,0700 UTC,0,"19,3","18,6",87.0,83.0
2023/01/03,0800 UTC,0,"19,2","18,6",87.0,83.0
2023/01/03,0900 UTC,0,"19,4","18,5",88.0,84.0
2023/01/03,1000 UTC,0,20,"19,3",86.0,82.0
2023/01/03,1100 UTC,0,21,"19,9",86.0,78.0
