Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,"20,9",20,91.0,87.0
2023/01/01,0100 UTC,0,"20,1","19,2",90.0,87.0
2023/01/01,0200 UTC,0,"19,5",19,90.0,89.0
2023/01/01,0300 UTC,0,"19,4","19,1",91.0,90.0
2023/01/01,0400 UTC,0,"19,7","19,1",91.0,90.0
2023/01/01,0500 UTC,0,"19,7","19,1",92.0,90.0
2023/01/01,0600 UTC,0,"19,1","18,4",92.0,92.0
2023/01/01,0700 UTC,0,"18,6","18,4",93.0,92.0
2023/01/01,0800 UTC,0,"18,7","18,2",93.0,91.0
2023/01/01,0900 UTC,0,"18,3",18,93.0,92.0
2023/01/01,1000 UTC,0,19,18,93.0,91.0
2023/01/01,1100 UTC,"0,2","19,6",19,91.0,89.0
2023/01/01,1200 UTC,0,21,"19,3",90.0,83.0
2023/01/01,1300 UTC,0,"22,9",21,84.0,74.0
2023/01/01,1400 UTC,0,"23,8","22,4",78.0,71.0
2023/01/01,1500 UTC,0,"25,5","23,5",74.0,60.0
2023/01/01,1600 UTC,0,"26,7","25,1",63.0,53.0
2023/01/01,1700 UTC,0,"27,6",26,57.0,51.0
2023/01/01,1800 UTC,0,"27,8","25,8",58.0,51.0
2023/01/01,1900 UTC,0,"27,6","25,8",57.0,50.0
2023/01/01,2000 UTC,0,"26,7","25,4",58.0,53.0
2023/01/01,2100 UTC,0,"26,7",25,60.0,52.0
2023/01/01,2200 UTC,0,"25,1","24,1",63.0,59.0
2023/01/01,2300 UTC,0,"24,1","23,3",67.0,63.0
2023/01/02,0000 UTC,0,"23,7","23,2",68.0,65.0
2023/01/02,0100 UTC,0,"23,2","21,9",76.0,68.0
2023/01/02,0200 UTC,0,"22,9",21,85.0,71.0
2023/01/02,0300 UTC,0,23,"22,6",72.0,68.0
2023/01/02,0400 UTC,0,"22,7","22,1",71.0,68.0
2023/01/02,0500 UTC,0,"22,1","21,3",75.0,69.0
2023/01/02,0600 UTC,0,"21,4",21,77.0,75.0
2023/01/02,0700 UTC,0,"21,1","20,6",77.0,76.0
2023/01/02,0800 UTC,0,"20,6","19,8",80.0,77.0
2023/01/02,0900 UTC,0,"20,2","19,6",81.0,78.0
2023/01/02,1000 UTC,0,"21,4","20,1",79.0,70.0
2023/01/02,1100 UTC,0,"22,6","21,4",71.0,61.0
2023/01/02,1200 UTC,0,"23,8","22,5",63.0,57.0
2023/01/02,1300 UTC,0,25,"23,4",61.0,57.0
2023/01/02,1400 UTC,0,"25,8","23,7",62.0,54.0
2023/01/02,1500 UTC,0,"27,2","24,9",57.0,50.0
2023/01/02,1600 UTC,0,"27,6","25,5",56.0,47.0
2023/01/02,1700 UTC,0,"27,7","25,9",54.0,46.0
2023/01/02,1800 UTC,0,"28,2","26,3",51.0,45.0
2023/01/02,1900 UTC,0,"27,9","26,1",54.0,47.0
2023/01/02,2000 UTC,0,"26,1","23,8",65.0,53.0
2023/01/02,2100 UTC,11,"23,8","20,2",91.0,65.0
2023/01/02,2200 UTC,"4,8","20,9","19,8",92.0,88.0
2023/01/02,2300 UTC,0,"20,4","19,6",91.0,86.0
2023/01/03,0000 UTC,0,"19,9","19,1",89.0,85.0
2023/01/03,0100 UTC,0,"19,7","19,4",89.0,85.0
2023/01/03,0200 UTC,0,"19,7","19,2",90.0,87.0
2023/01/03,0300 UTC,0,"19,2","18,8",91.0,90.0
2023/01/03,0400 UTC,0,"18,9","18,5",91.0,90.0
2023/01/03,0500 UTC,0,"18,5","18,3",92.0,91.0
2023/01/03,0600 UTC,0,"18,4","18,1",92.0,92.0
2023/01/03,0700 UTC,0,"18,5","18,1",92.0,91.0
2023/01/03,0800 UTC,0,"18,4","18,1",93.0,92.0
2023/01/03,0900 UTC,0,"18,7",18,93.0,89.0
2023/01/03,1000 UTC,0,"19,3","18,2",92.0,90.0
2023/01/03,1100 UTC,0,"19,7","19,3",91.0,89.0
