Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2023,0000 UTC,0,26,25,100.0,67.0
01/01/2023,0100 UTC,0,26,"23,1",80.0,65.0
01/01/2023,0200 UTC,0,"23,2",23,,
01/01/2023,0300 UTC,0,23,"22,7",,
01/01/2023,0400 UTC,0,"23,2","22,7",,
01/01/2023,0500 UTC,0,"23,5",23,,
01/01/2023,0600 UTC,0,"23,2","22,5",,
01/01/2023,0700 UTC,0,"22,9","22,2",,
01/01/2023,0800 UTC,0,"22,9",22,,
01/01/2023,0900 UTC,0,"23,2","22,7",,
01/01/2023,1000 UTC,0,"24,2","22,9",,
01/01/2023,1100 UTC,0,"26,3","23,7",,
01/01/2023,1200 UTC,0,"26,5","24,2",99.0,77.0
01/01/2023,1300 UTC,0,"27,8","24,2",79.0,68.0
01/01/2023,1400 UTC,0,"28,5","26,7",71.0,67.0
01/01/2023,1500 UTC,0,"28,5","26,9",70.0,66.0
01/01/2023,1600 UTC,0,28,"26,8",70.0,67.0
01/01/2023,1700 UTC,0,"27,6","27,1",71.0,68.0
01/01/2023,1800 UTC,0,"27,3","25,4",75.0,69.0
01/01/2023,1900 UTC,0,"27,1","24,9",77.0,72.0
01/01/2023,2000 UTC,0,"27,1","25,9",72.0,68.0
01/01/2023,2100 UTC,0,"27,4","24,5",74.0,60.0
01/01/2023,2200 UTC,0,"24,5",23,92.0,74.0
01/01/2023,2300 UTC,0,23,"22,8",,
02/01/2023,0000 UTC,0,"23,4","22,8",,
02/01/2023,0100 UTC,0,24,"22,6",,
02/01/2023,0200 UTC,0,"24,4","23,9",,
02/01/2023,0300 UTC,0,"23,9","23,1",,
02/01/2023,0400 UTC,0,"23,5","22,9",,
02/01/2023,0500 UTC,0,"23,1","22,6",,
02/01/2023,0600 UTC,0,"22,9","22,5",,
02/01/2023,0700 UTC,0,23,"21,9",,
02/01/2023,0800 UTC,0,"22,4","21,9",,
02/01/2023,0900 UTC,0,"24,5","22,2",,
02/01/2023,1000 UTC,0,"25,9","24,3",,
02/01/2023,1100 UTC,0,"28,7","25,8",73.0,58.0
02/01/2023,1200 UTC,0,"28,5","27,2",64.0,55.0
02/01/2023,1300 UTC,0,"27,6","26,3",69.0,63.0
02/01/2023,1400 UTC,0,"28,6","26,7",69.0,61.0
02/01/2023,1500 UTC,0,"28,7","27,6",65.0,60.0
02/01/2023,1600 UTC,0,"28,7","27,4",67.0,61.0
02/01/2023,1700 UTC,0,"28,1",27,68.0,63.0
02/01/2023,1800 UTC,0,"27,9","26,8",68.0,64.0
02/01/2023,1900 UTC,0,"27,2","26,1",69.0,66.0
02/01/2023,2000 UTC,0,"26,2","25,3",71.0,67.0
02/01/2023,2100 UTC,0,"25,8",25,69.0,67.0
02/01/2023,2200 UTC,0,"25,8","24,5",73.0,68.0
02/01/2023,2300 UTC,0,"28,5","25,7",72.0,53.0
03/01/2023,0000 UTC,0,"27,5","26,9",63.0,58.0
03/01/2023,0100 UTC,0,"27,2",26,65.0,61.0
03/01/2023,0200 UTC,0,"27,4","26,7",61.0,57.0
03/01/2023,0300 UTC,0,"27,8","25,5",61.0,48.0
03/01/2023,0400 UTC,0,"28,2","25,8",58.0,46.0
03/01/2023,0500 UTC,0,"27,1",25,62.0,49.0
03/01/2023,0600 UTC,0,27,23,70.0,50.0
03/01/2023,0700 UTC,0,"24,3","22,9",74.0,69.0
03/01/2023,0800 UTC,0,"23,7","23,2",74.0,71.0
03/01/2023,0900 UTC,0,"24,7","23,4",73.0,68.0
03/01/2023,1000 UTC,0,"27,5","24,4",69.0,59.0
03/01/2023,1100 UTC,0,"28,5","27,5",60.0,55.0
03/01/2023,1200 UTC,0,"29,2","27,8",57.0,52.0
03/01/2023,1300 UTC,0,"31,4","28,7",54.0,41.0
03/01/2023,1400 UTC,0,"32,2","30,9",44.0,38.0
03/01/2023,1500 UTC,0,"34,7","31,6",43.0,33.0
03/01/2023,1600 UTC,0,"35,2","32,8",40.0,30.0
03/01/2023,1700 UTC,0,"33,1","25,1",67.0,38.0
03/01/2023,1800 UTC,0,"29,3","27,5",63.0,54.0
03/01/2023,1900 UTC,0,"28,8","26,9",63.0,56.0
03/01/2023,2000 UTC,0,28,"26,7",63.0,57.0
03/01/2023,2100 UTC,0,30,"27,1",61.0,44.0
03/01/2023,2200 UTC,0,"29,6","26,7",56.0,44.0
03/01/2023,2300 UTC,0,"27,5","26,4",65.0,55.0
04/01/2023,0000 UTC,0,"27,4","25,5",64.0,59.0
04/01/2023,0100 UTC,0,"27,2",26,62.0,59.0
04/01/2023,0200 UTC,0,28,"25,9",61.0,55.0
04/01/2023,0300 UTC,0,"28,9","25,9",60.0,49.0
04/01/2023,0400 UTC,0,"30,1","28,5",49.0,43.0
04/01/2023,0500 UTC,0,"29,1","27,2",53.0,46.0
04/01/2023,0600 UTC,0,"29,8",28,50.0,44.0
04/01/2023,0700 UTC,0,"29,8",29,47.0,44.0
04/01/2023,0800 UTC,0,"29,4","28,2",51.0,46.0
04/01/2023,0900 UTC,0,"29,5","27,7",54.0,47.0
04/01/2023,1000 UTC,0,30,"29,4",47.0,44.0
04/01/2023,1100 UTC,0,"29,9","28,6",51.0,45.0
04/01/2023,1200 UTC,0,"30,4","28,6",53.0,46.0
04/01/2023,1300 UTC,0,"32,5",30,51.0,41.0
04/01/2023,1400 UTC,0,"31,8","30,8",50.0,42.0
04/01/2023,1500 UTC,0,"35,3","31,7",48.0,34.0
04/01/2023,1600 UTC,0,34,"32,8",41.0,35.0
04/01/2023,1700 UTC,0,"33,4","32,5",41.0,37.0
04/01/2023,1800 UTC,0,"34,3","24,5",67.0,36.0
04/01/2023,1900 UTC,0,"24,5","22,5",100.0,67.0
04/01/2023,2000 UTC,"0,4","23,7","21,1",,
04/01/2023,2100 UTC,0,"22,5","21,1",,
04/01/2023,2200 UTC,0,"23,1","22,1",,
04/01/2023,2300 UTC,0,"23,5","22,6",,
05/01/2023,0000 UTC,0,"23,5","22,5",,
05/01/2023,0100 UTC,0,23,22,,
05/01/2023,0200 UTC,0,"23,3","22,7",,
05/01/2023,0300 UTC,0,23,"22,1",,
05/01/2023,0400 UTC,0,"22,6","22,2",,
05/01/2023,0500 UTC,0,"22,4","22,2",,
05/01/2023,0600 UTC,0,"22,3","22,1",,
05/01/2023,0700 UTC,0,"22,1",22,,
05/01/2023,0800 UTC,0,"22,1",22,,
05/01/2023,0900 UTC,0,22,"21,9",,
05/01/2023,1000 UTC,"0,2","22,1","21,9",,
05/01/2023,1100 UTC,"0,8",22,"21,5",,
05/01/2023,1200 UTC,0,"22,2","21,6",,
05/01/2023,1300 UTC,0,"22,3",22,,
05/01/2023,1400 UTC,"0,2","22,1","21,6",,
05/01/2023,1500 UTC,0,"22,1","21,5",,
05/01/2023,1600 UTC,0,"22,1","21,5",,
05/01/2023,1700 UTC,"0,6","21,6","21,4",,
05/01/2023,1800 UTC,0,"21,8","21,5",,
05/01/2023,1900 UTC,0,22,"21,5",,
05/01/2023,2000 UTC,"0,8","21,7","21,1",,
05/01/2023,2100 UTC,0,"21,3",21,,
05/01/2023,2200 UTC,"0,6","21,3","20,7",,
05/01/2023,2300 UTC,1,"21,3","20,7",,
06/01/2023,0000 UTC,2,"21,7","20,8",,
06/01/2023,0100 UTC,2,"22,2","21,7",,
06/01/2023,0200 UTC,"0,8","22,2","21,9",,
06/01/2023,0300 UTC,"2,8","22,1",21,,
06/01/2023,0400 UTC,"5,2","21,4",21,,
06/01/2023,0500 UTC,"1,4","21,6","21,4",,
06/01/2023,0600 UTC,"4,2","21,6","21,4",,
06/01/2023,0700 UTC,"7,6","21,6","21,2",,
06/01/2023,0800 UTC,"5,4","21,4","21,1",,
06/01/2023,0900 UTC,5,"21,5","21,2",,
06/01/2023,1000 UTC,"5,8","21,5","21,1",,
06/01/2023,1100 UTC,"2,2","21,5","21,4",,
06/01/2023,1200 UTC,"1,2","21,8","21,4",,
06/01/2023,1300 UTC,2,"21,7","21,5",,
06/01/2023,1400 UTC,"2,2","21,6","21,2",,
06/01/2023,1500 UTC,1,"21,7","21,3",,
06/01/2023,1600 UTC,"1,6","21,6","21,1",,
06/01/2023,1700 UTC,"3,6","21,1","20,7",,
06/01/2023,1800 UTC,"4,2","20,9","20,4",,
06/01/2023,1900 UTC,"4,2","20,5","20,1",,
06/01/2023,2000 UTC,"2,6","20,5",20,,
06/01/2023,2100 UTC,"1,2","20,5",20,,
06/01/2023,2200 UTC,"0,4","20,7","20,1",,
06/01/2023,2300 UTC,0,"20,9","20,6",,
07/01/2023,0000 UTC,"0,4","20,7","19,8",,
07/01/2023,0100 UTC,"1,6","20,1","19,6",,
07/01/2023,0200 UTC,"1,4","19,8","19,5",,
07/01/2023,0300 UTC,1,"19,9","19,5",,
07/01/2023,0400 UTC,"0,2","19,7","19,3",,
07/01/2023,0500 UTC,"0,4","19,6","19,3",,
07/01/2023,0600 UTC,1,"19,5","19,1",,
07/01/2023,0700 UTC,2,"19,2","18,7",,
07/01/2023,0800 UTC,"1,4","19,3","18,8",,
07/01/2023,0900 UTC,"1,2","19,6","19,1",,
07/01/2023,1000 UTC,1,"19,8","19,2",,
07/01/2023,1100 UTC,"2,2","20,1","19,5",,
07/01/2023,1200 UTC,"2,4","19,9","19,4",,
07/01/2023,1300 UTC,"1,4",21,"19,4",,
07/01/2023,1400 UTC,"0,4",21,"20,5",,
07/01/2023,1500 UTC,1,"20,8","20,3",,
07/01/2023,1600 UTC,0,"20,5","19,7",,
07/01/2023,1700 UTC,"0,2","20,3","19,8",,
07/01/2023,1800 UTC,"0,6","20,3","19,9",,
07/01/2023,1900 UTC,"0,6","20,3","19,7",,
07/01/2023,2000 UTC,0,"20,5","19,8",,
07/01/2023,2100 UTC,0,"20,5","19,7",,
07/01/2023,2200 UTC,0,"19,8","19,5",,
07/01/2023,2300 UTC,"0,8","19,8","19,4",,
08/01/2023,0000 UTC,"0,2","19,6","19,4",,
08/01/2023,0100 UTC,"0,2","19,8","19,5",,
08/01/2023,0200 UTC,"0,4","19,8","19,5",,
08/01/2023,0300 UTC,0,"19,8","19,5",,
08/01/2023,0400 UTC,"0,2","19,9","19,6",,
08/01/2023,0500 UTC,0,"20,2","19,9",,
08/01/2023,0600 UTC,0,"20,3",20,,
08/01/2023,0700 UTC,0,"20,4","20,1",,
08/01/2023,0800 UTC,0,"20,5","20,2",,
08/01/2023,0900 UTC,0,"20,6","20,3",,
08/01/2023,1000 UTC,0,"21,9","20,6",,
