Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,,,,,
2023/01/01,0100 UTC,,,,,
2023/01/01,0200 UTC,0,19,"18,5",94,93
2023/01/01,0300 UTC,0,"20,5","18,4",94,93
2023/01/01,0400 UTC,0,"20,7","20,3",93,89
2023/01/01,0500 UTC,0,"20,5",20,92,90
2023/01/01,0600 UTC,0,20,"19,8",92,91
2023/01/01,0700 UTC,0,"19,8","19,2",93,91
2023/01/01,0800 UTC,0,"19,3","18,5",93,92
2023/01/01,0900 UTC,0,"18,6","18,1",94,93
2023/01/01,1000 UTC,0,"19,2","18,1",94,94
2023/01/01,1100 UTC,0,"22,1","19,2",94,82
2023/01/01,1200 UTC,0,"23,4","21,6",83,70
2023/01/01,1300 UTC,0,"25,1","23,1",75,60
2023/01/01,1400 UTC,0,"25,7","24,2",64,57
2023/01/01,1500 UTC,0,"26,9","24,6",64,55
2023/01/01,1600 UTC,0,"27,6","25,9",59,50
2023/01/01,1700 UTC,0,28,"26,2",58,49
2023/01/01,1800 UTC,0,"28,4","26,3",57,48
2023/01/01,1900 UTC,0,29,"26,9",55,46
2023/01/01,2000 UTC,0,"28,5","27,3",55,47
2023/01/01,2100 UTC,0,"27,9","25,6",58,51
2023/01/01,2200 UTC,0,26,"22,3",75,58
2023/01/01,2300 UTC,0,"22,3","21,2",84,75
2023/01/02,0000 UTC,,,,,
2023/01/02,0100 UTC,0,"21,2","20,3",88,82
2023/01/02,0200 UTC,0,"21,1","20,6",87,83
2023/01/02,0300 UTC,0,"21,1","20,2",88,83
2023/01/02,0400 UTC,0,"21,5","21,1",83,80
2023/01/02,0500 UTC,0,"21,3","20,9",83,81
2023/01/02,0600 UTC,0,"21,1","20,8",83,77
2023/01/02,0700 UTC,0,"21,1","19,7",83,76
2023/01/02,0800 UTC,0,"19,9","18,7",88,82
2023/01/02,0900 UTC,0,"18,7","17,8",91,88
2023/01/02,1000 UTC,0,"21,2",18,91,79
2023/01/02,1100 UTC,0,"23,6","21,2",79,65
2023/01/02,1200 UTC,0,"24,7","23,2",65,57
2023/01/02,1300 UTC,0,"25,5","24,3",59,55
2023/01/02,1400 UTC,0,"26,7","25,1",58,53
2023/01/02,1500 UTC,0,"27,5","25,2",57,48
2023/01/02,1600 UTC,0,"28,1","26,3",54,48
2023/01/02,1700 UTC,0,29,"27,2",53,45
2023/01/02,1800 UTC,0,"28,4","26,7",53,45
2023/01/02,1900 UTC,0,"28,4","26,8",52,45
2023/01/02,2000 UTC,0,28,"26,8",51,43
2023/01/02,2100 UTC,0,"26,9","25,1",57,48
2023/01/02,2200 UTC,0,"25,1","22,4",73,56
2023/01/02,2300 UTC,0,"22,4","20,2",84,73
2023/01/03,0000 UTC,0,"20,8","20,1",87,83
2023/01/03,0100 UTC,,,,,
2023/01/03,0200 UTC,0,"20,5","20,2",87,85
2023/01/03,0300 UTC,0,"20,2","19,7",90,87
2023/01/03,0400 UTC,0,"19,7","19,2",91,90
2023/01/03,0500 UTC,0,"19,2","18,7",93,91
2023/01/03,0600 UTC,0,"18,7","18,3",93,92
2023/01/03,0700 UTC,0,"18,4","17,8",93,93
2023/01/03,0800 UTC,0,18,"17,8",94,93
2023/01/03,0900 UTC,0,"18,3",18,94,93
2023/01/03,1000 UTC,0,"19,5","18,3",94,91
2023/01/03,1100 UTC,0,"22,7","19,6",91,74
2023/01/03,1200 UTC,0,"23,8","22,2",76,70
