Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,"20,9",20,91,87
2023/01/01,0100 UTC,0,"20,1","19,2",90,87
2023/01/01,0200 UTC,0,"19,5",19,90,89
2023/01/01,0300 UTC,0,"19,4","19,1",91,90
2023/01/01,0400 UTC,0,"19,7","19,1",91,90
2023/01/01,0500 UTC,0,"19,7","19,1",92,90
2023/01/01,0600 UTC,0,"19,1","18,4",92,92
2023/01/01,0700 UTC,0,"18,6","18,4",93,92
2023/01/01,0800 UTC,0,"18,7","18,2",93,91
2023/01/01,0900 UTC,0,"18,3",18,93,92
2023/01/01,1000 UTC,0,19,18,93,91
2023/01/01,1100 UTC,"0,2","19,6",19,91,89
2023/01/01,1200 UTC,0,21,"19,3",90,83
2023/01/01,1300 UTC,0,"22,9",21,84,74
2023/01/01,1400 UTC,0,"23,8","22,4",78,71
2023/01/01,1500 UTC,0,"25,5","23,5",74,60
2023/01/01,1600 UTC,0,"26,7","25,1",63,53
2023/01/01,1700 UTC,0,"27,6",26,57,51
2023/01/01,1800 UTC,0,"27,8","25,8",58,51
2023/01/01,1900 UTC,0,"27,6","25,8",57,50
2023/01/01,2000 UTC,0,"26,7","25,4",58,53
2023/01/01,2100 UTC,0,"26,7",25,60,52
2023/01/01,2200 UTC,0,"25,1","24,1",63,59
2023/01/01,2300 UTC,0,"24,1","23,3",67,63
2023/01/02,0000 UTC,0,"23,7","23,2",68,65
2023/01/02,0100 UTC,0,"23,2","21,9",76,68
2023/01/02,0200 UTC,0,"22,9",21,85,71
2023/01/02,0300 UTC,0,23,"22,6",72,68
2023/01/02,0400 UTC,0,"22,7","22,1",71,68
2023/01/02,0500 UTC,0,"22,1","21,3",75,69
2023/01/02,0600 UTC,0,"21,4",21,77,75
2023/01/02,0700 UTC,0,"21,1","20,6",77,76
2023/01/02,0800 UTC,0,"20,6","19,8",80,77
2023/01/02,0900 UTC,0,"20,2","19,6",81,78
2023/01/02,1000 UTC,0,"21,4","20,1",79,70
2023/01/02,1100 UTC,0,"22,6","21,4",71,61
2023/01/02,1200 UTC,0,"23,8","22,5",63,57
2023/01/02,1300 UTC,0,25,"23,4",61,57
2023/01/02,1400 UTC,0,"25,8","23,7",62,54
2023/01/02,1500 UTC,0,"27,2","24,9",57,50
2023/01/02,1600 UTC,0,"27,6","25,5",56,47
2023/01/02,1700 UTC,0,"27,7","25,9",54,46
2023/01/02,1800 UTC,0,"28,2","26,3",51,45
2023/01/02,1900 UTC,0,"27,9","26,1",54,47
2023/01/02,2000 UTC,0,"26,1","23,8",65,53
2023/01/02,2100 UTC,11,"23,8","20,2",91,65
2023/01/02,2200 UTC,"4,8","20,9","19,8",92,88
2023/01/02,2300 UTC,0,"20,4","19,6",91,86
2023/01/03,0000 UTC,0,"19,9","19,1",89,85
2023/01/03,0100 UTC,0,"19,7","19,4",89,85
2023/01/03,0200 UTC,0,"19,7","19,2",90,87
2023/01/03,0300 UTC,0,"19,2","18,8",91,90
2023/01/03,0400 UTC,0,"18,9","18,5",91,90
2023/01/03,0500 UTC,0,"18,5","18,3",92,91
2023/01/03,0600 UTC,0,"18,4","18,1",92,92
2023/01/03,0700 UTC,0,"18,5","18,1",92,91
2023/01/03,0800 UTC,0,"18,4","18,1",93,92
2023/01/03,0900 UTC,0,"18,7",18,93,89
2023/01/03,1000 UTC,0,"19,3","18,2",92,90
2023/01/03,1100 UTC,0,"19,7","19,3",91,89
2023/01/03,1200 UTC,0,"21,5","19,7",89,80
2023/01/03,1300 UTC,0,"22,9","21,4",80,72
2023/01/03,1400 UTC,0,"23,2","22,4",77,70
2023/01/03,1500 UTC,0,"25,2",23,71,60
2023/01/03,1600 UTC,0,"26,8","24,8",63,52
2023/01/03,1700 UTC,0,"27,9","25,6",58,50
2023/01/03,1800 UTC,0,"27,8","24,6",62,48
2023/01/03,1900 UTC,0,"25,3","23,3",61,56
2023/01/03,2000 UTC,0,"23,3","20,7",82,61
2023/01/03,2100 UTC,0,"20,8","19,8",86,82
2023/01/03,2200 UTC,"0,2","20,1","19,7",90,84
2023/01/03,2300 UTC,"0,2","19,7",19,92,90
2023/01/04,0000 UTC,0,"19,8","19,1",93,91
2023/01/04,0100 UTC,0,"19,8",19,93,91
2023/01/04,0200 UTC,"0,2","19,3","18,7",94,93
2023/01/04,0300 UTC,0,"19,2","18,9",94,93
2023/01/04,0400 UTC,0,"19,1","18,8",93,90
2023/01/04,0500 UTC,0,"18,9","18,1",92,90
2023/01/04,0600 UTC,0,"18,3","17,9",93,92
2023/01/04,0700 UTC,0,18,"17,7",94,93
2023/01/04,0800 UTC,0,"17,9","17,7",94,94
2023/01/04,0900 UTC,0,"17,9","17,7",94,94
2023/01/04,1000 UTC,0,"19,1","17,9",94,92
2023/01/04,1100 UTC,0,"20,5","19,1",92,86
2023/01/04,1200 UTC,0,"22,4","20,5",86,72
2023/01/04,1300 UTC,0,"23,5","22,2",73,67
2023/01/04,1400 UTC,1,24,"21,3",80,66
2023/01/04,1500 UTC,0,"24,8","21,9",80,64
2023/01/04,1600 UTC,0,"25,9","23,3",71,56
2023/01/04,1700 UTC,0,26,"22,3",78,58
2023/01/04,1800 UTC,0,"25,8","22,3",73,57
2023/01/04,1900 UTC,0,"25,1","24,3",64,57
2023/01/04,2000 UTC,0,"24,6","23,6",66,60
2023/01/04,2100 UTC,0,"23,6","21,6",78,65
2023/01/04,2200 UTC,0,"21,6","19,9",82,76
2023/01/04,2300 UTC,0,"19,9","19,5",85,82
2023/01/05,0000 UTC,0,"19,8","19,5",84,82
2023/01/05,0100 UTC,0,"19,8","19,5",84,83
2023/01/05,0200 UTC,0,"19,7","19,3",86,84
2023/01/05,0300 UTC,0,"19,5","19,3",87,86
2023/01/05,0400 UTC,0,"19,4","19,2",88,87
2023/01/05,0500 UTC,0,"19,3",19,88,87
2023/01/05,0600 UTC,0,"19,3","18,9",90,87
2023/01/05,0700 UTC,0,19,"18,9",91,90
2023/01/05,0800 UTC,0,"19,1","18,9",92,91
2023/01/05,0900 UTC,0,"18,9","18,8",92,91
2023/01/05,1000 UTC,0,"19,6","18,8",92,90
2023/01/05,1100 UTC,0,"21,2","19,6",90,80
2023/01/05,1200 UTC,0,"22,5","21,1",82,73
2023/01/05,1300 UTC,0,"23,4","22,2",75,70
2023/01/05,1400 UTC,"0,6","23,4","19,2",88,70
2023/01/05,1500 UTC,"0,2","21,9","19,3",90,86
2023/01/05,1600 UTC,0,"24,3","21,8",86,68
2023/01/05,1700 UTC,0,"24,4","22,5",74,68
2023/01/05,1800 UTC,0,"25,1",24,69,61
2023/01/05,1900 UTC,0,"24,9","23,5",69,61
2023/01/05,2000 UTC,0,"25,9","23,9",65,57
2023/01/05,2100 UTC,0,"25,2","23,6",68,60
2023/01/05,2200 UTC,0,"23,8","22,2",74,67
2023/01/05,2300 UTC,0,"22,2","21,2",79,74
2023/01/06,0000 UTC,0,"21,2","20,8",82,79
2023/01/06,0100 UTC,0,"20,9",20,84,79
2023/01/06,0200 UTC,0,"20,1","19,9",85,84
2023/01/06,0300 UTC,0,"20,2","19,9",87,85
2023/01/06,0400 UTC,0,20,"19,5",91,86
2023/01/06,0500 UTC,0,"19,5","19,4",91,91
2023/01/06,0600 UTC,0,"19,5","19,4",92,91
2023/01/06,0700 UTC,0,"19,4","19,3",92,92
2023/01/06,0800 UTC,"0,2","19,4","19,2",93,92
2023/01/06,0900 UTC,0,"19,2","19,1",93,93
2023/01/06,1000 UTC,"0,8","19,2",19,93,92
2023/01/06,1100 UTC,"1,8","19,3","18,9",92,92
2023/01/06,1200 UTC,"0,4","19,4",19,93,92
2023/01/06,1300 UTC,"1,2","19,7","19,1",92,91
2023/01/06,1400 UTC,"0,4",20,"19,6",92,89
2023/01/06,1500 UTC,"1,4",20,"19,5",91,86
2023/01/06,1600 UTC,0,"20,1","19,5",90,88
2023/01/06,1700 UTC,"0,8","20,1","18,3",91,86
2023/01/06,1800 UTC,0,"21,6","19,6",88,75
2023/01/06,1900 UTC,0,"21,5","20,7",79,75
2023/01/06,2000 UTC,0,"21,6","20,4",79,74
2023/01/06,2100 UTC,0,"20,4",20,82,78
2023/01/06,2200 UTC,0,"20,1","18,7",93,82
2023/01/06,2300 UTC,0,"18,7","18,6",93,92
2023/01/07,0000 UTC,0,"18,9","18,6",92,92
2023/01/07,0100 UTC,0,"18,9","18,6",92,92
2023/01/07,0200 UTC,0,"18,6","18,4",92,92
2023/01/07,0300 UTC,0,"18,4","18,2",92,92
2023/01/07,0400 UTC,"0,2","18,2",18,92,92
2023/01/07,0500 UTC,"0,2",18,"17,8",93,92
2023/01/07,0600 UTC,0,"17,8","17,7",93,93
2023/01/07,0700 UTC,0,"17,9","17,6",93,93
2023/01/07,0800 UTC,0,"17,8","17,2",94,93
2023/01/07,0900 UTC,0,"17,7","17,5",94,94
2023/01/07,1000 UTC,0,"18,4","17,7",94,92
2023/01/07,1100 UTC,0,"19,1","18,2",92,90
2023/01/07,1200 UTC,0,"21,5","19,1",90,77
2023/01/07,1300 UTC,0,"23,5","21,3",79,67
2023/01/07,1400 UTC,0,"24,2","23,1",70,62
2023/01/07,1500 UTC,0,"24,2","23,3",67,62
2023/01/07,1600 UTC,0,"26,3","23,7",65,54
2023/01/07,1700 UTC,0,"26,7","24,9",62,54
2023/01/07,1800 UTC,0,"26,3","24,4",63,53
2023/01/07,1900 UTC,0,"27,2",25,60,51
2023/01/07,2000 UTC,0,"26,3",24,65,54
2023/01/07,2100 UTC,"8,6",24,20,90,64
2023/01/07,2200 UTC,0,"21,3","20,9",87,81
2023/01/07,2300 UTC,0,"20,9","20,2",89,85
2023/01/08,0000 UTC,0,"20,2","19,4",90,88
2023/01/08,0100 UTC,0,"19,4","19,3",92,90
2023/01/08,0200 UTC,0,"19,3",19,91,90
2023/01/08,0300 UTC,0,19,"18,8",93,91
2023/01/08,0400 UTC,0,"18,8","18,6",93,91
