Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2016,0,"27,4",26,86,76
01/01/2016,0,"27,3","26,2",86,84
01/01/2016,0,28,"26,9",84,78
01/01/2016,0,"27,6","26,8",84,79
01/01/2016,0,"27,9",27,83,78
01/01/2016,0,"29,1","27,1",80,68
01/01/2016,0,"29,1","27,6",75,66
01/01/2016,0,"29,6","28,8",67,62
01/01/2016,0,"29,8","28,9",67,59
01/01/2016,0,"30,5","28,9",74,56
01/01/2016,0,33,"29,4",67,43
01/01/2016,0,"33,7","31,9",59,40
01/01/2016,0,"34,2","30,7",64,51
01/01/2016,0,"32,3",31,65,57
01/01/2016,0,"31,8","31,2",67,58
01/01/2016,0,"31,5","30,4",67,59
01/01/2016,0,"31,9","29,5",71,60
01/01/2016,0,"30,6","29,2",73,69
01/01/2016,0,"30,3",30,73,70
01/01/2016,0,"30,2",29,77,71
01/01/2016,0,"29,3","28,6",78,75
01/01/2016,0,29,"28,2",79,76
01/01/2016,0,"28,3","27,8",83,78
01/01/2016,"0,4",28,"26,8",89,81
02/01/2016,"0,2",27,"26,5",89,88
02/01/2016,"0,2","26,9","25,1",89,83
02/01/2016,0,"25,9","25,2",88,85
02/01/2016,"0,4","25,5","25,2",89,88
02/01/2016,"0,2","25,5","25,2",90,88
02/01/2016,0,"25,4","25,3",90,90
02/01/2016,0,"25,5","25,3",90,90
02/01/2016,0,"25,5","25,4",90,90
02/01/2016,0,"25,5","25,2",90,88
02/01/2016,0,"25,9","25,4",88,87
02/01/2016,0,"26,2","25,6",88,85
02/01/2016,0,27,"26,1",85,80
02/01/2016,0,27,26,83,80
02/01/2016,0,"26,3","25,9",84,82
02/01/2016,0,"26,6","25,9",84,82
02/01/2016,0,"27,1","26,3",84,82
02/01/2016,"0,2","27,9","26,8",83,79
02/01/2016,0,28,"27,4",80,78
02/01/2016,0,"27,6",27,82,79
02/01/2016,0,"27,1","26,2",84,82
02/01/2016,0,"26,3",26,85,84
02/01/2016,0,"26,2","25,7",84,83
02/01/2016,0,"25,8","25,5",85,84
02/01/2016,0,"25,7","24,9",87,84
03/01/2016,0,"25,4","24,9",88,85
03/01/2016,0,"25,4","25,2",85,85
03/01/2016,0,"25,4",25,87,85
03/01/2016,"2,2",25,24,91,87
03/01/2016,0,"24,2","23,9",92,91
03/01/2016,0,24,"23,6",92,92
03/01/2016,0,24,"23,5",92,92
03/01/2016,0,24,"23,8",92,92
03/01/2016,0,"24,2","23,9",92,91
03/01/2016,0,"24,2",24,91,90
03/01/2016,0,"25,2","24,2",90,88
03/01/2016,0,"25,4","24,7",89,87
03/01/2016,0,"26,4","25,2",87,82
03/01/2016,0,"26,5","25,2",85,79
03/01/2016,0,"25,7","24,5",85,80
03/01/2016,0,"27,6","25,8",80,74
03/01/2016,"0,2","27,8","27,1",75,72
03/01/2016,0,"27,3","26,8",75,73
03/01/2016,0,"27,2","26,3",75,73
03/01/2016,0,"26,7","25,8",77,74
03/01/2016,0,"26,4","25,3",78,74
03/01/2016,0,"25,5",25,79,77
03/01/2016,0,25,"24,9",80,78
03/01/2016,0,"24,9","24,7",81,79
04/01/2016,0,"24,7","24,2",83,80
04/01/2016,0,"24,4","24,2",82,81
04/01/2016,0,"24,3",24,83,81
04/01/2016,0,"24,1","23,9",84,82
04/01/2016,0,24,"23,5",85,83
