Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2016,0,"26,7","24,8",74,62
01/01/2016,0,"25,1","24,4",75,70
01/01/2016,0,"24,3","23,1",80,74
01/01/2016,0,"23,2",22,80,77
01/01/2016,0,"22,2","21,3",85,80
01/01/2016,0,"21,7","21,2",87,84
01/01/2016,0,"21,5","20,5",91,87
01/01/2016,0,"22,1","20,8",91,87
01/01/2016,0,"22,3","21,7",92,90
01/01/2016,0,"23,5","22,3",90,85
01/01/2016,0,"26,1","23,5",85,75
01/01/2016,0,"27,7","26,1",76,67
01/01/2016,0,"30,5","27,6",69,58
01/01/2016,0,"32,3","29,4",61,46
01/01/2016,0,"34,1","32,3",48,43
01/01/2016,0,"34,9","33,2",46,38
01/01/2016,0,"35,8","33,4",44,36
01/01/2016,0,"34,3","30,9",53,38
01/01/2016,0,"32,5","30,7",58,51
01/01/2016,"0,2","30,7","26,7",81,52
01/01/2016,"1,2","27,3","24,2",86,75
01/01/2016,0,"24,6","24,4",89,83
01/01/2016,"0,2","25,7","24,6",90,80
01/01/2016,1,"25,7",22,91,81
02/01/2016,"2,8",22,"21,3",94,91
02/01/2016,1,"21,5","21,3",95,94
02/01/2016,"0,2","21,6","21,4",95,94
02/01/2016,0,"21,8","21,4",95,93
02/01/2016,"0,2","21,6","21,4",95,94
02/01/2016,0,"21,7","21,5",95,93
02/01/2016,0,"21,6","21,3",94,93
02/01/2016,0,"21,3","21,2",95,94
02/01/2016,0,"21,3","21,1",95,95
02/01/2016,0,"21,6","21,3",96,95
02/01/2016,0,"22,4","21,5",95,93
02/01/2016,0,"23,6","22,3",93,86
02/01/2016,0,"25,1","23,4",89,82
02/01/2016,0,"25,9","24,7",84,80
02/01/2016,0,"29,5","25,8",81,67
02/01/2016,0,"30,1","28,3",70,64
02/01/2016,0,"31,5","29,8",69,56
02/01/2016,0,"32,4","29,7",68,52
02/01/2016,2,"31,2","25,6",79,64
02/01/2016,"15,8","25,9","21,9",94,79
02/01/2016,0,"23,8","23,1",93,89
02/01/2016,"42,6","23,7","22,2",96,90
02/01/2016,"9,4","22,4","21,9",96,96
02/01/2016,14,"21,9","21,7",96,96
03/01/2016,6,"22,1","21,9",96,96
03/01/2016,2,"22,1",22,96,96
03/01/2016,"1,8","22,2","22,1",96,96
03/01/2016,"0,8","22,2","22,1",96,96
03/01/2016,"0,4","22,3","22,1",96,96
03/01/2016,"0,2","22,2",22,96,96
03/01/2016,0,"22,2",22,96,96
03/01/2016,"0,2","22,3","22,1",96,94
03/01/2016,0,"22,3","22,2",94,94
03/01/2016,0,"22,8","22,2",95,92
03/01/2016,0,23,"22,8",92,91
03/01/2016,0,"23,7",23,92,88
03/01/2016,0,"23,7","23,3",92,89
03/01/2016,0,"25,3","23,7",89,79
03/01/2016,0,"26,2","24,7",82,78
03/01/2016,0,"26,6","25,5",79,72
03/01/2016,0,"27,2","25,7",77,70
03/01/2016,0,"27,3","25,4",77,68
03/01/2016,0,"25,5","24,9",77,73
03/01/2016,0,"25,4","24,3",77,72
03/01/2016,0,"24,3","23,5",79,75
03/01/2016,0,"23,5","22,8",82,79
03/01/2016,0,23,"22,6",82,79
03/01/2016,0,"22,9","22,5",82,79
04/01/2016,0,"22,6","22,4",82,78
04/01/2016,0,"22,5","22,2",80,77
04/01/2016,0,"22,2","21,4",84,79
04/01/2016,0,"21,7","20,2",90,82
04/01/2016,0,"20,8","19,4",94,88
04/01/2016,0,"19,5","19,2",95,94
04/01/2016,0,"19,4","18,9",95,95
04/01/2016,0,"19,4","18,9",96,95
04/01/2016,0,"19,8","19,3",96,95
04/01/2016,0,"20,5","19,4",95,95
04/01/2016,0,"21,7","20,6",95,87
04/01/2016,0,"22,8","21,7",90,78
04/01/2016,0,"24,6","22,7",81,70
04/01/2016,0,"25,6","24,6",73,66
04/01/2016,0,"27,9","25,4",68,56
04/01/2016,0,"27,9","26,4",65,54
04/01/2016,0,"28,9","26,7",65,54
04/01/2016,0,"29,8","27,7",59,51
04/01/2016,0,"28,7","27,3",61,56
04/01/2016,0,"28,9","26,7",63,52
04/01/2016,0,"27,1","26,2",65,60
04/01/2016,0,"26,3","24,8",68,65
04/01/2016,0,"24,8","23,2",75,66
04/01/2016,0,"23,2",22,81,75
