Data,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2018,0,"25,2","24,4",92,88
01/01/2018,0,"24,8","24,1",93,89
01/01/2018,0,"24,4","23,9",93,91
01/01/2018,0,24,"23,8",92,92
01/01/2018,0,"23,8","23,7",93,92
01/01/2018,0,"23,8","23,5",94,92
01/01/2018,0,"23,5",23,95,93
01/01/2018,0,"23,5","22,8",95,93
01/01/2018,0,"22,9","22,6",95,94
01/01/2018,0,"22,8","22,4",95,93
01/01/2018,0,"25,3","22,8",92,83
01/01/2018,0,"28,7","25,2",83,71
01/01/2018,0,"29,3","27,4",77,63
01/01/2018,0,"31,6",29,66,59
01/01/2018,0,"31,9","30,6",67,58
01/01/2018,0,"33,1","31,6",63,53
01/01/2018,0,"33,5","31,7",60,50
01/01/2018,0,"32,9","31,7",58,53
01/01/2018,0,"33,5",32,57,52
01/01/2018,0,"33,6","29,7",62,52
01/01/2018,0,"31,2","29,2",69,61
01/01/2018,0,"29,3","28,1",76,67
01/01/2018,0,"28,2","27,6",77,68
01/01/2018,0,"27,9","26,5",79,72
02/01/2018,0,"26,5","25,8",86,78
02/01/2018,0,"25,8",25,87,86
02/01/2018,0,25,"24,4",88,86
02/01/2018,0,"24,5","24,2",88,87
02/01/2018,0,"24,2","23,6",90,87
02/01/2018,0,"23,7","23,5",90,88
02/01/2018,0,"23,5","23,1",91,89
02/01/2018,0,"23,1","22,9",92,90
02/01/2018,0,"22,9","22,7",92,90
02/01/2018,0,"23,3","22,8",91,89
02/01/2018,0,"25,6","23,3",89,80
02/01/2018,0,29,"25,6",81,67
02/01/2018,0,"31,1","28,9",70,61
02/01/2018,0,"33,4","30,9",65,57
02/01/2018,0,"34,3","32,1",62,53
02/01/2018,0,"36,2","33,4",56,45
02/01/2018,0,"36,2","34,4",51,43
02/01/2018,0,"35,5","33,1",55,45
02/01/2018,0,"36,7","31,7",68,43
02/01/2018,0,"34,9","31,2",69,50
02/01/2018,0,"33,8","31,9",63,51
02/01/2018,0,"32,6","29,7",79,53
02/01/2018,0,"29,8","29,3",80,73
02/01/2018,0,"29,2","27,9",79,74
03/01/2018,0,"28,3","27,9",84,79
03/01/2018,0,"28,3","27,6",83,79
03/01/2018,0,"27,8",27,83,80
03/01/2018,0,"27,2","26,3",82,75
03/01/2018,0,"26,3","25,7",82,80
03/01/2018,0,26,"24,9",85,78
03/01/2018,0,"25,2","24,7",86,83
03/01/2018,0,"25,2","24,3",86,83
03/01/2018,0,"24,5","24,1",87,84
03/01/2018,0,"24,7","24,1",87,84
03/01/2018,0,26,"24,7",84,78
03/01/2018,0,28,26,82,75
03/01/2018,0,"29,6","27,9",76,69
03/01/2018,0,"31,4","29,7",69,57
03/01/2018,0,"33,6","30,8",65,55
03/01/2018,0,"35,8","31,5",63,46
03/01/2018,0,"33,9","31,1",66,53
03/01/2018,0,"31,9","30,4",69,60
03/01/2018,0,"31,9","28,2",79,62
03/01/2018,13,"28,1","24,2",96,79
03/01/2018,4,"25,1","24,4",97,91
03/01/2018,"11,8","24,8","22,8",96,91
03/01/2018,"4,8",24,"22,5",96,90
03/01/2018,"7,6",24,"23,1",96,90
04/01/2018,"10,2","23,4",23,97,95
04/01/2018,"5,8","23,1","22,6",97,94
04/01/2018,"0,6","23,1","22,7",95,92
04/01/2018,0,"22,9","22,5",96,93
04/01/2018,1,"22,8","22,6",96,95
04/01/2018,"1,6","22,7","22,4",96,95
04/01/2018,"1,8","22,6","22,2",97,95
04/01/2018,0,"22,3","22,2",96,95
04/01/2018,"0,4","22,3","22,2",96,95
04/01/2018,0,"22,6","22,2",96,95
04/01/2018,0,"23,8","22,6",95,91
04/01/2018,0,"25,1","23,8",92,84
04/01/2018,0,"27,1","25,1",87,73
04/01/2018,0,28,26,80,73
04/01/2018,0,"29,5",27,79,64
04/01/2018,0,"29,4","28,1",72,62
04/01/2018,0,"29,6","27,9",68,59
04/01/2018,0,"28,5","27,5",71,65
04/01/2018,0,"28,2","27,6",72,66
04/01/2018,0,"28,4","27,2",72,51
04/01/2018,0,"27,2","25,9",75,61
04/01/2018,0,26,"25,1",72,68
04/01/2018,0,"25,3","24,4",81,71
04/01/2018,0,"24,8","23,3",82,72
05/01/2018,0,"23,3","22,6",85,81
