Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,28.0,24.5,81.28125,75.203125
2,0.0,25.933333333333334,25.055555555555557,72.61904761904762,65.88095238095238
3,0.0,28.57894736842105,28.1,74.625,67.82142857142857
4,0.006211180124223602,24.884615384615383,24.846153846153847,77.2797619047619,70.89880952380952
5,0.0,29.41176470588235,26.833333333333332,70.11309523809524,62.51190476190476
6,0.04216867469879518,24.142857142857142,22.8,81.25,76.10119047619048
7,0.028985507246376812,24.210526315789473,22.5,83.39285714285714,78.0297619047619
8,0.0,26.53846153846154,24.846153846153847,81.97619047619048,75.94047619047619
9,0.25,25.391304347826086,24.31578947368421,84.75595238095238,78.92857142857143
10,0.012578616352201259,25.75,25.714285714285715,81.43452380952381,75.88095238095238
11,0.045454545454545456,25.88888888888889,24.428571428571427,84.85119047619048,79.00595238095238
12,0.013513513513513514,23.916666666666668,23.333333333333332,85.23809523809524,80.38690476190476
13,0.0,23.238095238095237,22.77777777777778,82.33928571428571,76.5
14,0.0,25.076923076923077,23.0,81.39880952380952,76.10714285714286
15,0.0136986301369863,23.727272727272727,22.63157894736842,87.42857142857143,83.08928571428571
16,0.006211180124223602,23.833333333333332,22.5,83.64880952380952,78.66666666666667
17,0.0,22.636363636363637,22.0625,81.25,75.94047619047619
18,0.0,23.823529411764707,23.75,83.45833333333333,78.30357142857143
19,0.0,22.764705882352942,21.235294117647058,83.125,78.49404761904762
20,0.0,22.77777777777778,21.347826086956523,87.41071428571429,83.47619047619048
21,0.0,21.294117647058822,18.3125,85.1547619047619,79.85119047619048
22,0.0,22.375,20.88888888888889,81.61904761904762,76.39880952380952
23,0.0,18.41176470588235,18.583333333333332,85.5297619047619,80.2797619047619
24,0.0,20.727272727272727,18.88235294117647,82.41071428571429,77.25595238095238
25,0.0,20.785714285714285,17.692307692307693,82.86309523809524,77.48809523809524
26,0.0,21.5,20.4375,76.79166666666667,70.73214285714286
27,0.0,19.4375,18.285714285714285,80.86904761904762,74.38690476190476
28,0.0,16.57894736842105,15.666666666666666,79.3452380952381,73.18452380952381
29,0.0,17.25,16.307692307692307,78.25595238095238,73.26785714285714
30,0.0,21.214285714285715,17.46153846153846,75.03571428571429,68.91666666666667
31,0.0,18.642857142857142,20.266666666666666,78.0,72.61904761904762
32,,19.166666666666668,18.944444444444443,77.7202380952381,72.23214285714286
33,,19.470588235294116,18.529411764705884,71.45833333333333,65.38095238095238
34,0.0,18.0,17.555555555555557,83.02380952380952,78.98809523809524
35,0.0,20.0,20.823529411764707,71.19642857142857,65.86904761904762
36,0.0,20.2,20.210526315789473,82.89880952380952,78.93452380952381
37,0.0,25.294117647058822,23.533333333333335,68.91071428571429,62.964285714285715
38,0.0,23.8125,23.3125,71.18452380952381,65.97619047619048
39,0.03676470588235294,19.529411764705884,18.42105263157895,83.29375,79.23125
40,0.0,21.333333333333332,21.266666666666666,68.83928571428571,63.220238095238095
41,0.0,24.3125,22.625,79.76785714285714,75.20238095238095
42,0.0,23.176470588235293,24.0,75.6547619047619,69.7797619047619
43,0.0,24.09090909090909,23.555555555555557,76.70833333333333,71.9047619047619
44,0.08227848101265822,26.235294117647058,22.789473684210527,75.375,69.60714285714286
45,0.0,24.181818181818183,23.8,77.9047619047619,73.03571428571429
46,0.041379310344827586,22.36,22.294117647058822,82.95209580838323,78.92215568862275
47,0.08275862068965517,22.083333333333332,21.666666666666668,84.51190476190476,79.69642857142857
48,0.11688311688311688,23.625,22.210526315789473,77.77380952380952,72.76785714285714
49,0.006329113924050633,21.16,21.46153846153846,81.19047619047619,76.32142857142857
50,0.056338028169014086,24.294117647058822,23.416666666666668,81.66071428571429,77.4702380952381
51,0.11333333333333333,26.357142857142858,25.272727272727273,76.23214285714286,70.06547619047619
52,0.3225806451612903,25.294117647058822,22.454545454545453,79.89285714285714,74.11904761904762
