Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2020,0000 UTC,0,"25,5","24,1",71.0,66.0
01/01/2020,0100 UTC,0,"24,8","23,4",77.0,71.0
01/01/2020,0200 UTC,0,"23,9","22,8",83.0,77.0
01/01/2020,0300 UTC,0,"24,6","23,9",77.0,73.0
01/01/2020,0400 UTC,0,"24,3","23,7",76.0,74.0
01/01/2020,0500 UTC,0,"23,9","23,1",79.0,76.0
01/01/2020,0600 UTC,0,"23,2","22,3",84.0,79.0
01/01/2020,0700 UTC,0,"22,3","21,9",84.0,82.0
01/01/2020,0800 UTC,0,"22,5","21,8",84.0,80.0
01/01/2020,0900 UTC,0,"22,5","21,9",83.0,82.0
01/01/2020,1000 UTC,0,"23,9","22,5",82.0,77.0
01/01/2020,1100 UTC,0,26,"23,9",78.0,71.0
01/01/2020,1200 UTC,0,"27,1","25,4",72.0,66.0
01/01/2020,1300 UTC,0,"29,1",27,68.0,60.0
01/01/2020,1400 UTC,0,"30,2","28,4",62.0,56.0
01/01/2020,1500 UTC,0,"31,6","29,6",58.0,51.0
01/01/2020,1600 UTC,0,"32,7","31,2",53.0,47.0
01/01/2020,1700 UTC,0,"33,4","32,3",49.0,44.0
01/01/2020,1800 UTC,0,"33,5","30,5",52.0,44.0
01/01/2020,1900 UTC,"2,4","30,5",21,89.0,49.0
01/01/2020,2000 UTC,"1,6","22,8","20,7",91.0,86.0
01/01/2020,2100 UTC,0,"23,9","22,7",86.0,79.0
01/01/2020,2200 UTC,0,"23,1","21,8",86.0,78.0
01/01/2020,2300 UTC,"0,2","21,8","20,6",92.0,85.0
02/01/2020,0000 UTC,0,"21,1","20,4",93.0,91.0
02/01/2020,0100 UTC,0,"21,1","20,5",92.0,91.0
02/01/2020,0200 UTC,0,"21,2",20,94.0,90.0
02/01/2020,0300 UTC,0,"20,9","20,1",94.0,91.0
02/01/2020,0400 UTC,0,21,"20,5",91.0,90.0
02/01/2020,0500 UTC,0,"20,9","20,2",93.0,90.0
02/01/2020,0600 UTC,0,"20,7","20,1",93.0,92.0
02/01/2020,0700 UTC,0,"20,9","20,4",92.0,91.0
02/01/2020,0800 UTC,0,21,"20,5",92.0,90.0
02/01/2020,0900 UTC,0,22,21,90.0,87.0
02/01/2020,1000 UTC,0,"23,4",22,87.0,83.0
02/01/2020,1100 UTC,0,"24,8","23,4",84.0,78.0
02/01/2020,1200 UTC,0,"25,6","24,8",80.0,74.0
02/01/2020,1300 UTC,0,27,"25,5",76.0,70.0
02/01/2020,1400 UTC,0,28,27,73.0,66.0
02/01/2020,1500 UTC,0,"30,1",28,68.0,59.0
02/01/2020,1600 UTC,0,31,"29,7",62.0,54.0
02/01/2020,1700 UTC,0,"31,4","30,5",60.0,53.0
02/01/2020,1800 UTC,0,"32,3","30,8",60.0,52.0
02/01/2020,1900 UTC,"5,4","31,5","21,6",93.0,54.0
02/01/2020,2000 UTC,"56,2","21,6","20,3",96.0,93.0
02/01/2020,2100 UTC,"3,6","20,6","20,2",96.0,96.0
02/01/2020,2200 UTC,"1,4","21,6","20,4",96.0,96.0
02/01/2020,2300 UTC,0,"21,7","21,3",96.0,95.0
03/01/2020,0000 UTC,0,"21,5","21,2",96.0,96.0
03/01/2020,0100 UTC,0,"21,4","20,8",96.0,96.0
03/01/2020,0200 UTC,0,21,"20,7",96.0,96.0
03/01/2020,0300 UTC,0,21,"20,7",96.0,96.0
03/01/2020,0400 UTC,0,21,"20,7",96.0,96.0
03/01/2020,0500 UTC,0,21,"20,8",96.0,96.0
03/01/2020,0600 UTC,0,21,"20,9",96.0,96.0
03/01/2020,0700 UTC,0,"21,1",21,96.0,96.0
03/01/2020,0800 UTC,0,"21,1",21,96.0,95.0
03/01/2020,0900 UTC,0,"21,2","21,1",95.0,95.0
03/01/2020,1000 UTC,0,"21,8","21,2",95.0,94.0
03/01/2020,1100 UTC,0,"23,3","21,8",94.0,90.0
03/01/2020,1200 UTC,0,"24,4","23,3",91.0,79.0
03/01/2020,1300 UTC,"0,2",25,"24,2",80.0,76.0
03/01/2020,1400 UTC,0,26,"24,7",78.0,71.0
03/01/2020,1500 UTC,0,"27,2","25,6",75.0,69.0
03/01/2020,1600 UTC,0,"27,5","24,7",80.0,68.0
03/01/2020,1700 UTC,0,"25,4",24,81.0,77.0
03/01/2020,1800 UTC,0,"24,1","22,8",86.0,80.0
03/01/2020,1900 UTC,"2,4","23,2","22,5",90.0,86.0
03/01/2020,2000 UTC,0,"23,2","22,8",89.0,86.0
03/01/2020,2100 UTC,0,23,"22,5",87.0,84.0
03/01/2020,2200 UTC,0,"22,5","21,9",90.0,86.0
03/01/2020,2300 UTC,0,22,"21,6",91.0,90.0
04/01/2020,0000 UTC,0,"21,8","21,2",93.0,91.0
04/01/2020,0100 UTC,0,"21,2",21,94.0,93.0
04/01/2020,0200 UTC,0,"21,1","20,7",94.0,93.0
04/01/2020,0300 UTC,0,"21,1","20,7",94.0,94.0
04/01/2020,0400 UTC,0,"20,8","20,6",94.0,94.0
04/01/2020,0500 UTC,0,"20,8","20,5",95.0,94.0
04/01/2020,0600 UTC,0,"20,6","20,2",95.0,95.0
