Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
01/01/2020,0000 UTC,0,"968,5","968,5","967,8",,"24,7",19,"25,5","24,1","19,1","18,4",71,66,71,357,"2,4","1,3"
01/01/2020,0100 UTC,0,"969,2","969,2","968,5",,"23,4","19,1","24,8","23,4","19,6",19,77,71,77,351,"2,4","1,1"
01/01/2020,0200 UTC,0,"969,5","969,6","969,2",,"23,9","19,7","23,9","22,8","20,1","19,2",83,77,77,345,"2,9","1,7"
01/01/2020,0300 UTC,0,"969,4","969,6","969,4",,"24,3","19,4","24,6","23,9","19,6","19,3",77,73,74,353,"4,4","2,3"
01/01/2020,0400 UTC,0,969,"969,5",969,,"23,7","19,3","24,3","23,7","19,4","19,2",76,74,76,347,"4,9","2,4"
01/01/2020,0500 UTC,0,"968,6",969,"968,5",,"23,1","19,3","23,9","23,1","19,4","19,3",79,76,79,355,"5,2","1,9"
01/01/2020,0600 UTC,0,"968,4","968,6","968,4",,"22,3","19,3","23,2","22,3","19,5",19,84,79,83,30,4,"1,5"
01/01/2020,0700 UTC,0,"968,7","968,7","968,4",,"22,3",19,"22,3","21,9","19,3",19,84,82,82,359,"2,9","1,8"
01/01/2020,0800 UTC,0,969,969,"968,6",,"21,9",19,"22,5","21,8","19,1","18,8",84,80,83,18,"4,3","1,5"
01/01/2020,0900 UTC,0,"969,3","969,5",969,"158,9","22,5","19,2","22,5","21,9","19,3","18,9",83,82,82,3,"4,5","2,2"
01/01/2020,1000 UTC,0,"969,2","969,3","969,2","657,7","23,9","19,7","23,9","22,5","19,9","19,2",82,77,77,9,"6,4","2,7"
01/01/2020,1100 UTC,0,"969,3","969,3","969,2","1425,4",26,"20,5",26,"23,9","20,5","19,6",78,71,72,31,"7,8","2,9"
01/01/2020,1200 UTC,0,"968,7","969,3","968,7","2251,6",27,"20,5","27,1","25,4","20,8","19,7",72,66,68,38,"7,5","3,7"
01/01/2020,1300 UTC,0,"968,3","968,7","968,3","3190,7","28,5","20,2","29,1",27,"20,9","20,1",68,60,61,42,"7,6","3,7"
01/01/2020,1400 UTC,0,"967,7","968,3","967,7","3063,3","29,8","20,5","30,2","28,4",21,"19,9",62,56,58,45,"6,9","3,5"
