Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2021,0000 UTC,0,"24,7","24,2",75.0,70.0
01/01/2021,0100 UTC,0,"24,3","23,6",78.0,75.0
01/01/2021,0200 UTC,0,"23,6","22,8",82.0,78.0
01/01/2021,0300 UTC,0,"22,8","22,4",85.0,82.0
01/01/2021,0400 UTC,0,23,"22,5",84.0,81.0
01/01/2021,0500 UTC,0,"22,7","22,3",86.0,83.0
01/01/2021,0600 UTC,0,"22,3","22,1",86.0,85.0
01/01/2021,0700 UTC,0,"22,1","21,7",87.0,86.0
01/01/2021,0800 UTC,0,"21,9","21,5",88.0,86.0
01/01/2021,0900 UTC,0,"24,2","21,5",88.0,81.0
01/01/2021,1000 UTC,0,"26,6","24,1",82.0,72.0
01/01/2021,1100 UTC,0,"28,9","26,2",74.0,64.0
01/01/2021,1200 UTC,0,"30,6","28,8",65.0,57.0
01/01/2021,1300 UTC,0,"31,9","30,2",61.0,53.0
01/01/2021,1400 UTC,0,"32,8","31,4",57.0,48.0
01/01/2021,1500 UTC,0,"34,3","32,6",52.0,45.0
01/01/2021,1600 UTC,0,"34,5","32,6",54.0,46.0
01/01/2021,1700 UTC,0,33,"31,7",55.0,50.0
01/01/2021,1800 UTC,0,"31,8",29,58.0,51.0
01/01/2021,1900 UTC,0,29,"26,7",74.0,58.0
01/01/2021,2000 UTC,0,"27,9","25,9",72.0,65.0
01/01/2021,2100 UTC,0,"25,9","25,5",75.0,72.0
01/01/2021,2200 UTC,0,"25,8","25,3",75.0,72.0
01/01/2021,2300 UTC,0,"25,4",25,78.0,75.0
02/01/2021,0000 UTC,0,"25,1","24,6",83.0,77.0
02/01/2021,0100 UTC,0,"24,7","24,4",85.0,83.0
02/01/2021,0200 UTC,0,"24,7","23,9",88.0,83.0
02/01/2021,0300 UTC,0,"23,9","23,6",90.0,88.0
02/01/2021,0400 UTC,0,24,"23,5",91.0,89.0
02/01/2021,0500 UTC,0,"23,5","22,4",91.0,88.0
02/01/2021,0600 UTC,0,"22,5","22,3",90.0,89.0
02/01/2021,0700 UTC,0,"22,5","22,3",91.0,90.0
