Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2021,0000 UTC,0,"24,6","24,2",91.0,89.0
01/01/2021,0100 UTC,0,"24,4",24,90.0,88.0
01/01/2021,0200 UTC,0,24,"23,6",91.0,90.0
01/01/2021,0300 UTC,,,,,
01/01/2021,0400 UTC,,,,,
01/01/2021,0500 UTC,,,,,
01/01/2021,0600 UTC,,,,,
01/01/2021,0700 UTC,,,,,
01/01/2021,0800 UTC,,,,,
01/01/2021,0900 UTC,0,,,,
01/01/2021,1000 UTC,0,"23,7","22,6",91.0,88.0
01/01/2021,1100 UTC,0,25,"23,5",90.0,85.0
01/01/2021,1200 UTC,0,"26,6","24,9",85.0,79.0
01/01/2021,1300 UTC,0,"27,1","26,4",82.0,77.0
01/01/2021,1400 UTC,0,"26,9","26,2",85.0,78.0
01/01/2021,1500 UTC,0,"27,4","26,4",85.0,75.0
01/01/2021,1600 UTC,0,28,"26,8",83.0,74.0
01/01/2021,1700 UTC,0,"28,9","27,6",80.0,69.0
01/01/2021,1800 UTC,0,"28,6","27,6",80.0,74.0
01/01/2021,1900 UTC,0,"27,8","26,4",82.0,73.0
01/01/2021,2000 UTC,0,"27,2","26,7",80.0,75.0
01/01/2021,2100 UTC,0,"27,1","26,6",82.0,78.0
01/01/2021,2200 UTC,0,"26,7","25,6",84.0,80.0
01/01/2021,2300 UTC,0,"25,7","25,3",87.0,83.0
02/01/2021,0000 UTC,0,"25,5","25,2",88.0,86.0
02/01/2021,0100 UTC,0,"25,4","24,9",89.0,87.0
02/01/2021,0200 UTC,0,25,"24,3",91.0,87.0
02/01/2021,0300 UTC,,,,,
02/01/2021,0400 UTC,,,,,
02/01/2021,0500 UTC,,,,,
02/01/2021,0600 UTC,,,,,
02/01/2021,0700 UTC,,,,,
02/01/2021,0800 UTC,,,,,
02/01/2021,0900 UTC,"0,4",,,,
02/01/2021,1000 UTC,0,"23,5","23,1",97.0,97.0
02/01/2021,1100 UTC,"3,8","23,6","23,2",97.0,96.0
02/01/2021,1200 UTC,1,"24,4","23,4",97.0,92.0
02/01/2021,1300 UTC,21,"24,5",23,98.0,92.0
02/01/2021,1400 UTC,"5,8","23,7","23,2",98.0,97.0
02/01/2021,1500 UTC,"2,4","24,2","23,3",98.0,96.0
02/01/2021,1600 UTC,0,"24,7","23,8",97.0,88.0
02/01/2021,1700 UTC,"1,2","24,8","23,9",92.0,88.0
02/01/2021,1800 UTC,"1,2","23,9","23,5",96.0,91.0
02/01/2021,1900 UTC,"4,8","23,4","22,6",97.0,96.0
02/01/2021,2000 UTC,"2,6","22,9","22,5",97.0,97.0
02/01/2021,2100 UTC,"1,6","22,8","21,8",97.0,89.0
02/01/2021,2200 UTC,0,"22,5","21,7",96.0,93.0
02/01/2021,2300 UTC,0,"22,1","21,5",96.0,94.0
03/01/2021,0000 UTC,0,"21,7","21,6",96.0,95.0
03/01/2021,0100 UTC,,,,,
03/01/2021,0200 UTC,,,,,
03/01/2021,0300 UTC,,,,,
03/01/2021,0400 UTC,,,,,
03/01/2021,0500 UTC,,,,,
03/01/2021,0600 UTC,,,,,
03/01/2021,0700 UTC,,,,,
03/01/2021,0800 UTC,,,,,
03/01/2021,0900 UTC,0,,,,
03/01/2021,1000 UTC,0,"21,7","20,7",98.0,97.0
03/01/2021,1100 UTC,0,"23,1","21,7",97.0,84.0
03/01/2021,1200 UTC,0,"25,2","22,7",85.0,77.0
03/01/2021,1300 UTC,"0,2","26,3","24,4",82.0,75.0
03/01/2021,1400 UTC,0,28,26,79.0,69.0
03/01/2021,1500 UTC,0,"27,9","26,1",80.0,71.0
03/01/2021,1600 UTC,0,"28,6","26,9",77.0,67.0
03/01/2021,1700 UTC,0,"28,8","26,4",76.0,68.0
03/01/2021,1800 UTC,0,"26,7","25,3",80.0,73.0
03/01/2021,1900 UTC,"0,2","25,4","24,7",86.0,80.0
