Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.16822429906542055,28.88888888888889,28.0,84.43103448275862,76.93103448275862
2,0.025423728813559324,29.0,28.25,78.83760683760684,71.32478632478633
3,0.0,30.555555555555557,28.61111111111111,72.00840336134453,64.68067226890756
4,0.0,31.571428571428573,29.0,70.97478991596638,61.96638655462185
5,0.05309734513274336,28.142857142857142,27.666666666666668,76.70434782608696,68.62608695652175
6,0.05,24.416666666666668,25.0,84.29310344827586,76.32758620689656
7,0.04672897196261682,27.444444444444443,26.0,82.37931034482759,74.19827586206897
8,0.0,26.25,25.142857142857142,83.87719298245614,76.33333333333333
9,0.13761467889908258,28.1,26.88888888888889,80.19827586206897,72.61206896551724
10,0.0,27.76923076923077,26.5,84.19469026548673,77.22123893805309
11,0.0,28.5,26.22222222222222,80.41228070175438,73.49122807017544
12,0.0,30.0,27.818181818181817,76.87826086956522,69.69565217391305
13,0.0,27.307692307692307,25.235294117647058,78.54128440366972,69.1651376146789
14,0.037383177570093455,26.636363636363637,26.666666666666668,74.59813084112149,66.30841121495327
15,0.04950495049504951,26.4,24.571428571428573,77.4,69.34285714285714
16,0.10679611650485436,25.77777777777778,23.5,78.98058252427184,70.84466019417475
17,0.1,23.53846153846154,22.77777777777778,79.98863636363636,71.97727272727273
18,0.0,24.636363636363637,22.818181818181817,82.03061224489795,75.1938775510204
19,0.04597701149425287,21.75,20.0,81.0,73.89655172413794
20,0.0,25.083333333333332,21.75,80.97368421052632,72.98684210526316
21,0.0,23.11111111111111,22.384615384615383,78.57303370786516,70.75280898876404
22,0.0,26.88888888888889,23.555555555555557,76.75862068965517,68.33333333333333
23,0.0,23.125,21.4,86.16363636363636,79.72727272727273
24,0.0,21.5,19.666666666666668,82.74242424242425,75.15151515151516
25,0.0,21.857142857142858,21.5,81.86315789473684,74.67368421052632
26,0.0,21.0,19.0,82.0,72.16666666666667
27,0.0,22.333333333333332,20.666666666666668,84.625,76.0
28,0.0,22.333333333333332,20.6,83.125,74.9375
29,0.0,21.285714285714285,18.375,73.28421052631579,65.11578947368422
30,0.0,19.307692307692307,16.666666666666668,75.03053435114504,67.89312977099236
31,0.024390243902439025,18.105263157894736,18.238095238095237,83.16666666666667,77.60714285714286
32,0.0064516129032258064,21.142857142857142,18.63157894736842,86.79761904761905,81.78571428571429
33,0.0,22.166666666666668,20.533333333333335,85.98809523809524,80.63690476190476
34,0.027586206896551724,23.5625,21.846153846153847,82.69642857142857,76.88690476190476
35,0.05223880597014925,21.68421052631579,21.476190476190474,88.41830065359477,83.43137254901961
36,0.0,24.833333333333332,22.5,87.41071428571429,82.48214285714286
37,0.00625,23.57894736842105,21.526315789473685,87.55357142857143,82.38095238095238
38,0.0,21.59090909090909,20.5,83.41071428571429,77.36309523809524
39,0.006211180124223602,24.136363636363637,21.823529411764707,85.39880952380952,79.77380952380952
40,0.07142857142857142,20.647058823529413,20.681818181818183,91.83333333333333,87.45238095238095
41,0.06569343065693431,22.705882352941178,22.2,89.19642857142857,84.00595238095238
42,0.007246376811594203,21.8125,20.05263157894737,86.58333333333333,80.88690476190476
43,0.06153846153846154,21.705882352941178,20.941176470588236,92.39285714285714,88.875
44,0.028985507246376812,22.357142857142858,21.0,86.9047619047619,81.94642857142857
45,0.0684931506849315,20.625,21.294117647058822,85.0952380952381,80.18452380952381
46,0.031496062992125984,22.833333333333332,22.916666666666668,86.51190476190476,81.38690476190476
47,0.0,24.45,23.210526315789473,82.72619047619048,76.71428571428571
48,0.03333333333333333,26.0,23.5625,87.39880952380952,81.73214285714286
49,0.10852713178294573,23.176470588235293,22.857142857142858,87.44047619047619,81.88095238095238
50,0.16,25.058823529411764,24.25,91.46706586826348,86.60479041916167
51,0.0070921985815602835,24.42105263157895,23.263157894736842,84.80239520958084,78.77245508982035
52,0.0989010989010989,23.88888888888889,23.3,88.04201680672269,82.39495798319328
53,0.5789473684210527,25.5,24.333333333333332,89.42857142857143,84.40816326530613
