Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2022,0000 UTC,0,"24,9","23,9",88.0,83.0
01/01/2022,0100 UTC,0,"24,7","24,4",84.0,82.0
01/01/2022,0200 UTC,"0,2","24,5",24,85.0,83.0
01/01/2022,0300 UTC,"0,2","24,4","23,8",84.0,82.0
01/01/2022,0400 UTC,0,"24,3","23,6",83.0,81.0
01/01/2022,0500 UTC,0,"24,2","23,4",86.0,77.0
01/01/2022,0600 UTC,"0,8","23,4","22,3",90.0,86.0
01/01/2022,0700 UTC,0,"22,8","22,4",89.0,86.0
01/01/2022,0800 UTC,"0,6","22,8","22,6",89.0,86.0
01/01/2022,0900 UTC,0,"23,1","22,3",90.0,86.0
01/01/2022,1000 UTC,0,"23,6","22,4",91.0,87.0
01/01/2022,1100 UTC,0,"23,9","23,5",89.0,87.0
01/01/2022,1200 UTC,0,"24,8","23,5",90.0,86.0
01/01/2022,1300 UTC,0,"26,1","24,4",87.0,74.0
01/01/2022,1400 UTC,0,"26,1","24,4",85.0,74.0
01/01/2022,1500 UTC,0,"24,9","24,1",86.0,83.0
01/01/2022,1600 UTC,"0,2",26,"24,5",84.0,79.0
01/01/2022,1700 UTC,0,"26,4","24,5",84.0,80.0
01/01/2022,1800 UTC,0,"26,7","25,3",84.0,79.0
01/01/2022,1900 UTC,0,"27,4","25,8",84.0,75.0
01/01/2022,2000 UTC,0,"27,6","26,3",77.0,67.0
01/01/2022,2100 UTC,0,"27,3","26,9",72.0,69.0
01/01/2022,2200 UTC,0,"27,2","26,4",72.0,70.0
01/01/2022,2300 UTC,0,"26,7","25,4",74.0,70.0
02/01/2022,0000 UTC,0,"26,5","25,1",76.0,70.0
02/01/2022,0100 UTC,0,"26,5","24,6",79.0,69.0
02/01/2022,0200 UTC,0,"25,1","24,2",85.0,79.0
02/01/2022,0300 UTC,0,"25,6","25,1",82.0,79.0
02/01/2022,0400 UTC,0,"25,7","24,9",81.0,78.0
02/01/2022,0500 UTC,0,"25,7",25,82.0,78.0
02/01/2022,0600 UTC,0,"26,5","25,5",78.0,71.0
02/01/2022,0700 UTC,0,"26,6","25,6",74.0,70.0
02/01/2022,0800 UTC,"0,2","25,9","24,4",80.0,74.0
02/01/2022,0900 UTC,0,"25,6","24,2",80.0,75.0
02/01/2022,1000 UTC,0,"27,8","25,6",75.0,64.0
02/01/2022,1100 UTC,0,"28,3","26,3",72.0,60.0
02/01/2022,1200 UTC,0,"28,1","26,5",71.0,67.0
02/01/2022,1300 UTC,0,"29,4","26,3",73.0,62.0
02/01/2022,1400 UTC,0,"29,2","26,3",73.0,61.0
02/01/2022,1500 UTC,0,"28,2","26,7",74.0,69.0
02/01/2022,1600 UTC,0,"27,2","25,6",79.0,72.0
02/01/2022,1700 UTC,0,"27,5","25,2",77.0,70.0
02/01/2022,1800 UTC,0,"26,4","25,3",75.0,70.0
02/01/2022,1900 UTC,0,"26,8","25,3",78.0,69.0
02/01/2022,2000 UTC,0,"26,1","25,4",76.0,69.0
02/01/2022,2100 UTC,0,"26,2","25,3",72.0,69.0
02/01/2022,2200 UTC,0,"25,3","24,2",82.0,72.0
02/01/2022,2300 UTC,0,25,"23,7",87.0,80.0
03/01/2022,0000 UTC,0,"24,2","23,5",89.0,86.0
03/01/2022,0100 UTC,0,"26,5","24,2",87.0,74.0
03/01/2022,0200 UTC,0,"26,4","23,2",88.0,74.0
03/01/2022,0300 UTC,0,"23,7","23,1",92.0,88.0
03/01/2022,0400 UTC,0,"23,9","23,6",92.0,91.0
03/01/2022,0500 UTC,0,24,"23,4",92.0,91.0
03/01/2022,0600 UTC,0,"23,8","23,5",93.0,91.0
03/01/2022,0700 UTC,0,"24,5","23,6",93.0,89.0
03/01/2022,0800 UTC,0,"24,7","23,8",89.0,88.0
03/01/2022,0900 UTC,0,"25,3","24,2",89.0,87.0
03/01/2022,1000 UTC,0,"26,2","25,1",87.0,83.0
03/01/2022,1100 UTC,0,"27,8","25,7",83.0,73.0
03/01/2022,1200 UTC,0,"28,9","25,2",81.0,67.0
03/01/2022,1300 UTC,0,"29,9","28,6",69.0,63.0
03/01/2022,1400 UTC,0,"29,9","28,5",67.0,60.0
03/01/2022,1500 UTC,0,30,27,74.0,60.0
03/01/2022,1600 UTC,0,"29,6","26,9",76.0,65.0
