Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,35,1,0.0714285714285714,28.952380952380956,27.0,77.9375,73.05208333333333
2,41,2,0.0,27.4375,25.133333333333333,76.83333333333333,71.74404761904762
3,44,3,0.0,27.73333333333333,26.1,69.86904761904762,64.33333333333333
4,23,4,0.0,29.384615384615383,26.6875,69.51785714285714,64.16071428571429
5,23,5,0.0518518518518518,24.8,24.6,80.70833333333333,76.06547619047619
6,16,6,0.05,25.57894736842105,25.61111111111111,81.45238095238095,77.06547619047619
7,29,7,0.036144578313253,27.88235294117647,25.05555555555556,77.2202380952381,71.72619047619048
8,39,8,0.1329113924050632,25.791666666666668,26.5,79.89285714285714,74.89285714285714
9,37,9,0.2,28.692307692307693,26.466666666666665,81.06547619047619,75.85119047619048
10,31,10,0.4411764705882353,26.96,25.529411764705884,83.48214285714286,78.71428571428571
11,30,11,0.0,28.0625,24.5,80.33333333333333,75.07142857142857
12,35,12,0.1923076923076923,25.75,26.285714285714285,82.13095238095238,77.73214285714286
13,43,13,0.0,25.2,24.9375,78.17261904761905,72.76785714285714
14,90,14,0.0065359477124183,25.846153846153847,25.11111111111111,82.79166666666667,78.41666666666667
15,115,15,0.0063291139240506,25.176470588235293,24.4,82.30357142857143,76.92857142857143
16,145,16,0.0,23.346153846153847,22.266666666666666,79.55952380952381,73.82738095238095
17,146,17,0.0434782608695652,23.75,22.666666666666668,82.91071428571429,77.69047619047619
18,122,18,0.0363636363636363,24.5,22.6,82.30357142857143,77.42857142857143
19,64,19,0.0125,24.83333333333333,21.63157894736842,80.41666666666667,75.88095238095238
20,42,20,0.0,24.294117647058822,22.2,80.64880952380952,76.10714285714286
21,32,21,0.0061349693251533,21.6,22.0,80.2202380952381,75.23809523809524
22,13,22,0.0188679245283018,22.35,22.043478260869566,82.94047619047619,77.95833333333333
23,2,23,0.0,22.0,21.058823529411764,80.92857142857143,76.63690476190476
24,6,24,0.0,23.764705882352946,21.9375,80.60714285714286,76.41071428571429
25,12,25,0.0,21.07692307692308,21.5625,80.07738095238095,75.01785714285714
26,8,26,0.0,21.954545454545453,21.0625,81.44642857142857,76.66666666666667
27,4,27,0.0,23.5625,20.8,77.70238095238095,71.80357142857143
28,3,28,0.0263157894736842,19.8125,19.266666666666666,82.29761904761905,77.60119047619048
29,2,29,0.0,22.25,21.07692307692308,80.21428571428571,75.17857142857143
30,1,30,0.0,22.142857142857142,20.73684210526316,81.17857142857143,76.19047619047619
31,0,31,0.0687022900763358,21.294117647058822,21.529411764705884,84.64285714285714,81.02380952380952
32,0,32,0.00625,20.42105263157895,20.115384615384617,81.69047619047619,77.57142857142857
33,0,33,0.0,20.266666666666666,18.923076923076923,80.5297619047619,75.6547619047619
34,0,34,0.0,24.541666666666668,22.6,79.66666666666667,75.03571428571429
35,1,35,0.0,21.473684210526315,21.4375,80.11904761904762,75.33333333333333
36,1,36,0.0,22.33333333333333,22.727272727272727,71.96428571428571,66.46428571428571
37,1,37,0.0853658536585365,20.916666666666668,20.33333333333333,75.39285714285714,70.77380952380952
38,0,38,0.0066225165562913,24.695652173913043,24.53846153846154,80.5952380952381,76.26785714285714
39,1,39,-243.8780487804878,-2708.6363636363635,-2710.0,-280.42261904761904,-284.9583333333333
40,0,40,0.0,25.066666666666663,22.045454545454547,79.8452380952381,75.75595238095238
41,0,41,0.0,25.666666666666668,24.63636363636364,77.60119047619048,73.2797619047619
42,0,42,0.0066225165562913,23.61904761904762,22.63157894736842,80.01190476190476,75.71428571428571
43,0,43,0.0514705882352941,23.0,23.071428571428573,79.41666666666667,75.07142857142857
44,1,44,0.0,24.5,23.875,78.4047619047619,73.72619047619048
45,0,45,0.024793388429752,23.666666666666668,21.94117647058824,84.48809523809524,80.98809523809524
46,1,46,0.0061349693251533,25.666666666666668,25.17391304347826,78.13095238095238,73.48809523809524
47,0,47,0.0431654676258992,24.272727272727277,24.416666666666668,81.07738095238095,77.32142857142857
48,0,48,0.050632911392405,25.3,23.23076923076923,79.44642857142857,74.57738095238095
49,1,49,0.065359477124183,25.0,22.615384615384617,78.10714285714286,72.98809523809524
50,2,50,0.0,27.416666666666668,26.923076923076923,73.66666666666667,68.20833333333333
51,1,51,0.0,27.692307692307693,25.5,71.81547619047619,66.55952380952381
52,1,52,0.0294117647058823,25.55,24.6875,81.47619047619048,76.88095238095238
