Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0,1,0.4345238095238095,25.627755731922395,23.33626476906552,82.25,75.76785714285714
2,1,2,0.0,25.521478961955157,24.402255639097746,85.80952380952381,80.85714285714286
3,3,3,0.0476190476190476,24.883503401360542,24.226521164021165,77.70238095238095,71.86309523809524
4,8,4,0.0,25.979166666666668,24.101521164021165,78.56547619047619,72.35714285714286
5,2,5,0.0059523809523809,25.171130952380956,24.015031265031265,80.13690476190476,74.31547619047619
6,4,6,0.0267857142857142,26.02066798941799,23.91868598880794,77.79761904761905,72.21428571428571
7,7,7,0.0,27.350949975949977,24.05304020166825,70.57142857142857,64.02380952380952
8,5,8,0.0,26.540584415584416,24.61178751803752,74.53869047619048,68.41964285714286
9,2,9,0.1339285714285714,26.053571428571427,25.02876984126984,80.60714285714286,74.20238095238095
10,0,10,0.0178571428571428,25.01256613756614,24.372354497354497,80.41666666666667,74.83928571428571
11,1,11,0.0,23.850529100529094,24.455653021442497,79.16071428571429,73.51190476190476
12,4,12,0.0,21.979166666666668,19.83345081453634,82.6547619047619,77.1547619047619
13,0,13,0.0,21.58333333333333,22.203541666666663,81.50595238095238,75.94047619047619
14,3,14,0.0119047619047619,24.11904761904762,24.015681818181815,81.88690476190476,77.125
15,1,15,0.0,22.24496336996337,21.742830086580085,83.35119047619048,78.41666666666667
16,2,16,0.0,21.36515567765568,20.47315476190476,84.07142857142857,79.35714285714286
17,0,17,0.0,21.037896825396825,21.263452380952383,83.66666666666667,79.94642857142857
18,0,18,0.0,20.655380485527544,18.63095238095238,84.82142857142857,80.4047619047619
19,0,19,0.0,20.825695903361343,18.49702380952381,81.625,76.35119047619048
20,2,20,0.1339285714285714,18.936383928571427,18.11748633879781,85.06547619047619,81.16666666666667
21,1,21,0.0,20.705357142857142,19.927156518345043,85.3452380952381,81.2797619047619
22,0,22,0.0,20.93614718614719,18.84126984126984,82.45238095238095,77.79761904761905
23,1,23,0.0,21.54897186147186,20.230158730158728,81.79761904761905,76.60714285714286
24,1,24,0.0238095238095238,18.27083333333333,18.14583333333333,84.93452380952381,80.51785714285714
25,0,25,0.0,19.071428571428573,17.735930735930737,83.20833333333333,77.9047619047619
26,0,26,0.0,17.116071428571427,16.230480828695114,83.9047619047619,78.55357142857143
27,1,27,0.0,16.267628205128204,15.143707482993198,81.44642857142857,76.05357142857143
28,0,28,0.0,20.8573717948718,18.564732142857142,77.17261904761905,71.68452380952381
29,1,29,0.0,18.580357142857142,15.402529761904765,80.4702380952381,75.30952380952381
30,0,30,0.0,18.734735023041477,18.81547619047619,78.16071428571429,72.2202380952381
31,0,31,0.0,16.346308933002483,18.0,69.5297619047619,61.68452380952381
32,1,32,0.0,20.813088697017267,17.01220238095238,74.02380952380952,68.79166666666667
33,0,33,0.0714285714285714,20.447442438513868,18.695319264069266,82.36904761904762,78.64880952380952
34,0,34,0.0654761904761904,18.20753205128205,17.699863342871815,79.26785714285714,73.91071428571429
35,0,35,0.0,19.644803113553117,18.937853107344637,74.06547619047619,68.1547619047619
36,0,36,0.0,23.75400641025641,19.69047619047619,65.44047619047619,59.00595238095238
37,0,37,0.0,24.100446428571427,22.820970695970697,59.08928571428572,52.77976190476191
38,0,38,0.0,24.71486441798942,22.565934065934066,64.42261904761905,58.15476190476191
39,0,39,0.1577380952380952,23.428949357520786,21.589381720430108,68.48214285714286,63.33928571428572
40,2,40,0.1398809523809523,21.492346938775512,22.342165898617512,73.57738095238095,67.98809523809524
41,0,41,0.0,24.48809523809524,25.96130952380953,65.52380952380952,58.85119047619048
42,1,42,0.0,23.761904761904763,24.89583333333333,60.910714285714285,55.83928571428572
43,0,43,0.1041666666666666,22.228925353925355,22.19543650793651,77.35416666666667,72.1547619047619
44,0,44,0.0,23.765122265122265,22.136111111111116,70.92857142857143,66.21428571428571
45,1,45,0.0476190476190476,21.96454451345756,22.77049319727891,74.53571428571429,70.11904761904762
46,0,46,0.0701530612244897,27.104418071576458,24.56462585034014,68.74404761904762,62.523809523809526
47,0,47,0.1709183673469387,23.847704081632653,23.107142857142858,80.25595238095238,76.17261904761905
48,1,48,0.0803571428571428,23.33779761904762,21.72470238095238,81.60119047619048,77.2202380952381
49,1,49,0.0059523809523809,22.88027597402597,22.058460884353742,80.29464285714286,75.45833333333333
50,0,50,0.0,22.745801612180923,23.54124149659864,73.57142857142857,68.0952380952381
51,0,51,0.0476190476190476,25.79802955665024,25.35576923076923,75.26785714285714,69.42261904761905
52,1,52,0.0078125,24.623655913978496,23.744289741671945,83.81770833333333,78.79166666666667
