Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,1,1,0.0333333333333333,25.478813559322035,26.90412979351032,79.48333333333333,74.6
2,3,2,0.0,28.779761904761905,28.11876984126984,76.07142857142857,71.04166666666667
3,0,3,0.0,27.467559523809523,25.43083333333333,76.51190476190476,71.69642857142857
4,0,4,0.3422619047619047,24.21994047619048,23.31369047619048,84.38095238095238,80.78571428571429
5,0,5,0.0,26.78841991341991,27.18154761904762,78.56547619047619,73.57738095238095
6,1,6,0.0,27.92065746753247,24.865188834154356,79.01190476190476,74.52380952380952
7,1,7,0.0535714285714285,25.58139880952381,24.19909688013136,82.89285714285714,79.10714285714286
8,0,8,0.0089285714285714,26.798809523809524,25.73133116883117,76.67261904761905,71.70238095238095
9,2,9,0.2358630952380952,25.735119047619047,24.1525974025974,85.47619047619048,81.73809523809524
10,0,10,0.103422619047619,23.28273809523809,23.44694170771757,82.73214285714286,78.94642857142857
11,0,11,0.0119047619047619,26.258928571428573,26.639367816091955,80.01190476190476,75.02380952380952
12,0,12,0.0,27.05505952380953,24.989880952380958,79.88690476190476,75.2202380952381
13,0,13,0.0714285714285714,23.78720238095238,23.229931972789117,76.875,70.91071428571429
14,3,14,0.0714285714285714,25.117261904761904,24.787762832405686,80.5297619047619,75.36309523809524
15,0,15,0.0297619047619047,22.70639880952381,23.558057074504443,81.56547619047619,77.375
16,0,16,0.0,24.128262362637365,23.24138471177945,78.21428571428571,73.39285714285714
17,0,17,0.0,23.690934065934066,21.00845864661654,78.82142857142857,73.25595238095238
18,0,18,0.0089285714285714,22.65029761904762,23.196428571428573,78.81547619047619,73.45833333333333
19,0,19,0.0357142857142857,20.444940476190474,20.630357142857143,78.05952380952381,72.54761904761905
20,0,20,0.0,22.502551020408163,20.78333333333333,82.57738095238095,78.27380952380952
21,0,21,0.0,23.676744346387203,21.447115384615387,81.8452380952381,77.13690476190476
22,1,22,0.0178571428571428,20.770892603129443,19.761766194331983,77.01190476190476,71.16071428571429
23,0,23,0.0,23.05874060150376,20.85191774078052,81.30952380952381,76.16071428571429
24,0,24,0.0,24.63095238095238,24.38562925170068,80.16666666666667,75.10714285714286
25,2,25,0.0238095238095238,22.205357142857142,21.063492063492063,80.4047619047619,75.58333333333333
26,0,26,0.0,22.81818181818182,20.65972222222222,76.32142857142857,70.45238095238095
27,0,27,0.0,21.23538961038961,20.839285714285715,79.82738095238095,75.66666666666667
28,2,28,0.0,22.93787202380953,20.467357910906298,77.92857142857143,72.82738095238095
29,0,29,0.0,21.29427083333333,21.079599761051373,78.6547619047619,73.7202380952381
30,0,30,0.0,23.212918275418275,21.714232804232804,81.01190476190476,75.88095238095238
31,0,31,0.1398809523809523,20.25434362934363,20.28047619047619,80.52380952380952,75.52380952380952
32,0,32,0.0,19.58721532091097,18.818877551020407,79.25,73.5952380952381
33,0,33,0.0,24.06754658385093,22.97759680795395,76.48809523809524,71.04761904761905
34,0,34,0.0803571428571428,24.611309523809524,21.56977213962508,79.31547619047619,75.03571428571429
35,1,35,0.0,20.49452380952381,21.303088476770014,74.7202380952381,69.55357142857143
36,0,36,0.0,23.3525,22.654154035619552,78.48809523809524,73.04761904761905
37,0,37,0.0,26.387768817204304,22.750915750915752,75.51190476190476,70.32738095238095
38,0,38,0.0,23.612561870626383,22.990646258503403,76.14285714285714,71.11309523809524
39,0,39,0.2946428571428571,22.64550264550265,21.661139455782312,83.86904761904762,79.91666666666667
40,0,40,0.0,26.58210180623974,24.72514005602241,78.5,73.88690476190476
41,0,41,0.0,24.436014135789247,25.66474089635854,80.49404761904762,76.80357142857143
42,0,42,0.0,24.14855072463768,23.88128306878307,77.9047619047619,73.48809523809524
43,0,43,0.1726190476190476,24.087301587301585,22.6603835978836,80.3452380952381,75.69642857142857
44,0,44,0.5178571428571429,24.88888888888889,23.50680272108844,83.33333333333333,78.73214285714286
45,0,45,0.0446428571428571,22.84970238095238,21.227775200989488,77.50595238095238,72.82142857142857
46,0,46,0.5863095238095238,26.16220238095238,24.51542207792208,83.23214285714286,79.30952380952381
47,0,47,0.0267857142857142,24.78954081632653,23.7140731292517,80.31547619047619,75.79761904761905
48,0,48,0.0833333333333333,23.725697278911564,24.809736394557824,82.66071428571429,78.17857142857143
49,0,49,0.0,27.745178571428568,25.479166666666668,78.64880952380952,73.82738095238095
50,0,50,0.0,24.37549603174603,24.860119047619047,81.97619047619048,77.70833333333333
51,0,51,0.0,25.49287518037518,26.00297619047619,76.04166666666667,71.21428571428571
52,1,52,0.4613095238095238,25.368235930735928,23.49404761904762,85.14285714285714,81.19642857142857
