Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,332,1,0.0,27.33333333333333,25.33333333333333,74.92857142857143,69.375,2016,CG
2,240,2,0.0279720279720279,27.33333333333333,25.9,79.38690476190476,74.97619047619048,2016,CG
3,254,3,0.1937984496124031,24.47826086956522,23.352941176470587,84.32738095238095,81.07738095238095,2016,CG
4,190,4,0.0060975609756097,30.07692307692308,27.25,78.04761904761905,73.31547619047619,2016,CG
5,171,5,0.0,29.764705882352946,25.47058823529412,75.32738095238095,69.74404761904762,2016,CG
6,162,6,0.0,28.375,26.25,75.4047619047619,70.14285714285714,2016,CG
7,170,7,0.0182926829268292,27.916666666666668,27.727272727272727,75.94642857142857,70.85714285714286,2016,CG
8,149,8,0.0,28.181818181818183,27.27777777777778,74.02380952380952,68.68452380952381,2016,CG
9,117,9,0.00625,27.0,26.1,77.70833333333333,72.82738095238095,2016,CG
10,126,10,0.0,28.529411764705884,25.666666666666668,75.32738095238095,70.29761904761905,2016,CG
11,102,11,0.0,26.6,26.5,79.38690476190476,74.18452380952381,2016,CG
12,91,12,0.0,27.73333333333333,28.0,75.56547619047619,69.79166666666667,2016,CG
13,103,13,0.0,28.31578947368421,25.90909090909091,75.60119047619048,70.39880952380952,2016,CG
14,91,14,0.0,28.846153846153847,25.857142857142858,75.85714285714286,70.25,2016,CG
15,86,15,0.0,27.61111111111111,27.1875,75.89880952380952,70.35119047619048,2016,CG
16,61,16,0.0,27.928571428571427,26.444444444444443,74.11309523809524,69.03571428571429,2016,CG
17,43,17,0.0342465753424657,23.066666666666663,22.666666666666668,76.98214285714286,72.29761904761905,2016,CG
18,62,18,0.0,24.157894736842103,22.058823529411764,76.85714285714286,71.29166666666667,2016,CG
19,47,19,0.0,23.142857142857142,21.63636363636364,78.38095238095238,73.51785714285714,2016,CG
20,32,20,0.0,23.6,23.357142857142858,79.54166666666667,75.45238095238095,2016,CG
21,13,21,0.0,22.7,19.6,74.80952380952381,69.80357142857143,2016,CG
22,34,22,0.0397350993377483,22.85,22.714285714285715,79.8452380952381,75.05357142857143,2016,CG
23,16,23,0.0,20.5,20.68421052631579,77.5297619047619,73.81547619047619,2016,CG
24,14,24,0.0,19.642857142857142,18.529411764705884,73.74404761904762,68.14880952380952,2016,CG
25,25,25,0.0,20.27777777777778,19.647058823529413,82.5297619047619,78.26785714285714,2016,CG
26,26,26,0.0272108843537414,21.23076923076923,20.916666666666668,84.17857142857143,80.25,2016,CG
27,22,27,0.0,19.4375,19.571428571428573,76.69047619047619,71.70833333333333,2016,CG
28,24,28,0.0,23.11764705882353,21.545454545454547,74.4047619047619,68.75,2016,CG
29,14,29,0.0,19.2,19.571428571428573,73.0297619047619,69.10119047619048,2016,CG
30,15,30,0.0333333333333333,21.3125,20.9,77.70238095238095,73.2797619047619,2016,CG
31,15,31,0.00625,21.357142857142858,18.571428571428573,76.08928571428571,70.85119047619048,2016,CG
32,14,32,-63.67515923566879,19.454545454545453,19.0,80.14880952380952,75.49404761904762,2016,CG
33,16,33,0.0,23.066666666666663,22.866666666666667,76.31547619047619,70.57142857142857,2016,CG
34,11,34,0.0,21.20833333333333,20.166666666666668,69.64880952380952,64.04166666666667,2016,CG
35,10,35,0.0062893081761006,24.6,21.5625,77.48809523809524,72.60119047619048,2016,CG
36,6,36,0.0,23.58823529411765,22.666666666666668,74.67261904761905,69.60714285714286,2016,CG
37,9,37,0.0,25.75,24.26315789473684,71.91666666666667,66.82738095238095,2016,CG
38,7,38,0.0372670807453416,21.94117647058824,21.0,73.86904761904762,68.83333333333333,2016,CG
39,3,39,0.0071942446043165,21.68421052631579,21.785714285714285,79.56547619047619,75.07738095238095,2016,CG
40,2,40,0.0294117647058823,21.30434782608696,20.58823529411765,81.73809523809524,77.66071428571429,2016,CG
41,4,41,0.0,24.33333333333333,21.615384615384617,76.5297619047619,72.36904761904762,2016,CG
42,16,42,0.0,23.666666666666668,25.58333333333333,76.06547619047619,72.06547619047619,2016,CG
43,6,43,0.0,23.05,23.642857142857142,76.63690476190476,72.50595238095238,2016,CG
44,9,44,0.0,24.4,23.23076923076923,73.5,68.72619047619048,2016,CG
45,2,45,0.054054054054054,25.5,24.923076923076923,77.9047619047619,72.86309523809524,2016,CG
46,4,46,0.1484375,23.666666666666668,23.65,78.82142857142857,74.39285714285714,2016,CG
