Semana epidemiológica dos sintomas,Casos notificados,Ano,Regiao
1,212,019,RJ
2,193,019,RJ
3,207,019,RJ
4,212,019,RJ
5,166,019,RJ
6,167,019,RJ
7,178,019,RJ
8,193,019,RJ
9,163,019,RJ
10,275,019,RJ
11,415,019,RJ
12,620,019,RJ
13,797,019,RJ
14,1098,019,RJ
15,1197,019,RJ
16,1272,019,RJ
17,1404,019,RJ
18,1619,019,RJ
19,1839,019,RJ
20,1597,019,RJ
21,1529,019,RJ
22,1227,019,RJ
23,979,019,RJ
24,785,019,RJ
25,551,019,RJ
26,498,019,RJ
27,455,019,RJ
28,266,019,RJ
29,237,019,RJ
30,154,019,RJ
31,154,019,RJ
32,130,019,RJ
33,125,019,RJ
34,74,019,RJ
35,67,019,RJ
36,60,019,RJ
37,66,019,RJ
38,73,019,RJ
39,43,019,RJ
40,59,019,RJ
41,65,019,RJ
42,61,019,RJ
43,53,019,RJ
44,35,019,RJ
45,65,019,RJ
46,51,019,RJ
47,47,019,RJ
48,68,019,RJ
49,48,019,RJ
50,74,019,RJ
51,61,019,RJ
52,62,019,RJ
1,88,020,RJ
2,104,020,RJ
3,102,020,RJ
4,84,020,RJ
5,72,020,RJ
6,58,020,RJ
7,75,020,RJ
8,65,020,RJ
9,50,020,RJ
10,71,020,RJ
11,56,020,RJ
12,39,020,RJ
13,38,020,RJ
14,38,020,RJ
15,28,020,RJ
16,34,020,RJ
17,38,020,RJ
18,32,020,RJ
19,27,020,RJ
20,13,020,RJ
21,13,020,RJ
22,17,020,RJ
23,11,020,RJ
24,16,020,RJ
25,14,020,RJ
26,12,020,RJ
27,13,020,RJ
28,17,020,RJ
29,15,020,RJ
30,16,020,RJ
31,8,020,RJ
32,10,020,RJ
33,13,020,RJ
34,8,020,RJ
35,10,020,RJ
36,11,020,RJ
37,10,020,RJ
38,13,020,RJ
39,11,020,RJ
40,11,020,RJ
41,13,020,RJ
42,9,020,RJ
43,20,020,RJ
44,11,020,RJ
45,15,020,RJ
46,17,020,RJ
47,17,020,RJ
48,13,020,RJ
49,15,020,RJ
50,10,020,RJ
51,10,020,RJ
52,10,020,RJ
1,9,021,RJ
2,9,021,RJ
3,15,021,RJ
4,27,021,RJ
5,19,021,RJ
6,18,021,RJ
7,20,021,RJ
8,30,021,RJ
9,21,021,RJ
10,29,021,RJ
11,40,021,RJ
12,38,021,RJ
13,42,021,RJ
14,63,021,RJ
15,58,021,RJ
16,43,021,RJ
17,51,021,RJ
18,35,021,RJ
19,48,021,RJ
20,56,021,RJ
21,54,021,RJ
22,38,021,RJ
23,33,021,RJ
24,35,021,RJ
25,23,021,RJ
26,29,021,RJ
27,24,021,RJ
28,17,021,RJ
29,21,021,RJ
30,11,021,RJ
31,14,021,RJ
32,14,021,RJ
33,11,021,RJ
34,20,021,RJ
35,18,021,RJ
36,13,021,RJ
37,14,021,RJ
38,5,021,RJ
39,15,021,RJ
40,8,021,RJ
41,11,021,RJ
42,6,021,RJ
43,6,021,RJ
44,8,021,RJ
45,6,021,RJ
46,26,021,RJ
47,26,021,RJ
48,23,021,RJ
49,23,021,RJ
50,11,021,RJ
51,12,021,RJ
52,9,021,RJ
1,20,022,RJ
2,14,022,RJ
3,19,022,RJ
4,16,022,RJ
5,29,022,RJ
6,39,022,RJ
7,49,022,RJ
8,60,022,RJ
9,67,022,RJ
10,104,022,RJ
11,121,022,RJ
12,170,022,RJ
13,150,022,RJ
14,208,022,RJ
15,188,022,RJ
16,227,022,RJ
17,323,022,RJ
18,430,022,RJ
19,489,022,RJ
20,379,022,RJ
21,388,022,RJ
22,327,022,RJ
23,243,022,RJ
24,144,022,RJ
25,196,022,RJ
26,183,022,RJ
27,148,022,RJ
28,138,022,RJ
29,165,022,RJ
30,117,022,RJ
31,126,022,RJ
32,93,022,RJ
33,104,022,RJ
34,91,022,RJ
35,90,022,RJ
36,92,022,RJ
37,109,022,RJ
38,94,022,RJ
39,89,022,RJ
40,89,022,RJ
41,113,022,RJ
42,149,022,RJ
43,123,022,RJ
44,130,022,RJ
45,155,022,RJ
46,120,022,RJ
47,81,022,RJ
48,85,022,RJ
49,94,022,RJ
50,121,022,RJ
51,120,022,RJ
52,157,022,RJ
1,223,023,RJ
2,212,023,RJ
3,246,023,RJ
4,308,023,RJ
5,357,023,RJ
6,478,023,RJ
7,371,023,RJ
8,475,023,RJ
9,821,023,RJ
10,912,023,RJ
11,1065,023,RJ
12,1319,023,RJ
13,1453,023,RJ
14,1338,023,RJ
15,1655,023,RJ
16,1407,023,RJ
17,1469,023,RJ
18,1788,023,RJ
19,1707,023,RJ
20,1642,023,RJ
21,1407,023,RJ
22,1238,023,RJ
23,1124,023,RJ
24,1233,023,RJ
25,1099,023,RJ
26,921,023,RJ
27,776,023,RJ
28,700,023,RJ
29,597,023,RJ
30,532,023,RJ
31,557,023,RJ
32,498,023,RJ
33,484,023,RJ
34,483,023,RJ
35,434,023,RJ
36,408,023,RJ
37,501,023,RJ
38,482,023,RJ
39,413,023,RJ
40,451,023,RJ
41,362,023,RJ
42,449,023,RJ
43,420,023,RJ
44,433,023,RJ
45,658,023,RJ
46,543,023,RJ
47,867,023,RJ
48,952,023,RJ
49,1166,023,RJ
50,1419,023,RJ
51,1223,023,RJ
52,1516,023,RJ
