Semana epidemiológica dos sintomas,Casos notificados,Ano,Regiao
1,5,019,AR
2,10,019,AR
3,8,019,AR
4,4,019,AR
5,9,019,AR
6,4,019,AR
7,6,019,AR
8,7,019,AR
9,12,019,AR
10,8,019,AR
11,14,019,AR
12,25,019,AR
13,50,019,AR
14,134,019,AR
15,127,019,AR
16,171,019,AR
17,219,019,AR
18,189,019,AR
19,160,019,AR
20,175,019,AR
21,101,019,AR
22,71,019,AR
23,50,019,AR
24,38,019,AR
25,33,019,AR
26,27,019,AR
27,25,019,AR
28,12,019,AR
29,11,019,AR
30,11,019,AR
31,12,019,AR
32,8,019,AR
33,6,019,AR
34,3,019,AR
35,4,019,AR
36,1,019,AR
37,3,019,AR
38,2,019,AR
39,0,019,AR
40,0,019,AR
41,0,019,AR
42,2,019,AR
43,2,019,AR
44,0,019,AR
45,1,019,AR
46,1,019,AR
47,0,019,AR
48,0,019,AR
49,0,019,AR
50,0,019,AR
51,1,019,AR
52,2,019,AR
1,3,019,CG
2,2,019,CG
3,2,019,CG
4,2,019,CG
5,1,019,CG
6,2,019,CG
7,5,019,CG
8,4,019,CG
9,1,019,CG
10,5,019,CG
11,5,019,CG
12,6,019,CG
13,12,019,CG
14,37,019,CG
15,38,019,CG
16,8,019,CG
17,2,019,CG
18,7,019,CG
19,5,019,CG
20,3,019,CG
21,1,019,CG
22,5,019,CG
23,2,019,CG
24,5,019,CG
25,2,019,CG
26,1,019,CG
27,0,019,CG
28,3,019,CG
29,0,019,CG
30,0,019,CG
31,1,019,CG
32,0,019,CG
33,0,019,CG
34,0,019,CG
35,1,019,CG
36,0,019,CG
37,1,019,CG
38,1,019,CG
39,0,019,CG
40,0,019,CG
41,0,019,CG
42,0,019,CG
43,1,019,CG
44,0,019,CG
45,0,019,CG
46,0,019,CG
47,0,019,CG
48,0,019,CG
49,1,019,CG
50,0,019,CG
51,1,019,CG
52,1,019,CG
1,212,019,RJ
2,193,019,RJ
3,207,019,RJ
4,212,019,RJ
5,166,019,RJ
6,167,019,RJ
7,178,019,RJ
8,193,019,RJ
9,163,019,RJ
10,275,019,RJ
11,415,019,RJ
12,620,019,RJ
13,797,019,RJ
14,1098,019,RJ
15,1197,019,RJ
16,1272,019,RJ
17,1404,019,RJ
18,1619,019,RJ
19,1839,019,RJ
20,1597,019,RJ
21,1529,019,RJ
22,1227,019,RJ
23,979,019,RJ
24,785,019,RJ
25,551,019,RJ
26,498,019,RJ
27,455,019,RJ
28,266,019,RJ
29,237,019,RJ
30,154,019,RJ
31,154,019,RJ
32,130,019,RJ
33,125,019,RJ
34,74,019,RJ
35,67,019,RJ
36,60,019,RJ
37,66,019,RJ
38,73,019,RJ
39,43,019,RJ
40,59,019,RJ
41,65,019,RJ
42,61,019,RJ
43,53,019,RJ
44,35,019,RJ
45,65,019,RJ
46,51,019,RJ
47,47,019,RJ
48,68,019,RJ
49,48,019,RJ
50,74,019,RJ
51,61,019,RJ
52,62,019,RJ
1,0,019,VA
2,0,019,VA
3,0,019,VA
4,1,019,VA
5,1,019,VA
6,1,019,VA
7,0,019,VA
8,2,019,VA
9,2,019,VA
10,2,019,VA
11,2,019,VA
12,2,019,VA
13,9,019,VA
14,6,019,VA
15,8,019,VA
16,7,019,VA
17,3,019,VA
18,9,019,VA
19,15,019,VA
20,19,019,VA
21,14,019,VA
22,6,019,VA
23,14,019,VA
24,5,019,VA
25,6,019,VA
26,7,019,VA
27,3,019,VA
28,1,019,VA
29,2,019,VA
30,1,019,VA
31,1,019,VA
32,2,019,VA
33,1,019,VA
34,3,019,VA
35,0,019,VA
36,1,019,VA
37,2,019,VA
38,2,019,VA
39,4,019,VA
40,2,019,VA
41,2,019,VA
42,5,019,VA
43,1,019,VA
44,1,019,VA
45,1,019,VA
46,2,019,VA
47,1,019,VA
48,2,019,VA
49,4,019,VA
50,2,019,VA
51,1,019,VA
52,2,019,VA
1,6,020,AR
2,5,020,AR
3,8,020,AR
4,6,020,AR
5,11,020,AR
6,10,020,AR
7,7,020,AR
8,10,020,AR
9,11,020,AR
10,7,020,AR
11,6,020,AR
12,7,020,AR
13,4,020,AR
14,5,020,AR
15,2,020,AR
16,3,020,AR
17,7,020,AR
18,8,020,AR
19,6,020,AR
20,7,020,AR
21,3,020,AR
22,1,020,AR
23,1,020,AR
24,3,020,AR
25,3,020,AR
26,1,020,AR
27,2,020,AR
28,3,020,AR
29,5,020,AR
30,2,020,AR
31,2,020,AR
32,1,020,AR
33,0,020,AR
34,0,020,AR
35,2,020,AR
36,2,020,AR
37,0,020,AR
38,1,020,AR
39,1,020,AR
40,1,020,AR
41,0,020,AR
42,1,020,AR
43,0,020,AR
44,3,020,AR
45,3,020,AR
46,1,020,AR
47,1,020,AR
48,1,020,AR
49,2,020,AR
50,1,020,AR
51,2,020,AR
52,2,020,AR
1,1,020,CG
2,3,020,CG
3,0,020,CG
4,0,020,CG
5,0,020,CG
6,1,020,CG
7,1,020,CG
8,0,020,CG
9,2,020,CG
10,0,020,CG
11,0,020,CG
12,0,020,CG
13,0,020,CG
14,3,020,CG
