Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.17854828256642902,1.0,0.0,0.6875,0.6666666666666667,0.5942028985507246,0.5138888888888888,2016,RJ
2,0.1474400518470512,2.0,0.0,0.5,0.5333333333333334,0.7391304347826088,0.7083333333333334,2016,RJ
3,0.15165262475696695,3.0,0.0,0.375,0.3999999999999999,0.8405797101449276,0.7916666666666666,2016,RJ
4,0.14906027219701878,4.0,0.0,0.75,0.6666666666666667,0.782608695652174,0.5694444444444444,2016,RJ
5,0.16526247569669475,5.0,0.0,0.78125,0.7,0.746376811594203,0.6597222222222222,2016,RJ
6,0.2086843810758263,6.0,0.0,0.5625,0.5333333333333334,0.7971014492753624,0.7222222222222222,2016,RJ
7,0.2832145171743357,7.0,0.0,0.625,0.6666666666666667,0.6521739130434782,0.6388888888888888,2016,RJ
8,0.2731691510045366,8.0,0.0,0.6875,0.6333333333333333,0.7318840579710145,0.6041666666666666,2016,RJ
9,0.3321451717433571,9.0,0.0,0.5625,0.5333333333333334,0.8260869565217391,0.7152777777777778,2016,RJ
12,0.6257290991574854,12.0,0.0,0.5625,0.6000000000000001,0.782608695652174,0.7499999999999999,2016,RJ
13,0.9999999999999999,13.0,0.0,0.6875,0.6666666666666667,0.7681159420289855,0.7083333333333334,2016,RJ
14,0.9449125081011017,14.0,0.0,0.75,0.8,0.6376811594202899,0.5902777777777778,2016,RJ
15,0.9193130265716137,15.0,0.0,0.625,0.6666666666666667,0.753623188405797,0.7222222222222222,2016,RJ
16,0.7368762151652625,16.0,0.0,0.5,0.5333333333333334,0.782608695652174,0.7777777777777778,2016,RJ
17,0.7226182760855476,17.0,0.0,0.3125,0.33333333333333326,0.8840579710144928,0.861111111111111,2016,RJ
20,0.2388204795852236,20.0,0.0,0.5,0.5,0.782608695652174,0.6875,2016,RJ
23,0.13674659753726506,23.0,0.0,0.1875,0.19999999999999996,0.5217391304347826,0.48611111111111105,2016,RJ
26,0.0641607258587168,26.0,0.0,0.21875,0.2333333333333334,0.8695652173913043,0.7777777777777778,2016,RJ
28,0.05541153596889177,28.0,0.0,0.9375,0.9333333333333331,0.18840579710144922,0.06944444444444448,2016,RJ
31,0.023655217109526897,31.0,0.0,0.1875,0.19999999999999996,0.6666666666666666,0.5833333333333334,2016,RJ
34,0.010369410239792612,34.0,0.0,0.4375,0.3999999999999999,0.5507246376811594,0.5555555555555556,2016,RJ
35,0.01425793907971484,35.0,0.0,0.3125,0.33333333333333326,0.8985507246376813,0.9305555555555555,2016,RJ
36,0.010369410239792612,36.0,0.0,0.4375,0.3999999999999999,0.8550724637681159,0.7777777777777778,2016,RJ
37,0.013609850939727802,37.0,0.0,0.53125,0.5333333333333334,0.6594202898550724,0.6180555555555556,2016,RJ
39,0.00745301360985094,39.0,0.0,0.171875,0.18333333333333335,0.8079710144927535,0.7777777777777778,2016,RJ
43,0.01425793907971484,43.0,0.0,0.28125,0.30000000000000004,0.6449275362318841,0.6180555555555556,2016,RJ
46,0.01911860012961763,46.0,0.0,0.5625,0.4666666666666668,0.9565217391304347,0.888888888888889,2016,RJ
47,0.03078418664938432,47.0,0.0,0.4375,0.43333333333333335,0.7898550724637682,0.7569444444444445,2016,RJ
48,0.03823720025923526,48.0,0.0,0.46875,0.5,0.717391304347826,0.7013888888888888,2016,RJ
49,0.036941023979261176,49.0,0.0,0.4375,0.4666666666666668,0.6231884057971014,0.5416666666666666,2016,RJ
51,0.03791315618924174,51.0,0.0,0.75,0.8,0.6376811594202899,0.611111111111111,2016,RJ
52,0.03240440699935192,52.0,0.0,0.5625,0.6000000000000001,0.8985507246376813,0.9027777777777778,2016,RJ
1,0.05605962410887881,1.0,0.0,0.6875,0.6666666666666667,0.7391304347826088,0.6388888888888888,2017,RJ
2,0.06383668178872327,2.0,0.0,0.75,0.7666666666666666,0.6811594202898551,0.6458333333333334,2017,RJ
3,0.06837329876863253,3.0,0.0,0.90625,0.8666666666666667,0.46376811594202894,0.4305555555555556,2017,RJ
6,0.07161373946856774,6.0,0.0,0.75,0.7555555555555553,0.6231884057971014,0.5694444444444444,2017,RJ
7,0.06707712248865846,7.0,0.0,0.25,0.2666666666666666,0.9130434782608695,0.888888888888889,2017,RJ
8,0.034024627349319506,8.0,0.0,0.4375,0.43333333333333335,0.7391304347826088,0.7152777777777778,2017,RJ
9,0.036941023979261176,9.0,0.0,0.59375,0.6333333333333333,0.753623188405797,0.7499999999999999,2017,RJ
10,0.040181464679196366,10.0,0.0,0.5,0.5333333333333334,0.9130434782608695,0.9027777777777778,2017,RJ
11,0.04666234607906676,11.0,0.0,0.53125,0.4666666666666668,0.7898550724637682,0.6805555555555556,2017,RJ
12,0.03953337653920934,12.0,0.0,0.5,0.5333333333333334,0.6521739130434782,0.625,2017,RJ
13,0.037265068049254696,13.0,0.0,0.34375,0.3666666666666667,0.8333333333333334,0.7708333333333334,2017,RJ
14,0.0388852883992223,14.0,0.0,0.645833333333333,0.6666666666666667,0.6570048309178743,0.6481481481481483,2017,RJ
15,0.025275437459494492,15.0,0.0,0.3125,0.33333333333333326,0.8550724637681159,0.763888888888889,2017,RJ
16,0.024303305249513935,16.0,0.0,0.25,0.2666666666666666,0.927536231884058,0.888888888888889,2017,RJ
17,0.02559948152948801,17.0,0.0,0.3125,0.33333333333333326,0.7101449275362318,0.6805555555555556,2017,RJ
19,0.023331173039533377,19.0,0.0,0.4375,0.43333333333333335,0.746376811594203,0.7222222222222222,2017,RJ
21,0.008425145819831496,21.0,0.0,0.25,0.19999999999999996,0.927536231884058,0.9027777777777778,2017,RJ
22,0.01425793907971484,22.0,0.0,0.3125,0.33333333333333326,0.927536231884058,0.8749999999999999,2017,RJ
23,0.011989630589760207,23.0,0.0,0.25,0.2666666666666666,0.7608695652173912,0.7083333333333334,2017,RJ
24,0.008101101749837978,24.0,0.0,0.28125,0.2666666666666666,0.8333333333333334,0.798611111111111,2017,RJ
28,0.0064808813998703824,28.0,0.0,0.1875,0.19999999999999996,0.8695652173913043,0.8194444444444445,2017,RJ
30,0.006804925469863901,30.0,0.0,0.375,0.33333333333333326,0.6086956521739131,0.5555555555555556,2017,RJ
31,0.010045366169799093,31.0,0.0,0.25,0.2333333333333334,0.6594202898550724,0.6458333333333334,2017,RJ
34,0.009073233959818535,34.0,0.0,0.375,0.2666666666666666,0.6376811594202899,0.5972222222222222,2017,RJ
35,0.00745301360985094,35.0,0.0,0.125,0.1333333333333333,0.8115942028985507,0.7916666666666666,2017,RJ
36,0.006156837329876864,36.0,0.0,0.1875,0.16666666666666674,0.7246376811594203,0.7013888888888888,2017,RJ
37,0.00745301360985094,37.0,0.0,0.0625,0.06666666666666665,0.8840579710144928,0.888888888888889,2017,RJ
38,0.013933895009721323,38.0,0.0,0.1875,0.19999999999999996,0.8260869565217391,0.826388888888889,2017,RJ
39,0.007777057679844459,39.0,0.0,0.4375,0.4666666666666668,0.5652173913043478,0.5416666666666666,2017,RJ
41,0.01425793907971484,41.0,0.0,0.5625,0.5333333333333334,0.7246376811594203,0.6805555555555556,2017,RJ
42,0.015230071289695397,42.0,0.0,0.25,0.2666666666666666,0.7971014492753624,0.7916666666666666,2017,RJ
44,0.009397278029812054,44.0,0.0,0.34375,0.33333333333333326,0.8623188405797101,0.8124999999999999,2017,RJ
45,0.015878159429682438,45.0,0.0,0.25,0.2666666666666666,0.7391304347826088,0.7222222222222222,2017,RJ
46,0.01458198314970836,46.0,0.0,0.4375,0.43333333333333335,0.6666666666666666,0.625,2017,RJ
47,0.012961762799740765,47.0,0.0,0.4375,0.3999999999999999,0.753623188405797,0.6666666666666666,2017,RJ
50,0.017174335709656513,50.0,0.0,0.34375,0.33333333333333326,0.8768115942028986,0.826388888888889,2017,RJ
51,0.015230071289695397,51.0,0.0,0.5416666666666667,0.5333333333333334,0.7584541062801932,0.699074074074074,2017,RJ
52,0.015230071289695397,52.0,0.0,0.6875,0.6666666666666667,0.7101449275362318,0.6527777777777778,2017,RJ
2,0.03078418664938432,2.0,0.0,0.875,0.8666666666666667,0.6376811594202899,0.5833333333333334,2018,RJ
3,0.03953337653920934,3.0,0.0,0.875,0.7333333333333334,0.6521739130434782,0.33333333333333337,2018,RJ
4,0.028839922229423203,4.0,0.0,0.8958333333333335,0.8666666666666667,0.6038647342995169,0.5138888888888888,2018,RJ
5,0.03564484769928711,5.0,0.0,0.5,0.5333333333333334,0.6666666666666666,0.6527777777777778,2018,RJ
7,0.028191834089436162,7.0,0.0,0.625,0.5666666666666667,0.8043478260869564,0.7499999999999999,2018,RJ
8,0.040181464679196366,8.0,0.0,0.9375,0.9333333333333331,0.5362318840579711,0.4722222222222222,2018,RJ
9,0.04244977316915101,9.0,0.0,0.8125,0.8,0.6739130434782609,0.6527777777777778,2018,RJ
11,0.05217109526895658,11.0,0.0,1.0,1.0,0.5797101449275363,0.5416666666666666,2018,RJ
12,0.06027219701879456,12.0,0.0,0.5625,0.6000000000000001,0.8550724637681159,0.861111111111111,2018,RJ
14,0.0913804277381724,14.0,0.0,0.625,0.6333333333333333,0.7753623188405797,0.7222222222222222,2018,RJ
15,0.08522359040829554,15.0,0.0,0.5,0.5,0.7971014492753624,0.7708333333333334,2018,RJ
16,0.076150356448477,16.0,0.0,0.5625,0.4666666666666668,0.7246376811594203,0.611111111111111,2018,RJ
18,0.09850939727802982,18.0,0.0,0.25,0.33333333333333326,0.9420289855072465,0.9583333333333334,2018,RJ
19,0.0981853532080363,19.0,0.0,0.5,0.4666666666666668,0.7246376811594203,0.5694444444444444,2018,RJ
20,0.10045366169799093,20.0,0.0,0.5625,0.3999999999999999,0.7753623188405797,0.5347222222222222,2018,RJ
21,0.06286454957874271,21.0,0.0,0.375,0.33333333333333326,0.5797101449275363,0.48611111111111105,2018,RJ
24,0.05897602073882048,24.0,0.0,0.5,0.5333333333333334,0.6376811594202899,0.5972222222222222,2018,RJ
25,0.04990278677900195,25.0,0.0,0.53125,0.5,0.5942028985507246,0.5138888888888888,2018,RJ
26,0.05735580038885288,26.0,0.0,0.47916666666666674,0.5111111111111113,0.6038647342995169,0.5462962962962963,2018,RJ
27,0.0661049902786779,27.0,0.0,0.34375,0.3666666666666667,0.8623188405797101,0.861111111111111,2018,RJ
30,0.03532080362929359,30.0,0.0,0.59375,0.6000000000000001,0.48550724637681164,0.4444444444444444,2018,RJ
31,0.02592352559948153,31.0,0.0,0.375,0.33333333333333326,0.8115942028985507,0.7777777777777778,2018,RJ
34,0.017174335709656513,34.0,1.0,0.0,0.0,0.9855072463768116,0.9999999999999999,2018,RJ
35,0.01782242384964355,35.0,0.0,0.3125,0.2666666666666666,0.6521739130434782,0.625,2018,RJ
37,0.01458198314970836,37.0,0.0,0.1875,0.19999999999999996,0.7101449275362318,0.7222222222222222,2018,RJ
38,0.01782242384964355,38.0,0.0,0.5,0.5333333333333334,0.6376811594202899,0.5833333333333334,2018,RJ
40,0.016526247569669476,40.0,0.5,0.40625,0.3999999999999999,0.782608695652174,0.7569444444444445,2018,RJ
41,0.01101749837977965,41.0,0.0,0.375,0.3666666666666667,0.9057971014492753,0.8819444444444443,2018,RJ
42,0.019766688269604666,42.0,0.0,0.375,0.3999999999999999,0.782608695652174,0.7499999999999999,2018,RJ
44,0.016526247569669476,44.0,0.0,0.46875,0.4666666666666668,0.6811594202898551,0.6458333333333334,2018,RJ
48,0.0304601425793908,48.0,0.0,0.65625,0.6333333333333333,0.6014492753623188,0.5208333333333334,2018,RJ
50,0.04244977316915101,50.0,0.0,0.5625,0.6000000000000001,0.5942028985507246,0.5416666666666666,2018,RJ
51,0.036616979909267655,51.0,0.0,0.5625,0.6000000000000001,0.8405797101449276,0.7777777777777778,2018,RJ
1,0.0661049902786779,1.0,0.0,0.5625,0.6000000000000001,0.7681159420289855,0.736111111111111,2019,RJ
2,0.05994815294880104,2.0,0.0,0.625,0.6000000000000001,0.6920289855072465,0.6388888888888888,2019,RJ
4,0.0661049902786779,4.0,0.0,0.6875,0.7333333333333334,0.753623188405797,0.6898148148148149,2019,RJ
5,0.05119896305897602,5.0,0.0,0.8541666666666667,0.8666666666666667,0.6038647342995169,0.5740740740740741,2019,RJ
8,0.05994815294880104,8.0,0.0,0.75,0.8,0.7753623188405797,0.763888888888889,2019,RJ
10,0.0865197666882696,10.0,0.0,0.625,0.6000000000000001,0.8115942028985507,0.736111111111111,2019,RJ
17,0.4523655217109527,17.0,0.0,0.7291666666666667,0.6000000000000001,0.7729468599033816,0.6203703703703705,2019,RJ
18,0.5220349967595593,18.0,0.0,0.625,0.6333333333333333,0.7971014492753624,0.7569444444444445,2019,RJ
20,0.5149060272197019,20.0,0.0,0.25,0.2666666666666666,0.9565217391304347,0.9444444444444443,2019,RJ
23,0.31464679196370704,23.0,0.0,0.25,0.2666666666666666,0.7246376811594203,0.7083333333333334,2019,RJ
24,0.2517822423849643,24.0,0.0,0.5625,0.6000000000000001,0.753623188405797,0.7222222222222222,2019,RJ
26,0.15878159429682437,26.0,0.0,0.45833333333333304,0.4888888888888885,0.7101449275362318,0.6851851851851851,2019,RJ
28,0.08360337005832794,28.0,0.0,0.25,0.2666666666666666,0.5507246376811594,0.5,2019,RJ
30,0.04731043421905379,30.0,0.0,0.25,0.2666666666666666,0.6956521739130436,0.7083333333333334,2019,RJ
31,0.04731043421905379,31.0,0.0,0.3125,0.33333333333333326,0.7681159420289855,0.7777777777777778,2019,RJ
33,0.03791315618924174,33.0,0.0,0.0625,0.06666666666666665,0.782608695652174,0.7222222222222222,2019,RJ
35,0.01911860012961763,35.0,0.0,0.65625,0.6333333333333333,0.39855072463768115,0.32638888888888884,2019,RJ
40,0.016526247569669476,40.0,0.0,0.25,0.2666666666666666,0.7681159420289855,0.763888888888889,2019,RJ
