Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,332,1,0.0,27.136904761904763,24.96750321750321,74.92857142857143,69.375,2016,CG
2,240,2,0.0476190476190476,27.50818452380953,26.21106821106821,79.38690476190476,74.97619047619048,2016,CG
3,254,3,0.3184523809523809,24.640625,23.196428571428573,84.32738095238095,81.07738095238095,2016,CG
4,190,4,0.0059523809523809,28.923872180451127,26.991596638655466,78.04761904761905,73.31547619047619,2016,CG
5,171,5,0.0,28.536521592442643,25.50344304388422,75.32738095238095,69.74404761904762,2016,CG
6,162,6,0.0,27.897741147741147,26.439484126984127,75.4047619047619,70.14285714285714,2016,CG
7,170,7,0.0446428571428571,27.68055555555556,28.129761904761907,75.94642857142857,70.85714285714286,2016,CG
8,149,8,0.0,28.401785714285715,26.54955357142857,74.02380952380952,68.68452380952381,2016,CG
9,117,9,0.0119047619047619,26.404761904761905,25.558779761904763,77.70833333333333,72.82738095238095,2016,CG
10,126,10,0.0,27.58333333333333,25.47023809523809,75.32738095238095,70.29761904761905,2016,CG
11,102,11,0.0,26.78250915750916,26.9593253968254,79.38690476190476,74.18452380952381,2016,CG
12,91,12,0.0,27.419060106560107,27.327636968766,75.56547619047619,69.79166666666667,2016,CG
13,103,13,0.0,29.455424783549784,25.477776863433547,75.60119047619048,70.39880952380952,2016,CG
14,91,14,0.0,27.412811147186147,27.07157029478458,75.85714285714286,70.25,2016,CG
15,86,15,0.0,27.0799963924964,27.946428571428573,75.89880952380952,70.35119047619048,2016,CG
16,61,16,0.0,26.95287698412698,26.84523809523809,74.11309523809524,69.03571428571429,2016,CG
17,43,17,0.1369047619047619,22.88363095238095,22.8562925170068,76.98214285714286,72.29761904761905,2016,CG
18,62,18,0.0,24.09188311688312,22.11926020408164,76.85714285714286,71.29166666666667,2016,CG
19,47,19,0.0,23.71421807359308,22.52047902494331,78.38095238095238,73.51785714285714,2016,CG
20,32,20,0.0,22.670959249084248,23.352182539682538,79.54166666666667,75.45238095238095,2016,CG
21,13,21,0.0,21.971153846153847,19.116071428571427,74.80952380952381,69.80357142857143,2016,CG
22,34,22,0.0476190476190476,23.32989926739927,23.310714285714283,79.8452380952381,75.05357142857143,2016,CG
23,16,23,0.0,20.22129120879121,20.47912087912088,77.5297619047619,73.81547619047619,2016,CG
24,14,24,0.0,19.773544973544976,19.53754578754579,73.74404761904762,68.14880952380952,2016,CG
25,25,25,0.0,20.32010582010582,19.517857142857142,82.5297619047619,78.26785714285714,2016,CG
26,26,26,0.0625,21.094177613574164,20.74047619047619,84.17857142857143,80.25,2016,CG
27,22,27,0.0,20.241400916083315,18.94587912087912,76.69047619047619,71.70833333333333,2016,CG
28,24,28,0.0,23.95112781954888,21.43120421245421,74.4047619047619,68.75,2016,CG
29,14,29,0.0,18.901785714285715,19.57604949874687,73.0297619047619,69.10119047619048,2016,CG
30,15,30,0.0952380952380952,21.24702380952381,20.77246240601504,77.70238095238095,73.2797619047619,2016,CG
31,15,31,0.0119047619047619,21.45616883116883,18.12755791505792,76.08928571428571,70.85119047619048,2016,CG
32,14,32,0.0178571428571428,19.915596179183137,18.709942084942085,80.14880952380952,75.49404761904762,2016,CG
33,16,33,0.0,22.411848435026183,22.49242424242424,76.31547619047619,70.57142857142857,2016,CG
34,11,34,0.0,21.232755602240896,19.75389928698752,69.64880952380952,64.04166666666667,2016,CG
35,10,35,0.0208333333333333,24.00121753246753,21.53343837535014,77.48809523809524,72.60119047619048,2016,CG
36,6,36,0.0,23.93869420809076,22.78095238095237,74.67261904761905,69.60714285714286,2016,CG
37,9,37,0.0,25.10721127531472,24.020238095238096,71.91666666666667,66.82738095238095,2016,CG
38,7,38,0.119047619047619,21.96924603174603,21.53496642246642,73.86904761904762,68.83333333333333,2016,CG
39,3,39,0.0714285714285714,21.21301020408164,20.78289072039072,79.56547619047619,75.07738095238095,2016,CG
40,2,40,0.0952380952380952,21.84204931972789,20.63095238095238,81.73809523809524,77.66071428571429,2016,CG
41,4,41,0.0,24.43482142857143,22.511904761904763,76.5297619047619,72.36904761904762,2016,CG
42,16,42,0.0,23.389795918367348,25.513605442176875,76.06547619047619,72.06547619047619,2016,CG
43,6,43,0.0,23.68877551020408,23.888180272108844,76.63690476190476,72.50595238095238,2016,CG
44,9,44,0.0,24.297619047619047,23.866071428571427,73.5,68.72619047619048,2016,CG
45,2,45,0.4047619047619047,26.029761904761905,25.20199275362319,77.9047619047619,72.86309523809524,2016,CG
46,4,46,0.4791666666666667,23.34523809523809,23.288391861761426,78.82142857142857,74.39285714285714,2016,CG
47,14,47,0.0,24.435714285714283,22.265567765567766,78.08928571428571,73.68452380952381,2016,CG
48,34,48,0.0,24.736904761904764,23.910076530612248,78.27380952380952,73.95238095238095,2016,CG
49,37,49,0.4583333333333333,25.77083333333333,24.336947278911563,80.49404761904762,76.0297619047619,2016,CG
50,29,50,0.1339285714285714,24.985119047619047,24.82242063492064,83.8452380952381,79.05357142857143,2016,CG
51,32,51,0.0,26.204861111111114,25.956065759637188,77.39285714285714,72.18452380952381,2016,CG
52,38,52,0.0,26.89641203703704,28.06398809523809,73.875,68.63888888888889,2016,CG
1,72,1,0.0,27.973214285714285,27.0280612244898,70.95238095238095,65.41666666666667,2017,CG
2,61,2,0.1309523809523809,29.145186335403725,27.35884353741497,75.73809523809524,70.76785714285714,2017,CG
3,65,3,0.0,26.5661231884058,25.302944862155385,73.80952380952381,68.31547619047619,2017,CG
4,73,4,0.0,27.695238095238096,26.140507518797,71.80952380952381,66.4702380952381,2017,CG
5,41,5,0.0654761904761904,27.490277777777777,27.00297619047619,77.78571428571429,72.55357142857143,2017,CG
6,36,6,0.0238095238095238,26.89960317460317,26.01488095238096,78.30357142857143,73.4047619047619,2017,CG
7,20,7,0.0059523809523809,27.37229853479853,26.300429894179896,75.85714285714286,70.16071428571429,2017,CG
8,24,8,0.0,28.18074980574981,27.2323082010582,74.32738095238095,68.48214285714286,2017,CG
9,67,9,0.0208333333333333,27.96626984126984,27.70238095238096,71.75,66.42857142857143,2017,CG
10,58,10,0.0,28.57063279857397,26.893009768009765,73.23809523809524,67.57738095238095,2017,CG
11,46,11,0.0714285714285714,27.007593662464988,24.562347374847377,78.67857142857143,73.5,2017,CG
12,52,12,0.0148809523809523,26.21019345238096,24.33095238095238,77.14880952380952,71.79761904761905,2017,CG
13,50,13,0.0833333333333333,24.360119047619047,22.628869047619048,75.64880952380952,69.94047619047619,2017,CG
14,47,14,0.0,28.767857142857142,25.071641156462587,75.7797619047619,69.9702380952381,2017,CG
15,37,15,0.0,25.699404761904763,23.93877551020408,78.94642857142857,73.78571428571429,2017,CG
