Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,559,1,0.0,25.17384004884005,23.53901515151515,81.17857142857143,75.52380952380952,2016,RJ
2,463,2,0.8928571428571429,24.776887464387464,24.2383658008658,87.35119047619048,83.9702380952381,2016,RJ
3,476,3,0.0625,23.56131897203326,22.580729166666668,87.10119047619048,84.38095238095238,2016,RJ
4,468,4,0.0,26.94430272108844,25.58831845238095,83.39880952380952,79.16666666666667,2016,RJ
5,518,5,0.0,26.66785714285714,25.58392857142857,82.77380952380952,78.53571428571429,2016,RJ
6,652,6,0.0446428571428571,27.75261904761905,26.48735119047619,75.85714285714286,70.26785714285714,2016,RJ
7,882,7,0.0595238095238095,27.72436507936508,26.247767857142858,80.13095238095238,73.6547619047619,2016,RJ
8,851,8,0.1071428571428571,27.8343253968254,27.73576604554865,76.70238095238095,70.02380952380952,2016,RJ
9,1033,9,0.0208333333333333,27.26295518207283,25.357983954451345,80.6547619047619,75.23214285714286,2016,RJ
10,1274,10,0.0833333333333333,27.988532913165265,26.60048558897243,80.69047619047619,75.30952380952381,2016,RJ
11,1545,11,0.0178571428571428,26.647321428571427,25.953085839599,82.82142857142857,78.76190476190476,2016,RJ
12,1939,12,0.0595238095238095,26.169642857142858,25.278354247104247,82.07142857142857,76.7202380952381,2016,RJ
13,3094,13,0.0,27.39583333333333,26.22313384813385,82.22619047619048,78.02380952380952,2016,RJ
14,2924,14,0.0,28.168320105820104,25.968177655677653,79.67261904761905,75.43452380952381,2016,RJ
15,2845,15,0.0,27.544973544973544,25.7967032967033,80.375,76.25,2016,RJ
16,2282,16,0.0,26.637896825396822,24.69047619047619,75.82738095238095,67.875,2016,RJ
17,2238,17,0.0,23.62301587301588,22.796703296703296,73.03571428571429,67.16071428571429,2016,RJ
18,1342,18,0.0,24.32963564213564,22.39972527472528,78.98214285714286,75.2202380952381,2016,RJ
19,1247,19,0.1101190476190476,23.99939874939875,22.392857142857142,80.41071428571429,76.25,2016,RJ
20,745,20,0.0982142857142857,23.710602005660142,23.311904761904763,80.96428571428571,77.32738095238095,2016,RJ
21,499,21,0.0,22.99032392026578,20.970363408521305,78.1547619047619,74.10119047619048,2016,RJ
22,548,22,0.0476190476190476,23.805357142857144,22.989988558352405,81.88095238095238,77.86309523809524,2016,RJ
23,430,23,0.181547619047619,19.959429824561404,18.96087819185645,77.47619047619048,73.85119047619048,2016,RJ
24,284,24,0.0,19.724243644826352,18.746031746031747,73.91666666666667,69.58928571428571,2016,RJ
25,230,25,0.0,19.638619157340354,18.483319490586933,84.36309523809524,81.51190476190476,2016,RJ
26,206,26,0.0,21.52115975422427,20.43334717607973,85.25595238095238,82.48214285714286,2016,RJ
27,211,27,0.0,21.68277529761905,21.574404761904763,71.35119047619048,65.79166666666667,2016,RJ
28,179,28,0.0,25.945569373582764,23.723214285714285,64.51785714285714,59.17261904761905,2016,RJ
29,131,29,0.0,19.54903628117913,19.13860544217687,73.43452380952381,70.80357142857143,2016,RJ
30,125,30,0.0,21.18772045855379,21.25053146258504,76.76785714285714,74.14880952380952,2016,RJ
31,81,31,0.0,23.18727954144621,22.67423844537815,68.5,63.92261904761905,2016,RJ
32,69,32,0.0,20.116071428571427,20.35947263520793,79.14880952380952,76.20238095238095,2016,RJ
33,61,33,0.0625,22.696309523809525,21.299175824175823,80.5297619047619,76.67261904761905,2016,RJ
