Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,25,1,0.0,25.8424823633157,25.235060690943047,74.33928571428571,67.94642857142857,2016,VA
2,32,2,0.5178571428571429,24.45238095238096,23.523628416883994,88.89285714285714,84.86309523809524,2016,VA
3,46,3,0.1875,21.94116927592955,20.419911076207928,88.64880465677686,84.38096211501772,2016,VA
4,37,4,0.0,19.40894439967768,18.317230273752013,81.9300899427637,77.13982011447261,2016,VA
5,51,5,0.0,20.085817888799355,18.85829307568438,81.79272281275551,77.41455437448897,2016,VA
6,53,6,0.0,20.76269137792103,19.39935587761675,81.65535568274734,77.68928863450532,2016,VA
7,87,7,0.0,21.43956486704271,19.940418679549115,81.51798855273917,77.96402289452166,2016,VA
8,114,8,0.0,22.116438356164384,20.48148148148148,81.380621422731,78.23875715453802,2016,VA
9,139,9,0.0,22.79331184528606,21.02254428341385,81.24325429272281,78.51349141455437,2016,VA
10,142,10,0.0,23.47018533440773,21.563607085346217,81.10588716271464,78.78822567457073,2016,VA
11,191,11,0.0,24.90350363889848,23.302291810443982,82.2847992835728,77.66254428999727,2016,VA
12,163,12,0.1458333333333333,24.95529878618113,24.30324074074074,83.5,78.2202380952381,2016,VA
13,127,13,0.0,25.65521708683473,23.224296536796537,83.17261904761905,77.13095238095238,2016,VA
14,86,14,0.0,25.88824404761905,22.94237012987013,83.06547619047619,77.07738095238095,2016,VA
15,58,15,0.0,25.57859992401216,22.26920995670996,78.82142857142857,72.82142857142857,2016,VA
16,32,16,0.0,25.818349480749745,22.88609307359308,76.07738095238095,69.66666666666667,2016,VA
17,26,17,0.0327380952380952,21.66507711038961,19.43249458874459,79.94642857142857,74.70833333333333,2016,VA
18,19,18,0.0,20.58603896103896,21.561011904761905,82.94047619047619,77.71428571428571,2016,VA
19,13,19,0.0,21.713435374149658,19.793650793650794,82.23809523809524,77.5,2016,VA
20,7,20,0.0,21.3312074829932,21.204648526077097,82.20238095238095,77.77380952380952,2016,VA
21,2,21,0.0,17.583333333333332,16.85449372056515,84.52380952380952,79.80952380952381,2016,VA
22,0,22,0.3303571428571428,22.12797619047619,19.39460279304029,87.875,83.36904761904762,2016,VA
23,2,23,0.3005952380952381,16.455357142857142,16.70030824829932,85.89285714285714,81.35714285714286,2016,VA
24,0,24,0.0,16.41326530612245,16.287414965986393,83.19047619047619,77.71428571428571,2016,VA
25,1,25,0.0,17.070737670068027,17.00595238095238,84.68452380952381,80.80952380952381,2016,VA
26,0,26,0.0,18.75607638888889,18.68452380952381,84.29166666666667,79.80357142857143,2016,VA
27,1,27,0.0,17.67137896825397,18.405396174863387,79.28571428571429,74.13095238095238,2016,VA
28,0,28,0.0,21.796875,18.81186572989852,77.13690476190476,70.0952380952381,2016,VA
29,0,29,0.0,17.979828042328045,14.83791208791209,81.95238095238095,78.32738095238095,2016,VA
30,0,30,0.0,19.079237891737893,16.8634768009768,78.41666666666667,73.26190476190476,2016,VA
31,0,31,0.0,20.40819597069597,17.426046176046174,76.5297619047619,70.7202380952381,2016,VA
32,0,32,0.0,17.986874236874236,16.760131072631072,79.44642857142857,74.19047619047619,2016,VA
33,1,33,0.0297619047619047,24.63217338217338,21.305886243386244,77.38095238095238,71.55357142857143,2016,VA
34,0,34,0.0,18.44876126126126,18.06382275132275,76.17261904761905,70.60714285714286,2016,VA
35,2,35,0.1309523809523809,22.816119691119688,20.64493575207861,71.78571428571429,66.41071428571429,2016,VA
36,0,36,0.0,23.20238095238096,20.617074829931973,77.0952380952381,71.625,2016,VA
37,0,37,0.0,23.32906058462989,24.97662202380953,63.20337301587301,57.07539682539682,2016,VA
38,0,38,0.0,19.621534653465343,19.65991023425499,74.52281746031747,69.04662698412699,2016,VA
39,0,39,0.0,18.57619047619048,18.04273644941848,82.00595238095238,77.67857142857143,2016,VA
40,0,40,0.0,18.78472222222222,18.9984693877551,83.78571428571429,79.0297619047619,2016,VA
41,0,41,0.0,22.828988779419813,22.124404761904763,76.39880952380952,71.73809523809524,2016,VA
42,5,42,0.0,25.78390804597701,23.80017006802721,78.63690476190476,73.22321428571429,2016,VA
43,7,43,0.0,24.266921768707483,22.732568027210885,77.35714285714286,72.5297619047619,2016,VA
44,1,44,0.3511904761904761,22.921768707483,22.44816468253968,74.24404761904762,69.64285714285714,2016,VA
45,0,45,0.0714285714285714,23.56501831501832,23.517609126984127,80.72619047619048,75.23809523809524,2016,VA
46,0,46,0.3005952380952381,21.57973276723277,19.748511904761905,84.79166666666667,79.42261904761905,2016,VA
47,3,47,0.0,23.62608225108225,22.59394409937888,79.19642857142857,74.36904761904762,2016,VA
48,1,48,0.0,23.10974702380953,21.1290951163074,82.14285714285714,77.0952380952381,2016,VA
49,0,49,0.0,23.65811011904762,24.36497098839536,82.54761904761905,76.78571428571429,2016,VA
50,2,50,0.1607142857142857,23.108245149911816,23.218239795918368,85.53571428571429,80.50595238095238,2016,VA
51,0,51,0.0,25.50968639770723,24.75449929971989,73.89285714285714,67.63690476190476,2016,VA
52,2,52,0.0902777777777777,27.23046875,25.443014705882355,76.63194444444444,69.125,2016,VA
1,0,1,0.4345238095238095,25.627755731922395,23.33626476906552,82.25,75.76785714285714,2017,VA
2,1,2,0.0,25.52147896195516,24.402255639097746,85.80952380952381,80.85714285714286,2017,VA
3,3,3,0.0476190476190476,24.883503401360542,24.226521164021165,77.70238095238095,71.86309523809524,2017,VA
4,8,4,0.0,25.979166666666668,24.101521164021165,78.56547619047619,72.35714285714286,2017,VA
5,2,5,0.0059523809523809,25.17113095238096,24.015031265031265,80.13690476190476,74.31547619047619,2017,VA
6,4,6,0.0267857142857142,26.02066798941799,23.91868598880794,77.79761904761905,72.21428571428571,2017,VA
7,7,7,0.0,27.350949975949977,24.05304020166825,70.57142857142857,64.02380952380952,2017,VA
8,5,8,0.0,26.540584415584416,24.61178751803752,74.53869047619048,68.41964285714286,2017,VA
9,2,9,0.1339285714285714,26.053571428571427,25.02876984126984,80.60714285714286,74.20238095238095,2017,VA
10,0,10,0.0178571428571428,25.01256613756614,24.372354497354497,80.41666666666667,74.83928571428571,2017,VA
11,1,11,0.0,23.85052910052909,24.455653021442497,79.16071428571429,73.51190476190476,2017,VA
12,4,12,0.0,21.979166666666668,19.83345081453634,82.6547619047619,77.1547619047619,2017,VA
13,0,13,0.0,21.58333333333333,22.203541666666663,81.50595238095238,75.94047619047619,2017,VA
14,3,14,0.0119047619047619,24.11904761904762,24.01568181818181,81.88690476190476,77.125,2017,VA
15,1,15,0.0,22.24496336996337,21.742830086580085,83.35119047619048,78.41666666666667,2017,VA
16,2,16,0.0,21.36515567765568,20.47315476190476,84.07142857142857,79.35714285714286,2017,VA
17,0,17,0.0,21.037896825396825,21.263452380952383,83.66666666666667,79.94642857142857,2017,VA
18,0,18,0.0,20.655380485527544,18.63095238095238,84.82142857142857,80.4047619047619,2017,VA
19,0,19,0.0,20.825695903361343,18.49702380952381,81.625,76.35119047619048,2017,VA
