Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.6974789915966386,1,0.0,0.720112961362928,0.6283510783683328,0.3499608892742372,0.37302234545751123,2016,CG
2,0.5042016806722689,2,0.030018761726078796,0.7501557986079372,0.7382476359370529,0.5687830438511341,0.5995914594838103,2016,CG
3,0.5336134453781513,3,0.20075046904315197,0.518121540607408,0.47183733939368433,0.8112695435825428,0.8463856591405117,2016,CG
4,0.3991596638655462,4,0.003752345215759818,0.8647089690798608,0.8072246397287588,0.5030487517552706,0.5324152822114003,2016,CG
5,0.3592436974789916,5,0.0,0.8333657291127914,0.6757132526720693,0.3695351006983385,0.3879503848513801,2016,CG
6,0.3403361344537815,6,0.0,0.7816775443407271,0.7584332498639166,0.3733330820194327,0.4040822983899153,2016,CG
7,0.35714285714285715,7,0.028142589118198853,0.7641035420182789,0.9078067929227058,0.3999189512670931,0.43297527786192,2016,CG
8,0.3130252100840336,8,0.0,0.8224633086906132,0.768160327339191,0.3055537230583645,0.3450924653012404,2016,CG
9,0.24579831932773108,9,0.007504690431519699,0.6608701720861971,0.6806034794387259,0.4863960644243184,0.5126717462388641,2016,CG
10,0.2647058823529412,10,0.0,0.7562366133609342,0.672778858756722,0.3695351006983385,0.41034244394218344,2016,CG
11,0.21428571428571427,11,0.0,0.6914363391614338,0.8043727595263219,0.5687830438511341,0.5675684072356719,2016,CG
12,0.19117647058823528,12,0.0,0.7429441198774722,0.836921258461597,0.3812211970709365,0.38987658348284704,2016,CG
13,0.21638655462184872,13,0.0,0.9077206006865144,0.6734450761858686,0.38297411152682637,0.4144356160340501,2016,CG
14,0.19117647058823528,14,0.0,0.7424384729538172,0.8142920865853795,0.3955366651273695,0.4084162453107161,2016,CG
15,0.18067226890756302,15,0.0,0.7155081079466175,0.8916052253929114,0.3975817319925734,0.4125094174025836,2016,CG
16,0.12815126050420167,16,0.0,0.7052219892615275,0.7942906152301827,0.30993600919808895,0.3592981802083095,2016,CG
17,0.09033613445378151,17,0.08630393996247655,0.3759508875605868,0.44177877254805353,0.45075347048789505,0.4912427864637947,2016,CG
18,0.13025210084033612,18,0.0,0.47371900436513137,0.37664561551442954,0.4446182698922807,0.4505518403740556,2016,CG
19,0.09873949579831932,19,0.0,0.4431594894309392,0.4121021999894201,0.5194092866769076,0.540601626395135,2016,CG
20,0.06722689075630252,20,0.0,0.3587421354972289,0.4856016581284124,0.5763790064933234,0.6188534457984791,2016,CG
21,0.0273109243697479,21,0.0,0.3021159953716359,0.11124725687179171,0.3441178410879382,0.39035813314071355,2016,CG
22,0.07142857142857142,22,0.030018761726078796,0.4120615720937739,0.4819370178538158,0.5912787793683858,0.602721532259944,2016,CG
23,0.03361344537815126,23,0.0,0.16052239450929573,0.23170291716011837,0.4776314921448699,0.5526403678418035,2016,CG
24,0.029411764705882353,24,0.0,0.12429212113388188,0.1484938675390648,0.29182255982056216,0.32342273069723726,2016,CG
25,0.052521008403361345,25,0.0,0.1685181744837374,0.14675393895819244,0.7230395159694272,0.7327399398839622,2016,CG
26,0.0546218487394958,26,0.03939962476547843,0.2311537266824777,0.2547994574848107,0.8039657333496688,0.8129179579187737,2016,CG
27,0.04621848739495798,27,0.0,0.16214961130161964,0.09620699051109072,0.436438002431462,0.46740607839939097,2016,CG
28,0.05042016806722689,28,0.0,0.4623295107189085,0.315840603081893,0.3242514772545211,0.3477409884195075,2016,CG
29,0.029411764705882353,29,0.0,0.05375199417303378,0.15189652468727566,0.25676427070276775,0.36194670332657664,2016,CG
30,0.031512605042016806,30,0.06003752345215759,0.2435215793358949,0.25762614929067573,0.48610391201500347,0.5309706332377999,2016,CG
31,0.031512605042016806,31,0.007504690431519699,0.2604449629689003,0.023890156271953122,0.4069306090906517,0.43273450303298633,2016,CG
32,0.029411764705882353,32,0.011257035647279517,0.1357864757670313,0.07535671876283545,0.6061785522434477,0.6205388696010128,2016,CG
33,0.03361344537815126,33,0.0,0.3377756708150925,0.4096229375156941,0.41803240064462033,0.42141808607311804,2016,CG
34,0.02310924369747899,34,0.0,0.2423670390857624,0.1676134993473153,0.09082170221187624,0.15728809873321392,2016,CG
35,0.021008403361344536,35,0.013133208255159456,0.46638261904117195,0.3248752595946771,0.47558642527966555,0.5035223027393965,2016,CG
36,0.012605042016806723,36,0.0,0.4613234204233114,0.4351207999917459,0.3373983356736945,0.3824125637859126,2016,CG
37,0.018907563025210083,37,0.0,0.5558762931372019,0.5446391882938009,0.20213177016087247,0.2699707186740299,2016,CG
38,0.014705882352941176,38,0.07504690431519698,0.30196162079044764,0.3250102964594579,0.29795776041617605,0.3511118360245744,2016,CG
39,0.0063025210084033615,39,0.045028142589118185,0.24076930108842842,0.2585477222338366,0.5775476161305826,0.603684631575677,2016,CG
40,0.004201680672268907,40,0.06003752345215759,0.2916692469275237,0.24512059896051763,0.6841832455305399,0.7081809073327592,2016,CG
41,0.008403361344537815,41,0.0,0.501468537036327,0.4113444736168532,0.42854988737995825,0.4941320844109951,2016,CG
42,0.03361344537815126,42,0.0,0.4169082282307077,0.6766113260295408,0.40576199945339253,0.48185256813539334,2016,CG
43,0.012605042016806723,43,0.0,0.44110075402594395,0.5329689497159846,0.43380863074762743,0.4996699054764626,2016,CG
44,0.018907563025210083,44,0.0,0.4903665346556063,0.5310151428710188,0.27984431103864926,0.3467778891037745,2016,CG
45,0.004201680672268907,45,0.25515947467166983,0.6305263044078717,0.6490734313927586,0.4960370939317116,0.5141163952124645,2016,CG
46,0.008403361344537815,46,0.302063789868668,0.4133027437265253,0.4799643364405377,0.5410285649662141,0.5759955262483398,2016,CG
47,0.029411764705882353,47,0.0,0.5015407843403228,0.38957513462826787,0.505093818620475,0.5473433216052692,2016,CG
48,0.07142857142857142,48,0.0,0.525912208221645,0.5349039699566724,0.5141505433092384,0.5581781889072706,2016,CG
49,0.07773109243697479,49,0.2889305816135085,0.6095745862490276,0.572627471347938,0.6231233919837149,0.6422086042050159,2016,CG
50,0.06092436974789916,50,0.08442776735459662,0.5459969587325364,0.6155298133186495,0.7876051984280323,0.7645222173031669,2016,CG
51,0.06722689075630252,51,0.0,0.6446948034693125,0.7157125117345646,0.4709119867306262,0.48666806471406066,2016,CG
52,0.07983193277310924,52,0.0,0.7006530162402986,0.9019942175589317,0.29824991282549096,0.34324652494608454,2016,CG
1,0.15126050420168066,1,0.0,0.787784602772527,0.8104470949097096,0.15480307985185027,0.21290708421682192,2017,CG
2,0.12815126050420167,2,0.08255159474671668,0.8826170422351198,0.8396790511670853,0.3896936169410701,0.429363655427919,2017,CG
3,0.13655462184873948,3,0.0,0.6739270399243178,0.6579947899581742,0.29503623632302656,0.3301644259073715,2017,CG
4,0.1533613445378151,4,0.0,0.7652916087951016,0.7320120332782472,0.1968730267932033,0.25552422893802795,2017,CG
5,0.0861344537815126,5,0.041275797373358306,0.7487068387889055,0.8082302756048441,0.49019404574541303,0.5015961041079295,2017,CG
6,0.07563025210084033,6,0.015009380863039398,0.7009112334564318,0.7209101389182886,0.5156113053558133,0.5360269046454005,2017,CG
7,0.04201680672268907,7,0.003752345215759818,0.7391603146882357,0.7461447232652898,0.3955366651273695,0.4048046228767159,2017,CG
8,0.05042016806722689,8,0.0,0.8045777503952214,0.8284968468204152,0.32045349593342687,0.3369061211175062,2017,CG
9,0.1407563025210084,9,0.013133208255159456,0.7872226792970023,0.8700382036811718,0.1939515027000538,0.2538388051354943,2017,CG
10,0.12184873949579832,10,0.0,0.8361259049133174,0.7985123024070273,0.2669896050287912,0.30030834711963417,2017,CG
11,0.09663865546218486,11,0.045028142589118185,0.7096494976542898,0.5925465706689905,0.5340169071426555,0.5398793019083348,2017,CG
12,0.1092436974789916,12,0.009380863039399575,0.6451262804237332,0.5720976891072838,0.45893373794871284,0.471017700833392,2017,CG
13,0.10504201680672269,13,0.05253283302063789,0.4954238459353273,0.4216808632908944,0.3853113308013456,0.39589595420618107,2017,CG
14,0.09873949579831932,14,0.0,0.8520847033289785,0.6375539757344997,0.3917386838062744,0.3970998283508482,2017,CG
15,0.07773109243697479,15,0.0,0.6037948019293469,0.5374401615342721,0.547163765561828,0.5514364936971368,2017,CG
16,0.06722689075630252,16,0.056285178236397705,0.5843710727285794,0.41006987477272583,0.3487922796369767,0.3763931930625781,2017,CG
17,0.07352941176470588,17,0.016885553470919273,0.35325443853167915,0.3866184121395102,0.5719967203535985,0.6181311213116794,2017,CG
18,0.07352941176470588,18,0.0,0.34009214234389895,0.3771528538299487,0.536938431235805,0.5362676794743346,2017,CG
19,0.06722689075630252,19,0.0,0.39295308643431537,0.3811091735309733,0.3756703012939524,0.4045638480477818,2017,CG
20,0.058823529411764705,20,0.19136960600375233,0.3344327701975447,0.34475361525124626,0.589233712503181,0.6393193062578155,2017,CG
21,0.06722689075630252,21,0.018761726078799217,0.3305929597814603,0.4158156854351407,0.7808856930137873,0.7984714681827714,2017,CG
22,0.07142857142857142,22,0.0,0.3349010397604817,0.47212322250227046,0.5830985119075671,0.5851449697478079,2017,CG
23,0.06302521008403361,23,0.0,0.3923510255676823,0.4523515467124517,0.3975817319925734,0.43586457580911997,2017,CG
24,0.04621848739495798,24,0.0,0.304209314692546,0.2671009259663848,0.7318040882488761,0.7377962112915628,2017,CG
25,0.058823529411764705,25,0.03752345215759849,0.1601413098288771,0.24218237405135734,0.6605189003760286,0.6487095245862169,2017,CG
26,0.0273109243697479,26,0.003752345215759818,0.1430565426077246,0.1768547034072787,0.5939081510522195,0.5776809500508735,2017,CG
27,0.044117647058823525,27,0.03752345215759849,0.0,0.028175782998993704,0.8434063086071868,0.781617230157436,2017,CG
28,0.06302521008403361,28,0.0,0.12547911758027586,0.08915421024025338,0.838439717648833,0.8090655606558395,2017,CG
29,0.0546218487394958,29,0.0,0.21817722509409387,0.2808210797015811,0.6304272022165884,0.6400416307446157,2017,CG
30,0.06512605042016806,30,0.03377110694183861,0.2915922130526625,0.18559118935258123,0.6391917744960369,0.6342630348502145,2017,CG
31,0.06092436974789916,31,0.0,0.30127546924574844,0.15863947019329583,0.4092903646660311,0.4213914083571493,2017,CG
32,0.03571428571428571,32,0.0,0.2679924187274507,0.03573928574875862,0.36429151811488314,0.43366214462496355,2017,CG
33,0.06512605042016806,33,0.0,0.3247920819024779,0.06669104531038617,0.31224987266990034,0.3717104096785402,2017,CG
34,0.044117647058823525,34,0.0,0.38159174507750504,0.09764280487201282,0.2602082272249171,0.3097586747321168,2017,CG
35,0.05042016806722689,35,0.0,0.438391408252532,0.12859456443363926,0.20816658177993386,0.2478069397856939,2017,CG
36,0.025210084033613446,36,0.0,0.49519107142755914,0.15954632399526658,0.15612493633495017,0.18585520483927054,2017,CG
37,0.058823529411764705,37,0.0,0.5519907346025865,0.19049808355689368,0.10408329088996693,0.12390346989284717,2017,CG
38,0.06092436974789916,38,0.0,0.6087903977776132,0.22144984311852056,0.05204164544498413,0.06195173494642381,2017,CG
39,0.04621848739495798,39,0.0,0.6655900609526408,0.2524016026801472,0.0,0.0,2017,CG
40,0.031512605042016806,40,0.0,0.48741090214486893,0.4282737150448519,0.1412761774500133,0.19514563500224424,2017,CG
41,0.044117647058823525,41,0.007504690431519699,0.6143691800596727,0.718240163946583,0.15567953707979587,0.2526349309908271,2017,CG
42,0.031512605042016806,42,0.005628517823639758,0.5866493594831932,0.469887736544081,0.33564542121780416,0.3763931930625781,2017,CG
43,0.03571428571428571,43,0.0,0.6144817732607051,0.5343634938028134,0.334476811580545,0.391321232456447,2017,CG
44,0.0546218487394958,44,0.0,0.4852873302534624,0.4824893440196043,0.1536344702145911,0.23240984536042442,2017,CG
45,0.058823529411764705,45,0.0,0.46702509797997127,0.39070325576395915,0.46506893854432674,0.5049669517129964,2017,CG
46,0.03361344537815126,46,0.0,0.6707254453492426,0.468841741828675,0.07767484379270373,0.1558434497596135,2017,CG
47,0.03571428571428571,47,0.15009380863039395,0.45210483236048216,0.5522660595455504,0.7245002780160021,0.7452602309884973,2017,CG
48,0.05042016806722689,48,0.0919324577861163,0.4289269574362331,0.4407549026148747,0.7157357057365541,0.737073886804763,2017,CG
49,0.03571428571428571,49,0.10881801125703565,0.5801940159573158,0.46138259411268856,0.7280061069277819,0.7507980520539643,2017,CG
50,0.08403361344537814,50,0.0,0.5385547095682159,0.6275272278355926,0.48581175960568856,0.5160425938439315,2017,CG
51,0.044117647058823525,51,0.0,0.8132886779358504,0.6908350013242683,0.31723981943096247,0.3751893189179114,2017,CG
52,0.018907563025210083,52,0.03939962476547843,0.7982817110590064,0.8134969847579845,0.33301604953396957,0.3667020061980102,2017,CG
1,0.07352941176470588,1,0.06635726276291101,0.7814344450002457,0.7962303321219399,0.4976439321829442,0.5217609960310989,2018,CG
2,0.0861344537815126,2,0.0,0.8337820529833222,0.6746199459760172,0.44344966025502064,0.4688507273729914,2018,CG
3,0.09243697478991596,3,0.0,0.7795965749863123,0.7445812603092217,0.10163134135652996,0.16908606535094872,2018,CG
4,0.04831932773109243,4,0.0,1.0000000000000002,0.699372340813204,0.08439434920694744,0.16210359531188123,2018,CG
5,0.04831932773109243,5,0.08255159474671668,0.6218074801025029,0.5607063272329802,0.6336408787190528,0.6436532531786163,2018,CG
6,0.03361344537815126,6,0.11444652908067543,0.6513977477844979,0.6718224498116345,0.6701599298834218,0.6841034244394217,2018,CG
7,0.06092436974789916,7,0.022514071294559092,0.7823259175817172,0.6503772563821857,0.46243956686049303,0.4681284028861916,2018,CG
8,0.0819327731092437,8,0.18011257035647282,0.687567271086629,0.7616269725912648,0.593615998642905,0.5962206118787425,2018,CG
9,0.07773109243697479,9,0.16697936210131337,0.8333829726374395,0.8271622102183482,0.6511700232779503,0.6349853593370152,2018,CG
10,0.06512605042016806,10,0.7748592870544092,0.6797843068598783,0.6897042895094854,0.76978390145982,0.7507980520539643,2018,CG
11,0.06302521008403361,11,0.0,0.8685235826440139,0.6316612441924712,0.6152352769322111,0.6034438567467437,2018,CG
12,0.07352941176470588,12,0.32645403377110704,0.5929577063299452,0.7375675947119087,0.7034653045453263,0.7110702052799591,2018,CG
13,0.09033613445378151,13,0.0,0.6754641274933919,0.647754319082557,0.5091839523508845,0.5102639979495303,2018,CG
14,0.18907563025210083,14,0.005628517823639758,0.7247367888186729,0.6390639490533856,0.7358942219792857,0.7387593106072967,2018,CG
15,0.2415966386554622,15,0.016885553470919273,0.5719609307126945,0.5736594389553755,0.7119377244154599,0.6785656033739547,2018,CG
16,0.30462184873949577,16,0.0,0.3822225922930198,0.37040975852184177,0.5772554637212677,0.55312191749967,2018,CG
17,0.3067226890756302,17,0.03752345215759849,0.38847351032964683,0.4254156402214646,0.7417372701655847,0.7093847814774255,2018,CG
18,0.25630252100840334,18,0.03377110694183861,0.4254315335488865,0.5297479010187767,0.7119377244154599,0.6987906890043574,2018,CG
19,0.13445378151260504,19,0.015009380863039398,0.5159377016457103,0.30145817310783807,0.6193254106626207,0.6361892334816819,2018,CG
20,0.08823529411764705,20,0.0,0.5348176390615749,0.37749047975364936,0.6307193546259033,0.64533867698115,2018,CG
21,0.06722689075630252,21,0.011257035647279517,0.2644944224374277,0.33425677406066345,0.6096843811552275,0.6101855519568784,2018,CG
22,0.0273109243697479,22,0.015009380863039398,0.2704891841150603,0.38086007707424363,0.7431980322121596,0.7202196487794268,2018,CG
23,0.004201680672268907,23,0.0,0.3245235566396605,0.2770185605385702,0.6444505178637066,0.6667676367562194,2018,CG
24,0.012605042016806723,24,0.0,0.3856079438613873,0.34133668099031955,0.628674287760699,0.6576181932567517,2018,CG
25,0.025210084033613446,25,0.0,0.24366607394388695,0.34510211868166496,0.6026727233316684,0.6012768832863435,2018,CG
26,0.01680672268907563,26,0.0,0.2852223910308811,0.3701710685308044,0.6698677774741069,0.6679715109008866,2018,CG
27,0.008403361344537815,27,0.0,0.45123050225247896,0.2790492062875236,0.48610391201500347,0.47125847566232526,2018,CG
28,0.0063025210084033615,28,0.022514071294559092,0.11178280874867208,0.1378225011000409,0.7116455720061445,0.7057731590434253,2018,CG
29,0.004201680672268907,29,0.0,0.26345764698928753,0.28275626028312995,0.6093922287459121,0.6077778036675445,2018,CG
30,0.0021008403361344537,30,0.0,0.3283261528359769,0.2660300895225096,0.6567209190549343,0.6487095245862169,2018,CG
