Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.13089005235602094,1,0.0,0.7282453868438146,0.6483025516470377,0.5116836428999398,0.47272727272727244,2016,VA
2,0.16753926701570682,2,0.349648070907195,0.6287260562930139,0.5454320431176126,1.0000000000000002,0.9999999999999998,2016,VA
3,0.24083769633507854,3,0.12659671532846717,0.4489448526010118,0.3588742774341983,0.9918113006467972,0.9849724740858956,2016,VA
4,0.193717277486911,4,0.0,0.267659284147977,0.23248666239250848,0.7663780927470147,0.7592745416013724,2016,VA
5,0.2670157068062827,5,0.0,0.3161176167380273,0.26500878227115787,0.7617690098947325,0.7678376873681161,2016,VA
6,0.2774869109947644,6,0.0,0.3645759493280776,0.2975309021498075,0.7571599270424512,0.7764008331348593,2016,VA
7,0.4554973821989529,7,0.0,0.4130342819181281,0.3300530220284569,0.7525508441901698,0.7849639789016025,2016,VA
8,0.5968586387434556,8,0.0,0.46149261450817836,0.36257514190710627,0.7479417613378885,0.7935271246683462,2016,VA
9,0.7277486910994765,9,0.0,0.5099509470982286,0.3950972617857559,0.7433326784856067,0.8020902704350894,2016,VA
10,0.743455497382199,10,0.0,0.5584092796882785,0.4276193816644053,0.7387235956333253,0.8106534162018331,2016,VA
11,1.0,11,0.0,0.6610225689109774,0.5321279763392882,0.7782796643978889,0.7755672431761671,2016,VA
12,0.8534031413612566,12,0.09846411192214109,0.6647306569272922,0.5922928610573958,0.8190533253445176,0.7929499072356216,2016,VA
13,0.6649214659685865,13,0.0,0.7148388002421471,0.5274398483983705,0.8080687038146597,0.7589981447124303,2016,VA
14,0.4502617801047121,14,0.0,0.7315215306926899,0.5104938591892222,0.804473736768524,0.7573283858998143,2016,VA
15,0.30366492146596863,15,0.0,0.7093536689468147,0.4700316507896435,0.6620730976632714,0.6246753246753245,2016,VA
16,0.16753926701570682,16,0.0,0.7265176795712855,0.5071111665255922,0.5700019972039143,0.5263450834879404,2016,VA
17,0.13612565445026178,17,0.022104188390684714,0.42917902309481804,0.2995227987135233,0.699820251647693,0.6834879406307974,2016,VA
18,0.09947643979057592,18,0.0,0.3519291523893828,0.4274633909480442,0.8002796085480328,0.7771799628942484,2016,VA
19,0.06806282722513089,19,0.0,0.4326410597477863,0.32123112046273483,0.7767126023567006,0.7705009276437844,2016,VA
20,0.03664921465968587,20,0.0,0.4052768231917234,0.40604315566194427,0.7755142800079888,0.7790352504638214,2016,VA
21,0.010471204188481676,21,0.0,0.13696120000852274,0.14456471809375382,0.853405232674256,0.8424860853432279,2016,VA
22,0.0,22,0.2230513555787278,0.4623186244220485,0.29724520447139213,0.9658478130617139,0.9534322820037102,2016,VA
23,0.010471204188481676,23,0.20295663885992352,0.05620778556665895,0.1352969613847973,0.8993409227082083,0.8907235621521334,2016,VA
24,0.0,24,0.0,0.053194371307426325,0.1104788353252858,0.8086678649890156,0.7771799628942484,2016,VA
25,0.005235602094240838,25,0.0,0.10026374984400266,0.15366857201270967,0.8587976832434594,0.8736549165120591,2016,VA
26,0.0,26,0.0,0.2209195377808082,0.2545638858836857,0.8456161374076296,0.8423005565862709,2016,VA
27,0.005235602094240838,27,0.0,0.143264511821817,0.2377861248484615,0.6776512881965251,0.6654916512059368,2016,VA
28,0.0,28,0.0,0.4386146208424777,0.2622181344944069,0.6055522268823645,0.5397031539888684,2016,VA
29,0.0,29,0.0,0.16534681827759212,0.02335233873964071,0.7671260235670061,0.7962894248608532,2016,VA
30,0.0,30,0.0,0.24405512786822325,0.14510467171278651,0.6484921110445379,0.6384044526901664,2016,VA
31,0.0,31,0.0,0.3391971206089206,0.1789195053896172,0.5851807469542638,0.5591836734693876,2016,VA
32,0.0,32,0.0,0.16585126533350603,0.138892782530602,0.683043738765728,0.6673469387755098,2016,VA
33,0.005235602094240838,33,0.020094716718804268,0.6415976512070944,0.4121283368401921,0.6137407629318952,0.5851576994434133,2016,VA
34,0.0,34,0.0,0.19891841215856298,0.21725488191681752,0.5731975234671463,0.5556586270871986,2016,VA
35,0.010471204188481676,35,0.08841675356273893,0.5115837931127811,0.3724000261239694,0.4260035949670462,0.42486085343228175,2016,VA
36,0.0,36,0.0,0.5392367843521622,0.3707253660905193,0.6041541841422011,0.5873840445269016,2016,VA
37,0.0,37,0.0,0.5483059587999155,0.6327683598974351,0.13804007722521772,0.13388991960420493,2016,VA
38,0.0,38,0.0,0.28287892177452023,0.31319226343953177,0.5178416883030426,0.5070191713048853,2016,VA
39,0.0,39,0.0,0.20804125029297116,0.2159874297174077,0.7689235070900737,0.7760667903525043,2016,VA
40,0.0,40,0.0,0.22297033359611929,0.2734344785286523,0.8286399041342125,0.8181818181818177,2016,VA
41,0.0,41,0.0,0.5125051093867976,0.46132772235899433,0.5807868983423206,0.5909090909090906,2016,VA
42,0.02617801047120419,42,0.0,0.7240519684333573,0.5620543662523741,0.6558817655282605,0.6371985157699445,2016,VA
43,0.03664921465968587,43,0.0,0.6154487704356668,0.49788310659431445,0.6129418813660876,0.6155844155844152,2016,VA
44,0.005235602094240838,44,0.2371176572818908,0.519147355957277,0.48078823399125936,0.5084881166367088,0.5256029684601111,2016,VA
45,0.0,45,0.04822732012513032,0.5651985072009367,0.5450702365639025,0.7259836229279013,0.7,2016,VA
46,0.0,46,0.20295663885992352,0.4230691005881173,0.318517919055448,0.8623926502895947,0.8304267161410019,2016,VA
47,0.015706806282722516,47,0.0,0.5695701609450996,0.48955072081044515,0.6746554823247453,0.67291280148423,2016,VA
48,0.005235602094240838,48,0.0,0.5326049900922596,0.40150180290031423,0.7735170760934691,0.7578849721706866,2016,VA
49,0.0,49,0.0,0.5718630814139307,0.5960033333116189,0.7870980627122031,0.7482374768089055,2016,VA
50,0.010471204188481676,50,0.10851147028154326,0.532497468810937,0.5270757907470033,0.8873576992210908,0.8641929499072354,2016,VA
51,0.0,51,0.0,0.7044200519100909,0.6194170412800476,0.49670461354104245,0.46307977736549133,2016,VA
52,0.010471204188481676,52,0.06095397404703969,0.827613299810368,0.6608022196688433,0.588609280340856,0.5094619666048235,2016,VA
1,0.0,1,0.2933828640945429,0.7128728029160558,0.5341700177233494,0.7771120431396048,0.716512059369202,2017,VA
2,0.005235602094240838,2,0.0,0.7052642983011812,0.5982444333751343,0.896544837227881,0.8751391465677181,2017,VA
3,0.015706806282722516,3,0.032151546750086885,0.659590723554246,0.5876814125116775,0.6245256640703014,0.5948051948051944,2017,VA
4,0.041884816753926704,4,0.0,0.7380308098779111,0.5801679316914984,0.653485120830837,0.6102040816326528,2017,VA
