Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.10730446024563671,1,0.0,0.735734029703963,0.6322202480871514,0.4081547039265281,0.47079646017699117,2016,CG
2,0.07756948933419522,2,0.030018761726078796,0.7595563979051596,0.7069682619095251,0.5175705497536467,0.6095870206489675,2016,CG
3,0.08209437621202327,3,0.20075046904315197,0.5755656022189652,0.5257647650120537,0.6388190838477836,0.7607669616519173,2016,CG
4,0.06140917905623788,4,0.003752345215759818,0.8503909546862425,0.753884144871776,0.48470197123415204,0.5684365781710914,2016,CG
5,0.05526826115061409,5,0.0,0.825537436457433,0.6644344369374219,0.4179422361967777,0.47994100294985254,2016,CG
6,0.05235940530058177,6,0.0,0.7845514616891491,0.7206978507355882,0.41984130962234834,0.48982300884955743,2016,CG
7,0.054945054945054944,7,0.028142589118198853,0.7706162148055147,0.822296808048454,0.43313482360134414,0.5075221238938052,2016,CG
8,0.04815772462831286,8,0.0,0.8168923983252732,0.7273138880133571,0.3859501531044691,0.45368731563421827,2016,CG
9,0.037815126050420166,9,0.007504690431519699,0.688757656337275,0.6677606078934138,0.47637526467587965,0.5563421828908552,2016,CG
10,0.04072398190045249,10,0.0,0.7643781598056014,0.6624385589791201,0.4179422361967777,0.4936578171091446,2016,CG
11,0.03296703296703297,11,0.0,0.7129949971925083,0.7519443900195076,0.5175705497536467,0.5899705014749261,2016,CG
12,0.029411764705882353,12,0.0,0.7538379211626072,0.7740828054725132,0.42378553904468785,0.48112094395280236,2016,CG
13,0.03329023917259211,13,0.0,0.8844968853848534,0.6628916981010747,0.42466203447187456,0.49616519174041285,2016,CG
14,0.029411764705882353,14,0.0,0.7534369701107182,0.7586911891233415,0.43094358503337804,0.49247787610619453,2016,CG
15,0.027795733678086618,15,0.0,0.7320826264526232,0.811277036178858,0.43196616303176216,0.49498525073746324,2016,CG
16,0.01971557853910795,16,0.0,0.7239262827398427,0.7450868480010898,0.38814139167243566,0.46238938053097356,2016,CG
17,0.013897866839043309,17,0.08630393996247655,0.46283185418228157,0.5053199192428587,0.4585531909897538,0.5432153392330383,2016,CG
18,0.020038784744667096,18,0.0,0.5403567583003965,0.46101849406673556,0.45548545699460097,0.5182890855457227,2016,CG
19,0.015190691661279896,19,0.0,0.5161246922383527,0.48513489338864757,0.4928825952212261,0.5734513274336281,2016,CG
20,0.010342598577892695,20,0.0,0.4491862312807855,0.5351268006371973,0.5213686966047886,0.621386430678466,2016,CG
21,0.004201680672268907,21,0.0,0.4042847211842806,0.28050328395335133,0.40523305250257313,0.4814159292035398,2016,CG
22,0.010989010989010988,22,0.030018761726078796,0.49146570177567916,0.5326342331905028,0.528818907735874,0.6115044247787611,2016,CG
23,0.005171299288946348,23,0.0,0.2920085447643488,0.3624332511826228,0.471992787539947,0.5808259587020648,2016,CG
24,0.004524886877828054,24,0.0,0.26327986959494565,0.3058372000521604,0.37908427225817487,0.4404129793510323,2016,CG
25,0.008080155138978667,25,0.0,0.2983487719890112,0.3046537580182126,0.5947021473460614,0.6911504424778758,2016,CG
26,0.008403361344537815,26,0.03939962476547843,0.3480154254676715,0.3781427561355831,0.6351670195678398,0.7402654867256635,2016,CG
27,0.007110536522301228,27,0.0,0.2932988409255861,0.27027339083664603,0.4513951450010636,0.5286135693215337,2016,CG
28,0.007756948933419522,28,0.0,0.5313254970698817,0.4196609300963198,0.3952994376611254,0.45530973451327417,2016,CG
29,0.004524886877828054,29,0.0,0.20734530976239696,0.3081515752170806,0.36155436371444405,0.46401179941002946,2016,CG
30,0.004848093083387201,30,0.06003752345215759,0.35782247322967353,0.3800653786712732,0.476229182104682,0.5675516224188788,2016,CG
31,0.004848093083387201,31,0.007504690431519699,0.37124181418032,0.22108586535917907,0.4366408053100903,0.5073746312684366,2016,CG
32,0.004524886877828054,32,0.011257035647279517,0.2723942799974284,0.25609172368238353,0.5362691188669593,0.6224188790560472,2016,CG
33,0.005171299288946348,33,0.0,0.43256094261507494,0.4834485808256769,0.44219194301560516,0.5004424778761061,2016,CG
34,0.003555268261150614,34,0.0,0.3569069843656405,0.31884174299963297,0.2785794632741192,0.3386430678466077,2016,CG
35,0.003232062055591467,35,0.013133208255159456,0.5345393958779359,0.42580600547300473,0.4709702095415629,0.5507374631268438,2016,CG
36,0.0019392372333548805,36,0.0,0.5305277211051851,0.5007913859049816,0.4018731533650248,0.4765486725663717,2016,CG
37,0.0029088558500323207,37,0.0,0.6055031080801743,0.5752821814650434,0.33423692290046403,0.407669616519174,2016,CG
38,0.002262443438914027,38,0.07504690431519698,0.40416231037188033,0.4258978530946088,0.3821520062533277,0.45737463126843636,2016,CG
39,0.0009696186166774402,39,0.045028142589118185,0.35564006331716813,0.3806922021916611,0.5219530268895793,0.6120943952802358,2016,CG
40,0.0006464124111182935,40,0.06003752345215759,0.39600100663657223,0.3715595157979025,0.57527316537676,0.6761061946902656,2016,CG
41,0.001292824822236587,41,0.0,0.5623606582421097,0.48461951290154925,0.4474509155787241,0.5449852507374631,2016,CG
42,0.005171299288946348,42,0.0,0.4953088416927589,0.6650452768146929,0.4360564750252993,0.5374631268436576,2016,CG
43,0.0019392372333548805,43,0.0,0.5144922248236852,0.5673444700951534,0.45008040186028375,0.5483775811209439,2016,CG
44,0.0029088558500323207,44,0.0,0.5535573622575394,0.5660155551201557,0.3730948868390669,0.4547197640117995,2016,CG
45,0.0006464124111182935,45,0.25515947467166983,0.6646965870518984,0.6463149091445127,0.48119598952540565,0.5572271386430678,2016,CG
46,0.001292824822236587,46,0.302063789868668,0.49244988470737616,0.5312924803566653,0.5036927054898599,0.5951327433628317,2016,CG
47,0.004524886877828054,47,0.0,0.5624179465023129,0.46981272652332107,0.48572454923253594,0.5775811209439528,2016,CG
48,0.010989010989010988,48,0.0,0.5817431862775522,0.5686606070415455,0.49025310893966645,0.5842182890855456,2016,CG
49,0.011958629605688428,49,0.2889305816135085,0.6480829915929476,0.5943188884818845,0.5447419079964293,0.6356932153392327,2016,CG
50,0.009372979961215255,50,0.08442776735459662,0.5976693226140632,0.6234996464745418,0.6269863955807655,0.7106194690265486,2016,CG
51,0.010342598577892695,51,0.0,0.6759314514139858,0.6916406136861201,0.4686328884023987,0.5404129793510324,2016,CG
52,0.012281835811247576,52,0.0,0.7203033307288396,0.8183432859978356,0.38229808882452554,0.4525565388397246,2016,CG
1,0.18067226890756302,1,0.0,0.6097782001766878,0.5463569066019037,0.5615414036841713,0.6231563421828905,2016,RJ
2,0.14964447317388493,2,0.5628517823639776,0.5843085904766265,0.5883933681257106,0.7130290300162434,0.8324483775811211,2016,RJ
3,0.15384615384615385,3,0.03939962476547843,0.5063142499015454,0.48875639966265993,0.7068935620259378,0.8426253687315632,2016,RJ
4,0.15126050420168066,4,0.0,0.7233761335743991,0.6695361149681821,0.6160302027409337,0.7134218289085545,2016,RJ
5,0.167420814479638,5,0.0,0.7056385970105075,0.6692722486774735,0.6006915327651692,0.6977876106194691,2016,RJ
6,0.21073044602456367,6,0.028142589118198853,0.7752400139401434,0.7235750368433155,0.43094358503337804,0.4929203539823006,2016,RJ
7,0.2850678733031674,7,0.03752345215759849,0.7734271587728216,0.709174198604639,0.5358308711533661,0.5768436578171088,2016,RJ
8,0.27504848093083384,8,0.06754221388367729,0.7804825262849677,0.7986145653970239,0.4516873101434591,0.48687315634218264,2016,RJ
9,0.33387201034259856,9,0.013133208255159456,0.7438217840856021,0.6556912043088249,0.5486861374187686,0.615929203539823,2016,RJ
10,0.4117647058823529,10,0.05253283302063789,0.7903769202449129,0.7303753019089473,0.5495626328459551,0.6178466076696165,2016,RJ
11,0.4993535875888817,11,0.011257035647279517,0.7043209670258321,0.6914614971096994,0.6018601933347516,0.7033923303834806,2016,RJ
12,0.6266968325791855,12,0.03752345215759849,0.6736717478170786,0.6509048340778737,0.5834537893638343,0.6528023598820059,2016,RJ
13,1.0,13,0.0,0.7523476251629131,0.7076935013709326,0.587251936214976,0.6851032448377579,2016,RJ
14,0.945054945054945,14,0.0,0.8019125791758235,0.6923686336748885,0.524582513171139,0.6209439528023597,2016,RJ
15,0.9195216548157724,15,0.0,0.7619168864042758,0.6820616792164379,0.5418202565724741,0.641150442477876,2016,RJ
16,0.7375565610859728,16,0.0,0.7037162576125753,0.6155687500532415,0.4302131721773892,0.4336283185840708,2016,RJ
17,0.7233354880413704,17,0.0,0.5102728989928411,0.5017381395321404,0.36170044628564213,0.415929203539823,2016,RJ
18,0.43374272786037493,18,0.0,0.5556116382547274,0.4778766454988249,0.5076369349121996,0.6156342182890857,2016,RJ
19,0.403038138332256,19,0.06941838649155722,0.5344226975701145,0.4774638168823312,0.5426967519996608,0.641150442477876,2016,RJ
20,0.24078862314156432,20,0.06191369606003753,0.5158926750088191,0.5327057901506954,0.5562824311210517,0.6678466076696163,2016,RJ
21,0.1612798965740142,21,0.0,0.46967757922905307,0.3919607817642735,0.4873314575157113,0.5879056047197639,2016,RJ
22,0.1771170006464124,22,0.030018761726078796,0.5219724347987988,0.5133561003819312,0.5787791470855064,0.6811209439528023,2016,RJ
23,0.1389786683904331,23,0.11444652908067543,0.2752067716733675,0.27117495269351555,0.4706780443991676,0.5817109144542774,2016,RJ
24,0.09179056237879767,24,0.0,0.26011655576518566,0.25826099549361514,0.3833206668229099,0.47610619469026516,2016,RJ
25,0.07433742727860375,25,0.0,0.2546226444960511,0.24246992755353036,0.6396955792749703,0.7715339233038347,2016,RJ
26,0.06658047834518423,26,0.0,0.37541181712047345,0.35968189246367677,0.6616079649546336,0.795575221238938,2016,RJ
27,0.06819650937297995,27,0.0,0.3857815312197148,0.4282684067502064,0.32035907863667745,0.38200589970501486,2016,RJ
28,0.05785391079508726,28,0.0,0.6592945541825315,0.5574287198970939,0.15265628690165411,0.21799410029498523,2016,RJ
29,0.04234001292824822,29,0.0,0.2488747517224552,0.28185775498556065,0.37148797855589155,0.5061946902654866,2016,RJ
30,0.040400775694893344,30,0.0,0.354017401132221,0.4088010801693517,0.4532942184266344,0.5890855457227135,2016,RJ
31,0.026179702650290886,31,0.0,0.48231481348869765,0.49437704103951996,0.25038552703295247,0.33569321533923313,2016,RJ
32,0.022301228183581125,32,0.0,0.2852573436388548,0.35524145289615816,0.5117272469057363,0.639970501474926,2016,RJ
33,0.01971557853910795,33,0.03939962476547843,0.45081277719163415,0.41172498799192925,0.5456184034236156,0.651622418879056,2016,RJ
34,0.012928248222365869,34,0.0,0.3950402006725915,0.32619240303605956,0.3619926114280376,0.4581120943952801,2016,RJ
35,0.01680672268907563,35,0.10131332082551596,0.4971406302232686,0.47701658588113005,0.5624178991113575,0.6827433628318584,2016,RJ
36,0.012928248222365869,36,0.0,0.4800776306178618,0.4432059221903243,0.5922187436356996,0.7436578171091444,2016,RJ
37,0.016160310277957335,37,0.0,0.6122527025359858,0.5809977936603937,0.3072116472288793,0.43008849557522133,2016,RJ
38,0.015513897866839044,38,0.016885553470919273,0.403881002427513,0.44244562948828225,0.5381681922925303,0.6710914454277284,2016,RJ
39,0.010019392372333548,39,0.0,0.31083404763433164,0.33449626300745183,0.5447419079964293,0.6808997050147492,2016,RJ
