Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.1793460666882486,1,0.0,0.480483713311254,0.5000038650142861,0.5615414036841713,0.6231563421828906,2016,RJ
2,0.1482680479119456,2,0.9554140127388532,0.4465751078443665,0.5679610629472404,0.7130290300162434,0.8324483775811213,2016,RJ
3,0.1524765296212366,3,0.0668789808917197,0.3427384431151017,0.4068854409316161,0.7068935620259378,0.8426253687315635,2016,RJ
4,0.1498866947232114,4,0.0,0.6317207189347642,0.6991384624739468,0.6160302027409337,0.7134218289085547,2016,RJ
5,0.1660731628358692,5,0.0,0.6081060999287238,0.6987118896108774,0.6006915327651692,0.6977876106194693,2016,RJ
6,0.2094528973777921,6,0.0477707006369426,0.700768964197025,0.7864991388208864,0.430943585033378,0.4929203539823007,2016,RJ
7,0.2839106506960181,7,0.0636942675159235,0.698355445051611,0.7632183825652259,0.5358308711533661,0.5768436578171089,2016,RJ
8,0.2738750404661703,8,0.1146496815286623,0.7077485090290567,0.9078099225992,0.4516873101434591,0.4868731563421827,2016,RJ
9,0.3327937843962447,9,0.0222929936305732,0.6589407472297633,0.6767564326851369,0.5486861374187686,0.6159292035398231,2016,RJ
10,0.4108125606992554,10,0.0891719745222929,0.7209212708056509,0.7974926178700206,0.5495626328459551,0.6178466076696166,2016,RJ
11,0.4985432178698608,11,0.019108280254777,0.6063518918419941,0.734583585111182,0.6018601933347516,0.7033923303834807,2016,RJ
12,0.6260925865976045,12,0.0636942675159235,0.5655474863463232,0.6690186665322712,0.5834537893638343,0.652802359882006,2016,RJ
13,1.0,13,0.0,0.6702915054380143,0.7608246502827698,0.587251936214976,0.685103244837758,2016,RJ
14,0.9449660084169634,14,0.0,0.7362791075410868,0.7360500848325692,0.524582513171139,0.6209439528023598,2016,RJ
15,0.919391388798964,15,0.0,0.6830314063577432,0.7193876037666455,0.5418202565724741,0.6411504424778761,2016,RJ
16,0.737131757850437,16,0.0,0.6055468204978425,0.6118934669034332,0.4302131721773892,0.4336283185840709,2016,RJ
17,0.7228876659112982,17,0.0,0.3480087347214264,0.42787204717402727,0.3617004462856421,0.4159292035398231,2016,RJ
18,0.4328261573324701,18,0.0,0.4083698254527736,0.38929695749670806,0.5076369349121996,0.6156342182890858,2016,RJ
19,0.4020718679184202,19,0.1178343949044585,0.380160228274137,0.3886295684019442,0.5426967519996608,0.6411504424778761,2016,RJ
20,0.2395597280673357,20,0.1050955414012738,0.355490544218398,0.4779351278025402,0.5562824311210517,0.6678466076696165,2016,RJ
21,0.1599223049530592,21,0.0,0.2939627286034327,0.25040321749713684,0.4873314575157113,0.587905604719764,2016,RJ
22,0.1757850437034639,22,0.0509554140127388,0.3635847466219544,0.4466539340509571,0.5787791470855064,0.6811209439528024,2016,RJ
23,0.1375849789575914,23,0.1942675159235668,0.0350567631846965,0.055137817030239386,0.4706780443991676,0.5817109144542775,2016,RJ
24,0.0903204920686306,24,0.0,0.0149666171767091,0.03426078995139469,0.3833206668229099,0.4761061946902652,2016,RJ
25,0.0728391065069601,25,0.0,0.0076523759343423,0.008732553494828998,0.6396955792749703,0.771533923303835,2016,RJ
26,0.0650696018128844,26,0.0,0.1684633364251684,0.19822035553064465,0.6616079649546336,0.7955752212389382,2016,RJ
