Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.1308900523560209,1,0.0,0.7282453868438145,0.6483025516470377,0.5116836428999397,0.4727272727272725,2016,VA
2,0.1675392670157068,2,0.349648070907195,0.6287260562930138,0.5454320431176126,1.0,1.0,2016,VA
3,0.2408376963350785,3,0.1265967153284671,0.4489448526010117,0.3588742774341983,0.991811300646797,0.9849724740858958,2016,VA
4,0.193717277486911,4,0.0,0.26765928414797696,0.2324866623925084,0.7663780927470145,0.7592745416013726,2016,VA
5,0.2670157068062827,5,0.0,0.31611761673802724,0.2650087822711578,0.7617690098947323,0.7678376873681163,2016,VA
6,0.2774869109947644,6,0.0,0.3645759493280775,0.2975309021498075,0.7571599270424509,0.7764008331348595,2016,VA
7,0.4554973821989529,7,0.0,0.41303428191812797,0.3300530220284569,0.7525508441901696,0.7849639789016027,2016,VA
8,0.5968586387434556,8,0.0,0.4614926145081782,0.3625751419071062,0.7479417613378884,0.7935271246683464,2016,VA
9,0.7277486910994765,9,0.0,0.5099509470982285,0.3950972617857559,0.7433326784856066,0.8020902704350896,2016,VA
10,0.743455497382199,10,0.0,0.5584092796882784,0.4276193816644053,0.7387235956333252,0.8106534162018333,2016,VA
11,1.0,11,0.0,0.6610225689109773,0.5321279763392882,0.7782796643978886,0.7755672431761673,2016,VA
12,0.8534031413612566,12,0.098464111922141,0.664730656927292,0.5922928610573958,0.8190533253445174,0.7929499072356219,2016,VA
13,0.6649214659685865,13,0.0,0.714838800242147,0.5274398483983705,0.8080687038146595,0.7589981447124305,2016,VA
14,0.4502617801047121,14,0.0,0.7315215306926898,0.5104938591892222,0.8044737367685237,0.7573283858998145,2016,VA
15,0.3036649214659686,15,0.0,0.7093536689468146,0.4700316507896435,0.6620730976632713,0.6246753246753246,2016,VA
16,0.1675392670157068,16,0.0,0.7265176795712854,0.5071111665255922,0.5700019972039142,0.5263450834879405,2016,VA
17,0.1361256544502617,17,0.0221041883906847,0.42917902309481787,0.2995227987135233,0.6998202516476929,0.6834879406307975,2016,VA
18,0.0994764397905759,18,0.0,0.35192915238938277,0.4274633909480442,0.8002796085480326,0.7771799628942486,2016,VA
19,0.0680628272251308,19,0.0,0.4326410597477862,0.3212311204627348,0.7767126023567004,0.7705009276437846,2016,VA
20,0.0366492146596858,20,0.0,0.4052768231917233,0.4060431556619442,0.7755142800079886,0.7790352504638216,2016,VA
21,0.0104712041884816,21,0.0,0.13696120000852266,0.1445647180937538,0.8534052326742558,0.8424860853432281,2016,VA
