Semana epidemiológica dos sintomas,Casos notificados,Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),Ano,Regiao
1,0.1073044602456367,1,0.0,0.7357340297039631,0.6322202480871514,0.4081547039265281,0.4707964601769912,2016,CG
2,0.0775694893341952,2,0.0300187617260787,0.7595563979051598,0.7069682619095251,0.5175705497536467,0.6095870206489676,2016,CG
3,0.0820943762120232,3,0.2007504690431519,0.5755656022189654,0.5257647650120537,0.6388190838477836,0.7607669616519175,2016,CG
4,0.0614091790562378,4,0.0037523452157598,0.8503909546862427,0.753884144871776,0.484701971234152,0.5684365781710915,2016,CG
5,0.055268261150614,5,0.0,0.8255374364574333,0.6644344369374219,0.4179422361967777,0.4799410029498526,2016,CG
6,0.0523594053005817,6,0.0,0.7845514616891494,0.7206978507355882,0.4198413096223483,0.4898230088495575,2016,CG
7,0.0549450549450549,7,0.0281425891181988,0.7706162148055149,0.822296808048454,0.4331348236013441,0.5075221238938054,2016,CG
8,0.0481577246283128,8,0.0,0.8168923983252734,0.7273138880133571,0.3859501531044691,0.4536873156342183,2016,CG
9,0.0378151260504201,9,0.0075046904315196,0.6887576563372751,0.6677606078934138,0.4763752646758796,0.5563421828908554,2016,CG
10,0.0407239819004524,10,0.0,0.7643781598056016,0.6624385589791201,0.4179422361967777,0.4936578171091447,2016,CG
11,0.0329670329670329,11,0.0,0.7129949971925084,0.7519443900195076,0.5175705497536467,0.5899705014749262,2016,CG
12,0.0294117647058823,12,0.0,0.7538379211626074,0.7740828054725132,0.4237855390446878,0.4811209439528024,2016,CG
13,0.0332902391725921,13,0.0,0.8844968853848536,0.6628916981010747,0.4246620344718745,0.4961651917404129,2016,CG
14,0.0294117647058823,14,0.0,0.7534369701107184,0.7586911891233415,0.430943585033378,0.4924778761061946,2016,CG
15,0.0277957336780866,15,0.0,0.7320826264526233,0.811277036178858,0.4319661630317621,0.4949852507374633,2016,CG
16,0.0197155785391079,16,0.0,0.7239262827398428,0.7450868480010898,0.3881413916724356,0.4623893805309736,2016,CG
17,0.0138978668390433,17,0.0863039399624765,0.4628318541822816,0.5053199192428587,0.4585531909897538,0.5432153392330384,2016,CG
18,0.020038784744667,18,0.0,0.5403567583003966,0.4610184940667355,0.4554854569946009,0.5182890855457228,2016,CG
19,0.0151906916612798,19,0.0,0.5161246922383528,0.4851348933886475,0.4928825952212261,0.5734513274336283,2016,CG
