Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2,0.0,26.5,24.5,87.5,78.0
4,0.0,26.0,25.0,90.0,86.0
6,0.0,28.0,27.0,69.0,63.0
7,0.0,24.0,23.0,90.0,87.0
8,0.0,33.0,31.0,57.0,48.0
9,0.0,33.0,31.0,63.0,52.0
10,0.0,31.0,29.0,65.0,57.0
14,0.0,30.0,29.0,58.0,54.0
15,0.0,36.0,32.5,42.0,28.0
16,0.0,30.0,28.0,69.0,62.0
17,0.0,23.0,22.0,85.0,82.0
18,0.0,26.0,25.0,56.0,51.0
20,0.0,29.0,26.0,74.0,59.0
21,0.0,20.0,19.0,79.0,74.0
22,0.0,28.5,26.0,63.0,50.5
24,0.0,15.0,14.0,90.0,88.0
25,0.0,22.0,21.0,80.0,76.0
26,0.0,24.0,23.0,67.0,62.0
27,0.0,24.0,23.0,47.0,41.0
28,0.0,27.333333333333332,26.0,56.666666666666664,52.0
29,0.0,27.0,25.0,58.0,49.0
30,0.0,23.0,22.0,58.0,54.0
31,0.0,19.0,18.0,92.0,91.0
33,0.0,25.0,22.0,82.0,69.0
34,0.0,26.0,24.0,49.0,41.0
36,0.0,23.0,21.5,82.0,74.5
37,0.0,25.2,23.8,72.0,65.8
39,0.0,25.666666666666668,24.0,64.66666666666667,55.333333333333336
40,0.0,27.0,25.0,65.0,60.0
41,0.0,23.0,22.0,70.0,64.0
43,0.0,24.5,23.5,68.5,63.5
44,0.0,22.5,21.0,83.5,77.5
45,0.0,27.0,26.0,76.0,73.0
46,0.0,26.5,25.5,61.0,55.0
48,0.0,26.0,25.0,83.0,77.0
50,0.0,33.0,30.0,69.0,54.0
51,0.0,30.0,28.0,71.0,59.0
52,0.0,27.0,26.0,77.0,71.0
