Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2,0.0,23.0,21.0,93.0,84.0
3,0.0,23.0,22.0,92.0,89.0
4,0.0,28.5,25.0,73.5,59.0
5,0.0,25.666666666666668,23.666666666666668,80.0,75.33333333333333
6,0.0,27.0,26.0,85.0,81.0
7,0.0,26.0,24.0,82.0,69.0
10,0.0,27.0,25.5,84.5,80.0
13,0.0,25.0,24.0,77.0,73.0
14,0.0,26.75,25.5,72.5,65.75
15,0.0,26.0,24.666666666666668,76.33333333333333,71.0
20,0.0,25.75,24.0,76.0,68.5
21,0.0,22.0,21.0,68.0,62.0
22,0.0,26.0,25.0,75.0,70.0
23,0.0,23.0,22.0,65.0,57.0
24,0.0,22.333333333333332,21.333333333333332,71.66666666666667,67.0
25,0.0,26.0,24.0,74.0,63.0
26,0.0,21.0,19.0,62.0,54.0
27,0.0,24.0,23.0,70.0,63.0
28,0.0,28.0,27.0,41.0,36.0
29,0.0,22.5,21.5,76.5,73.0
30,0.0,20.0,19.0,65.0,61.0
32,0.0,25.0,23.5,68.0,58.0
33,0.0,24.0,22.0,76.0,64.0
34,0.0,25.5,23.5,75.5,65.5
35,0.0,22.0,20.5,88.5,83.5
36,0.0,24.0,23.0,85.0,82.0
37,0.0,25.0,23.5,82.0,77.5
39,0.0,23.0,22.0,86.0,80.0
46,0.0,28.0,23.0,71.0,51.0
47,0.0,23.0,22.0,88.0,85.0
49,0.0,24.0,23.0,90.0,86.0
51,0.0,26.0,25.0,73.0,69.0
53,,24.0,23.0,94.0,93.0
