Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2,0.0,25.0,24.0,82.0,78.0
3,0.0,26.5,25.0,82.0,75.5
4,0.0,35.0,34.0,38.0,33.0
5,0.0,28.5,27.0,72.5,66.5
8,0.0,23.0,22.0,93.0,90.0
9,0.0,25.5,24.0,79.0,74.5
10,0.0,23.0,22.0,80.0,76.0
12,0.0,23.0,21.5,79.5,71.0
13,0.0,22.5,21.5,89.5,83.5
14,0.0,24.0,23.0,80.5,74.5
17,0.0,29.0,27.0,64.0,55.0
18,0.0,20.0,19.0,95.0,93.0
19,0.0,25.0,23.0,63.0,51.0
20,0.0,20.0,19.0,53.0,48.0
21,0.0,19.5,18.0,75.0,70.5
22,0.0,29.0,28.0,56.0,52.0
23,0.0,20.0,19.0,78.0,72.0
24,0.0,14.0,14.0,94.0,93.0
25,0.0,28.0,26.0,56.0,46.0
27,0.0,14.0,13.0,94.0,91.0
28,0.0,19.5,18.5,83.0,79.0
29,0.0,26.0,25.0,50.0,46.0
30,0.0,16.0,15.0,95.0,93.0
31,0.0,19.0,17.0,82.33333333333333,77.0
32,0.0,20.5,18.5,69.0,60.5
33,0.0,16.0,15.0,84.0,79.0
34,0.0,17.666666666666668,16.333333333333332,82.33333333333333,77.66666666666667
36,0.0,26.0,25.0,35.0,31.0
38,0.0,23.0,21.0,76.0,68.0
42,0.0,25.0,23.0,76.0,66.0
44,0.0,20.333333333333332,19.0,83.33333333333333,78.66666666666667
45,0.0,23.5,22.0,85.0,80.0
46,0.0,21.666666666666668,20.0,87.33333333333333,79.33333333333333
47,0.0,22.0,21.0,85.0,79.0
48,0.0,30.0,29.0,58.0,51.0
51,0.0,25.0,24.0,76.5,72.0
