Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,25.0,22.5,75.0,63.0
2,0.0,30.0,28.0,66.0,54.0
3,0.0,26.0,25.0,76.0,73.0
4,0.0,28.0,27.0,75.0,71.0
5,0.0,28.0,26.0,71.0,65.0
7,0.0,29.0,26.5,69.5,62.5
10,0.0,29.5,27.5,71.0,65.0
12,0.0,28.0,27.0,72.0,68.0
14,0.0,29.0,28.0,60.0,54.0
18,0.0,27.0,26.0,70.0,63.0
22,0.0,22.0,20.0,74.0,68.0
23,0.0,22.5,20.5,68.0,62.0
26,0.0,25.0,23.0,70.0,61.0
27,0.0,30.0,28.0,27.0,21.0
35,0.0,22.0,21.0,72.0,69.0
36,0.0,26.0,25.0,67.0,65.0
37,0.0,23.0,22.0,92.0,83.0
38,0.0,26.5,25.0,78.0,68.0
51,0.0,27.5,25.5,83.5,77.5
52,0.0,26.0,25.0,95.0,76.0
