Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,22.0,21.0,87.0,80.0
2,0.0,32.0,30.0,66.0,59.0
3,0.0,28.75,27.25,73.5,67.0
6,,24.0,22.5,82.5,81.0
8,0.0,24.0,23.0,81.0,79.0
9,0.0,25.333333333333332,24.0,86.33333333333333,84.0
11,0.0,30.0,29.0,68.0,60.0
12,0.0,21.0,20.0,80.0,78.0
13,0.0,24.0,23.0,68.0,67.0
16,,24.0,23.0,93.0,88.0
18,0.0,22.0,20.5,88.0,81.5
21,0.0,24.0,23.0,68.0,59.0
22,,25.0,23.0,66.0,58.0
23,,21.5,19.0,75.5,64.5
25,,18.5,17.0,79.5,72.0
26,0.0,18.333333333333332,17.0,87.0,82.66666666666667
27,0.0,13.0,12.0,88.0,83.0
30,0.0,19.0,18.0,91.0,86.0
31,0.0,20.0,18.0,77.0,71.0
32,0.0,16.0,15.0,96.0,95.0
35,0.0,20.0,19.0,82.0,80.5
36,0.0,16.0,15.0,96.0,95.0
38,0.0,27.0,25.0,64.0,57.0
39,0.0,26.0,25.0,73.5,70.5
41,0.0,25.0,24.0,75.5,71.5
42,0.0,21.5,20.5,88.0,81.0
43,0.0,23.0,21.5,87.5,79.0
44,0.0,30.0,28.5,67.5,58.5
45,0.0,21.0,20.0,89.0,85.0
46,0.0,25.0,23.0,93.0,86.0
47,0.0,30.0,28.0,55.5,44.0
48,0.0,26.5,24.5,83.5,76.0
50,0.0,23.0,21.0,84.0,75.0
51,0.0,22.0,21.0,91.0,89.0
52,0.0,24.5,23.0,84.5,79.0
