Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.04395604395604396,29.692307692307693,24.466666666666665,74.00520833333333,68.20833333333333
2,0.0,28.0,25.58823529411765,72.43452380952381,67.30952380952381
3,0.0,30.27777777777778,28.833333333333332,70.55952380952381,65.21428571428571
4,0.0,28.647058823529413,26.88888888888889,69.7202380952381,64.55357142857143
5,0.0,26.583333333333332,27.0,70.19642857142857,64.88095238095238
6,0.0,26.8125,25.263157894736842,75.77380952380952,70.82738095238095
7,0.0,26.294117647058822,27.529411764705884,72.24404761904762,66.92261904761905
8,0.006578947368421052,28.733333333333334,27.36842105263158,76.41071428571429,70.49404761904762
9,0.0,26.894736842105264,28.416666666666668,76.04166666666667,69.97619047619048
10,0.0,27.954545454545453,27.16,77.63690476190476,72.54166666666667
11,0.0,26.533333333333335,28.823529411764707,78.49404761904762,72.83333333333333
12,0.02631578947368421,24.333333333333332,23.875,80.97619047619048,75.75595238095238
13,0.0,24.916666666666668,25.6,77.5,70.8452380952381
14,0.0,29.384615384615383,26.1875,77.64285714285714,72.25595238095238
15,0.0,26.071428571428573,24.9375,78.9047619047619,73.6547619047619
16,0.0,26.72222222222222,26.076923076923077,79.20238095238095,74.0297619047619
17,0.006097560975609756,26.0,26.375,78.16666666666667,72.82738095238095
18,0.0,25.941176470588236,23.944444444444443,79.36904761904762,74.57738095238095
19,0.018867924528301886,23.5,25.75,78.33333333333333,73.04166666666667
20,0.21481481481481482,23.789473684210527,22.823529411764707,84.82738095238095,81.0297619047619
21,0.0,24.4,22.846153846153847,80.05952380952381,75.23214285714286
22,0.0,25.647058823529413,23.91304347826087,79.36904761904762,74.29166666666667
23,0.006329113924050633,22.25,20.142857142857142,80.00595238095238,74.53571428571429
24,0.006289308176100629,24.944444444444443,22.285714285714285,82.34939759036145,77.66265060240964
25,0.0,22.8125,22.357142857142858,80.375,75.50595238095238
26,0.0,24.5,22.705882352941178,78.51190476190476,73.3452380952381
27,0.0,24.125,19.95,72.63690476190476,66.54761904761905
28,0.0,21.444444444444443,17.761904761904763,73.19642857142857,66.70833333333333
29,0.0,18.5,19.3125,79.04761904761905,73.72619047619048
30,0.0,23.6,21.8,80.92857142857143,75.76785714285714
31,0.006211180124223602,21.083333333333332,20.22222222222222,80.94047619047619,76.29761904761905
32,0.013245033112582781,21.571428571428573,22.375,81.51785714285714,76.94047619047619
33,0.0,19.894736842105264,20.0,73.80952380952381,67.67857142857143
34,0.03225806451612903,20.68421052631579,19.4,82.16666666666667,78.125
35,0.006172839506172839,19.714285714285715,19.944444444444443,76.22619047619048,71.125
36,0.0,23.571428571428573,22.857142857142858,79.33928571428571,75.11904761904762
37,0.0,25.0,22.82608695652174,75.91666666666667,71.42857142857143
38,0.006097560975609756,24.84,24.5625,76.0952380952381,71.51785714285714
39,0.032,20.1875,19.9,81.67857142857143,77.80952380952381
40,0.00641025641025641,22.80952380952381,21.105263157894736,76.69047619047619,71.75595238095238
41,0.025157232704402517,24.714285714285715,23.933333333333334,78.25595238095238,74.04166666666667
42,0.0,25.75,24.285714285714285,76.21428571428571,71.375
43,0.0,24.3125,24.19047619047619,79.67857142857143,75.85714285714286
44,0.0,28.666666666666668,26.153846153846153,73.41666666666667,68.68452380952381
45,0.17721518987341772,28.846153846153847,25.5625,75.43452380952381,70.61309523809524
46,0.1391304347826087,23.75,22.785714285714285,83.18452380952381,79.85714285714286
47,0.07766990291262135,23.0,24.0,85.55357142857143,82.625
48,0.045454545454545456,23.625,22.916666666666668,75.67857142857143,70.875
49,0.027777777777777776,25.285714285714285,23.444444444444443,80.56547619047619,76.4047619047619
50,0.08666666666666667,25.666666666666668,24.53846153846154,81.42857142857143,77.38690476190476
51,0.0,27.583333333333332,27.3125,77.04166666666667,72.26190476190476
52,0.06289308176100629,26.615384615384617,25.5,80.60714285714286,76.05952380952381
