Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.15447154471544716,25.0,23.523809523809526,63.20634920634921,54.20634920634921
2,0.0,26.5,24.41176470588235,82.02105263157895,75.7578947368421
3,0.0,26.416666666666668,24.571428571428573,77.40163934426229,70.68852459016394
4,0.012269938650306749,26.38888888888889,25.647058823529413,75.88805970149254,68.64925373134328
5,0.13043478260869565,28.235294117647058,26.357142857142858,71.6,64.56129032258065
6,0.046357615894039736,26.333333333333332,24.923076923076923,76.98969072164948,69.5360824742268
7,0.0,28.25,25.82608695652174,70.12931034482759,61.12068965517241
8,0.08433734939759036,27.0,27.11111111111111,75.3923076923077,68.58461538461539
9,0.054878048780487805,27.4,26.428571428571427,74.27659574468085,67.55319148936171
10,0.0,28.130434782608695,26.428571428571427,70.65432098765432,64.57407407407408
11,0.0,24.846153846153847,25.266666666666666,75.0721649484536,67.18556701030928
12,0.0,27.294117647058822,25.82608695652174,75.73873873873873,68.36036036036036
13,0.006535947712418301,25.68421052631579,24.952380952380953,76.06923076923077,68.61538461538461
14,0.02097902097902098,24.705882352941178,24.4,73.70270270270271,68.27027027027027
15,0.018518518518518517,24.833333333333332,23.916666666666668,74.5945945945946,67.49549549549549
16,0.0,25.11764705882353,24.0,68.58156028368795,61.340425531914896
17,0.006493506493506494,24.071428571428573,22.941176470588236,74.23076923076923,68.45454545454545
18,0.0,23.842105263157894,23.875,76.84883720930233,68.90697674418605
19,0.041379310344827586,22.3125,22.5625,76.69791666666667,68.94791666666667
20,0.012269938650306749,22.3125,21.52173913043478,66.31547619047619,60.26190476190476
21,0.0,24.076923076923077,22.842105263157894,70.11585365853658,65.03048780487805
22,0.03355704697986577,21.842105263157894,21.5625,73.46341463414635,68.66666666666667
23,0.0,23.214285714285715,21.6,64.07142857142857,58.49404761904762
24,0.0,22.666666666666668,21.77777777777778,70.08219178082192,64.28767123287672
25,0.0,22.0,21.25,63.57142857142857,56.57738095238095
26,0.03636363636363636,22.928571428571427,22.0,68.44578313253012,62.37951807228916
27,0.0,23.071428571428573,21.833333333333332,58.54216867469879,50.6144578313253
28,0.006060606060606061,21.416666666666668,22.375,66.0297619047619,60.160714285714285
29,0.031055900621118012,20.5,19.88235294117647,72.61904761904762,68.61904761904762
30,0.012578616352201259,21.933333333333334,21.076923076923077,73.06547619047619,67.82142857142857
31,0.0,22.363636363636363,20.714285714285715,72.125,68.19047619047619
32,0.006329113924050633,22.764705882352942,23.5,68.78571428571429,62.86904761904762
33,0.13793103448275862,22.5,21.0,72.38095238095238,68.63095238095238
34,0.08461538461538462,24.466666666666665,23.058823529411764,65.61309523809524,59.857142857142854
35,0.09395973154362416,21.176470588235293,19.933333333333334,76.39285714285714,73.66666666666667
36,0.0,24.6,22.88235294117647,71.98809523809524,66.48214285714286
37,0.012658227848101266,25.166666666666668,23.545454545454547,71.76047904191617,66.03592814371258
38,0.0,25.142857142857142,24.0,81.21978021978022,73.98901098901099
39,0.0,24.238095238095237,24.2,,
40,0.07236842105263158,23.181818181818183,23.61111111111111,,
41,0.06870229007633588,23.25,22.928571428571427,,
42,0.0,22.444444444444443,22.0,,
43,0.012269938650306749,25.5,23.11764705882353,,
44,0.006369426751592357,24.333333333333332,24.23076923076923,,
45,0.0,26.08,24.72222222222222,,
46,0.024691358024691357,27.533333333333335,26.25,,
47,0.006666666666666667,25.444444444444443,23.761904761904763,,
48,0.0,25.772727272727273,25.25,,
49,0.0,26.25,25.916666666666668,,
50,0.006097560975609756,25.363636363636363,24.19047619047619,84.01612903225806,77.93548387096774
51,0.0,26.058823529411764,24.40909090909091,91.77639751552795,86.66459627329192
52,0.0,25.8,24.615384615384617,83.17127071823204,76.34254143646409
