Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.0,0.8184384735202492,0.7614035087719297,0.6475068746439276,0.6017483433172266
2,0.0,0.8809060228452752,0.8333333333333334,0.5322568371084747,0.49093226504779214
3,0.16865050387030814,0.9366462976276062,0.8518518518518519,0.5349881840450673,0.5059179372221358
4,0.0,0.7605140186915889,0.674074074074074,0.6928941788168415,0.6470206524478861
5,0.0,0.8685747663551401,0.7681917211328977,0.5220142860962513,0.4823266315219313
6,1.0,0.5594820872274143,0.4962962962962963,0.8461910256331154,0.8017736829215534
7,0.10216208803766509,0.6845794392523363,0.635978835978836,0.8714559847965992,0.8284808214500868
8,0.0,0.7546728971962617,0.6839506172839507,0.8340706736019845,0.7577069043494736
9,0.5433794066003331,0.6821456386292835,0.583625730994152,0.9242051225095486,0.8802629955970761
10,0.011083423215680436,0.8422897196261683,0.6601307189542486,0.7569101226432365,0.69034556606084
11,0.054486446953421364,0.6889602803738317,0.6266666666666666,0.9003058368143612,0.8347124871067446
12,0.14989221556886229,0.6299874191229332,0.6115226337448558,0.8924532143716569,0.8437632396080805
13,0.042486455660108335,0.5969626168224299,0.6019323671497585,0.7242699134245438,0.6806897715988274
14,0.016421145439182962,0.7389940973930151,0.6210526315789473,0.7021124747278423,0.6651221574505587
15,0.579157474524635,0.570677570093458,0.5461988304093565,0.9269364694461415,0.8952486677714195
16,0.005507503511495492,0.6719236760124611,0.5437037037037038,0.7043316941138242,0.6701668391726149
17,0.005374792583507621,0.6805968564146134,0.6148148148148148,0.7717618216109601,0.7410891292650532
18,0.0,0.5471305490654206,0.5621399176954732,0.8441425154306709,0.81112118140654
19,0.005793607590014693,0.5644928532160529,0.5037037037037037,0.8335585460513735,0.7910908275101404
20,0.24476710296221713,0.42757009345794406,0.451146384479718,0.9753412117696743,0.9418973140934637
21,0.0,0.4708917445482865,0.39869281045751626,0.7562272859090885,0.7212071483604784
22,0.0,0.4822988622511172,0.4557504873294346,0.8084642960714267,0.7674995218099357
23,0.005988023952095759,0.4180782710280371,0.23555555555555563,0.8593356327654684,0.8158691171449461
24,0.0,0.49182242990654196,0.3947089947089947,0.7838821736420909,0.7461338109871094
25,0.0,0.5220015576323987,0.405128205128205,0.7864428113951465,0.7492496438154383
26,0.0,0.4678430890309887,0.4398589065255732,0.7108186430882321,0.6501364852762149
27,0.043371590153027266,0.45815912444663076,0.4222222222222222,0.6817980818869331,0.6342605751509203
28,0.0,0.33936915887850466,0.20987654320987661,0.6520946839514856,0.606811571663261
29,0.0,0.23163856156034135,0.28042328042328046,0.4994806738693602,0.44909108135309006
30,0.0,0.4014675817757009,0.3613168724279835,0.6394622043697438,0.5821816550202807
31,0.14870259481037917,0.33276419841840404,0.3023569023569023,0.790198413432962,0.7548878175047951
32,0.0,0.3843457943925232,0.4318840579710146,0.8264011755561653,0.7892860723913939
33,0.02624163437830217,0.1962616822429905,0.2770370370370371,0.7114673379856727,0.6678299645513682
34,0.09746892769083682,0.18378012788981776,0.2209150326797385,0.9694430561468679,0.9453987390083322
35,0.016124377750523042,0.4061526479750779,0.2969696969696972,0.7183298471638623,0.676843623804748
36,0.10073401583928915,0.286214953271028,0.2823045267489712,0.9832705000133694,0.9676546877821097
37,0.0,0.5315420560747663,0.4855218855218854,0.7927590511860177,0.7396053993468014
38,0.018333196620457667,0.48452102803738323,0.5022222222222223,0.8835763368277301,0.8566716898968718
39,0.06423952095808383,0.24848661852166512,0.24880174291939003,0.941446750046791,0.9157241406432953
40,0.0,0.4968949827840629,0.5067538126361656,0.7591293420292181,0.7358960745511716
41,0.028550898203592814,0.5519859813084111,0.4666666666666667,0.9223273214906413,0.8982161276079232
42,0.029740518962075815,0.592873831775701,0.5518518518518518,0.7978803266921294,0.7493980168072635
43,0.005869839268830713,0.45726246105918994,0.490652557319224,0.8866491021313968,0.8591940307578998
44,0.04896304951073462,0.7059968847352025,0.6503703703703705,0.7251285703956285,0.6705399928047502
45,0.13676297040954585,0.5439942650807139,0.5450980392156863,0.9260829235284557,0.8976226356406226
46,0.013316650281526447,0.5141647196261682,0.4871794871794872,0.8299736531970954,0.7805563450905522
47,0.012930660418293842,0.5356308411214953,0.4415954415954418,0.9291556888321235,0.8851593043273072
48,0.11817424753142719,0.43556320708312835,0.4285714285714286,0.8180240103495016,0.7867880107472099
49,0.15071208933484379,0.464077102803738,0.4243386243386243,0.8687246378600062,0.8259584805890585
50,0.023479357075323025,0.5911214953271028,0.5555555555555556,0.8914289592704344,0.8523688731339414
51,0.04855594932583804,0.745911214953271,0.6512820512820514,0.756056576725551,0.7121563958591421
52,0.056469339801409814,0.6294323804288071,0.5905723905723905,0.8226331583050022,0.7882717406654618
