Semana,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
1,0.038512902253047786,0.6705607476635513,0.5962962962962963,0.7174763012461772,0.7019186594232042
2,0.0,0.6753309968847352,0.6433470507544581,0.6266590156044648,0.6289191474452138
3,0.011662948612578763,0.7015874106652007,0.6804232804232805,0.601735474808055,0.6014701439575546
4,0.0,0.700459988317757,0.6603988603988604,0.6570452502740604,0.6427178356849557
5,0.0,0.6712063453025088,0.7587301587301586,0.4373425310618731,0.43781473397437615
6,0.011222837344179512,0.6276285046728972,0.6938271604938269,0.6114658982696672,0.5910840345297915
7,0.011015007022990984,0.8231235397196262,0.6905349794238683,0.48548252081932214,0.48900341615406484
8,0.0,0.8422897196261683,0.7407407407407407,0.45936401573815283,0.45932881778902795
9,0.0,0.7865335598980459,0.7357037037037036,0.4091755157782592,0.416003904176074
10,0.0,0.7917811984606926,0.7185185185185186,0.42300295964476065,0.4231258077836827
11,0.011587215180029472,0.785338785046729,0.6905349794238683,0.6247812145855572,0.5855942338322598
12,0.0,0.8035538612887358,0.674074074074074,0.5348174748615303,0.5271352750531371
13,0.0,0.719626168224299,0.6496732026143792,0.4364889851441876,0.43469890114604726
14,0.06069493665729762,0.7149083393242271,0.5259259259259259,0.6217084492818906,0.6188297840011011
15,0.07732534930139714,0.5686556434219987,0.6043572984749456,0.6437299339581704,0.6266935525678359
16,0.03927993070462847,0.6122955607476636,0.5932659932659935,0.5793725717647012,0.5734276485025946
17,0.06211627378155077,0.5739632009345794,0.5008547008547011,0.7123550257400656,0.7063698491779599
18,0.0,0.5356308411214953,0.4740740740740741,0.6927234696333044,0.681591559543154
19,0.005611418672089756,0.5495698810535259,0.3808966861598441,0.681285954336322,0.6775854887638743
20,0.0,0.37030170662332407,0.27506172839506166,0.5022120208059532,0.48084290160367943
21,0.01760951780649223,0.506768829026938,0.48262108262108266,0.7345472195998823,0.711414530900016
22,0.011293867960281909,0.356016355140187,0.3333333333333333,0.6959669441205085,0.6823334245022801
23,0.0,0.3834371754932503,0.32592592592592595,0.5483035003609577,0.5203101174291787
24,0.0,0.49233782297965906,0.5012345679012343,0.661825107413098,0.6571100158919988
25,0.0,0.25727893601725366,0.29533011272141735,0.47199649531989474,0.462593023609182
26,0.0,0.41296728971962615,0.3303703703703703,0.6788960257668031,0.6677928713034118
27,0.0,0.2749707943925233,0.22807017543859645,0.5216728677291773,0.4967188117289744
28,0.0,0.4456775700934578,0.3738271604938272,0.47387429633880235,0.47787544176717606
29,0.018717809136970742,0.3771904205607477,0.3975308641975306,0.7758588420158496,0.7735828144747683
30,0.005719330569629961,0.4283002336448598,0.38713450292397644,0.7185005563473997,0.7149754827038207
31,0.0,0.49883177570093445,0.41333333333333344,0.6440713523252444,0.635002440110046
32,0.0,0.560163551401869,0.3925925925925926,0.5855181023720349,0.5766918543227487
33,0.0,0.5075204439252337,0.43139329805996474,0.6234155411172607,0.6315898612980668
34,0.050265665851395726,0.47696566436407967,0.417283950617284,0.6468026992618374,0.6452401765459839
35,0.12259450564519811,0.36390186915887845,0.3145679012345679,0.7577636685609216,0.7723958305401671
36,0.0,0.5662967289719626,0.44400871459694985,0.5908100870616837,0.5922710184643931
37,0.0,0.5677570093457946,0.490652557319224,0.5633259085122182,0.5706085616579161
38,0.0,0.5739632009345794,0.5890499194847021,0.5262820156846776,0.5381148764482007
39,0.0,0.46509929906542063,0.5292181069958851,0.5943949799159618,0.6102241504752406
40,0.060958827686242396,0.6582943925233645,0.5259259259259259,0.6944347251072978,0.7074048412672772
41,0.0,0.5925817757009345,0.5654320987654322,0.6983384728977896,0.7036760353383552
42,0.0055763473053892215,0.5969626168224299,0.4474945533769063,0.6862365206588967,0.6824817974941052
43,0.02427797466291897,0.539238592633315,0.539753086419753,0.694259852285138,0.7062214761861346
44,0.028596652848149808,0.7007548526240116,0.6647173489278749,0.5723734952396821,0.5752081244044969
45,0.0,0.7530798640611726,0.6148148148148148,0.2792658271065615,0.2861775363290376
46,0.0,0.8393691588785049,0.773879142300195,0.47199649531989474,0.47639171184892415
47,0.0,0.6158339324227174,0.7491358024691357,0.47745918919308045,0.4832168694728825
48,0.021629468336055124,0.661214953271028,0.6079772079772079,0.572202786056145,0.5667508638704615
49,0.028057093360448874,0.710539979231568,0.6622222222222223,0.5238920871151589,0.5375213844809
50,0.0,0.5875269590222861,0.674074074074074,0.49384727081263746,0.4944932168515965
51,0.016729041916167663,0.8192903037383178,0.7124183006535948,0.5011877657047308,0.4841071074238338
52,0.0,0.6855529595015575,0.7111111111111111,0.5475455515860529,0.5260907291906878
