Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2019/01/01,0000 UTC,0,"19,4","18,6",92.0,87.0
2019/01/01,0100 UTC,"0,2",19,"18,5",93.0,91.0
2019/01/01,0200 UTC,"0,2",19,"18,8",92.0,91.0
2019/01/01,0300 UTC,0,19,"18,6",91.0,87.0
2019/01/01,0400 UTC,0,"18,7","18,4",93.0,89.0
2019/01/01,0500 UTC,0,"18,6","18,4",93.0,91.0
2019/01/01,0600 UTC,0,"18,7","18,3",92.0,88.0
2019/01/01,0700 UTC,0,"18,7","18,5",91.0,89.0
2019/01/01,0800 UTC,0,"18,6","18,2",93.0,90.0
2019/01/01,0900 UTC,0,"18,7","18,3",91.0,87.0
2019/01/01,1000 UTC,"0,4","18,9","18,5",91.0,88.0
2019/01/01,1100 UTC,0,"20,2","18,9",89.0,84.0
2019/01/01,1200 UTC,0,"21,4","20,1",88.0,77.0
2019/01/01,1300 UTC,0,"24,4","21,3",80.0,63.0
2019/01/01,1400 UTC,0,"25,7","23,6",70.0,55.0
2019/01/01,1500 UTC,0,"26,8","24,8",63.0,50.0
2019/01/01,1600 UTC,0,27,"23,5",73.0,49.0
2019/01/01,1700 UTC,0,"27,4","24,6",67.0,49.0
2019/01/01,1800 UTC,0,"26,6","25,2",61.0,50.0
2019/01/01,1900 UTC,0,"25,5","22,3",75.0,51.0
2019/01/01,2000 UTC,0,"23,8","20,5",85.0,68.0
2019/01/01,2100 UTC,"0,2","21,9","21,2",84.0,75.0
2019/01/01,2200 UTC,0,"21,9",21,82.0,75.0
2019/01/01,2300 UTC,0,"21,4","20,5",83.0,74.0
2019/01/02,0000 UTC,0,"21,5","20,3",80.0,74.0
2019/01/02,0100 UTC,0,"21,2","20,4",80.0,76.0
2019/01/02,0200 UTC,0,"20,6","19,4",86.0,79.0
2019/01/02,0300 UTC,0,"20,2",19,85.0,80.0
2019/01/02,0400 UTC,0,"19,6","18,4",86.0,80.0
2019/01/02,0500 UTC,0,"20,4","18,6",85.0,75.0
2019/01/02,0600 UTC,0,"20,3","18,8",85.0,75.0
2019/01/02,0700 UTC,0,"20,5","18,6",86.0,73.0
2019/01/02,0800 UTC,0,"20,2","17,8",86.0,72.0
2019/01/02,0900 UTC,0,"20,4","18,7",78.0,71.0
2019/01/02,1000 UTC,0,"21,4","18,7",77.0,68.0
2019/01/02,1100 UTC,0,23,"21,4",68.0,64.0
2019/01/02,1200 UTC,0,"24,5","22,9",67.0,63.0
2019/01/02,1300 UTC,0,"26,3","24,3",65.0,55.0
2019/01/02,1400 UTC,0,"27,9",26,56.0,45.0
2019/01/02,1500 UTC,0,"28,7","27,2",48.0,35.0
2019/01/02,1600 UTC,0,"29,2","27,3",47.0,36.0
2019/01/02,1700 UTC,0,"28,2","26,9",51.0,42.0
2019/01/02,1800 UTC,0,"28,3","24,6",61.0,43.0
2019/01/02,1900 UTC,0,"25,4","24,2",67.0,58.0
2019/01/02,2000 UTC,0,"29,3","24,3",64.0,40.0
2019/01/02,2100 UTC,0,"29,4","27,6",47.0,40.0
2019/01/02,2200 UTC,0,"27,6","25,5",57.0,47.0
2019/01/02,2300 UTC,0,"25,5",23,66.0,56.0
2019/01/03,0000 UTC,0,"23,8","23,2",63.0,59.0
2019/01/03,0100 UTC,0,"23,4","22,5",64.0,60.0
2019/01/03,0200 UTC,0,"22,9","21,9",65.0,61.0
2019/01/03,0300 UTC,0,"22,3","21,6",67.0,64.0
2019/01/03,0400 UTC,0,"21,7","20,5",70.0,65.0
2019/01/03,0500 UTC,0,"21,5","19,7",74.0,67.0
2019/01/03,0600 UTC,0,"21,3",19,78.0,67.0
2019/01/03,0700 UTC,0,"21,1","18,8",79.0,68.0
2019/01/03,0800 UTC,0,"20,7","19,7",74.0,70.0
2019/01/03,0900 UTC,0,"19,7","18,1",84.0,74.0
2019/01/03,1000 UTC,0,"21,8","19,7",75.0,69.0
2019/01/03,1100 UTC,0,"24,4","21,8",69.0,52.0
2019/01/03,1200 UTC,0,"26,2","24,4",54.0,46.0
2019/01/03,1300 UTC,0,27,"25,8",51.0,45.0
2019/01/03,1400 UTC,0,"27,8","26,3",49.0,40.0
2019/01/03,1500 UTC,0,"28,4","26,9",47.0,36.0
2019/01/03,1600 UTC,0,"29,1","27,2",44.0,35.0
