Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2020/01/01,0000 UTC,0,"19,8","19,1",91.0,84.0
2020/01/01,0100 UTC,0,"19,9","19,2",87.0,78.0
2020/01/01,0200 UTC,0,"19,7","18,7",90.0,80.0
2020/01/01,0300 UTC,0,"19,8",19,85.0,76.0
2020/01/01,0400 UTC,0,"19,7","18,3",90.0,76.0
2020/01/01,0500 UTC,0,"19,7","19,1",84.0,77.0
2020/01/01,0600 UTC,0,"19,8",19,86.0,78.0
2020/01/01,0700 UTC,0,"19,4","18,7",89.0,84.0
2020/01/01,0800 UTC,0,19,"18,6",90.0,88.0
2020/01/01,0900 UTC,0,"18,9","18,3",93.0,90.0
2020/01/01,1000 UTC,0,"18,9","18,4",94.0,90.0
2020/01/01,1100 UTC,0,"21,1","18,6",94.0,84.0
2020/01/01,1200 UTC,0,"22,6",21,87.0,79.0
2020/01/01,1300 UTC,0,"23,8","22,1",83.0,73.0
2020/01/01,1400 UTC,0,"24,2","23,4",77.0,68.0
2020/01/01,1500 UTC,0,"25,1","23,5",73.0,66.0
2020/01/01,1600 UTC,"1,2","25,6","22,6",79.0,64.0
2020/01/01,1700 UTC,"3,8",24,"21,5",83.0,69.0
2020/01/01,1800 UTC,0,"24,9",24,74.0,64.0
2020/01/01,1900 UTC,0,25,"22,6",79.0,64.0
2020/01/01,2000 UTC,0,"23,7","23,4",75.0,71.0
2020/01/01,2100 UTC,0,"23,4","22,5",84.0,73.0
2020/01/01,2200 UTC,0,"22,8","21,8",86.0,76.0
2020/01/01,2300 UTC,0,22,"20,5",88.0,79.0
2020/01/02,0000 UTC,0,"20,5",19,93.0,87.0
2020/01/02,0100 UTC,0,"19,2","18,9",94.0,91.0
2020/01/02,0200 UTC,0,"19,7","19,2",94.0,92.0
2020/01/02,0300 UTC,0,"19,6","19,2",94.0,93.0
2020/01/02,0400 UTC,0,"19,3",19,94.0,93.0
2020/01/02,0500 UTC,0,19,"18,9",93.0,92.0
2020/01/02,0600 UTC,0,"19,1","18,9",95.0,93.0
2020/01/02,0700 UTC,0,"19,3",19,95.0,93.0
2020/01/02,0800 UTC,0,"19,8","19,3",93.0,91.0
2020/01/02,0900 UTC,0,"19,8","19,7",91.0,90.0
2020/01/02,1000 UTC,0,"20,1","19,8",91.0,89.0
