Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2020/01/01,0000 UTC,0,"18,7","18,5",94.0,93.0
2020/01/01,0100 UTC,,,,,
2020/01/01,0200 UTC,0,"18,2","17,9",93.0,92.0
2020/01/01,0300 UTC,0,"18,5","18,1",93.0,92.0
2020/01/01,0400 UTC,0,"18,6","18,2",94.0,93.0
2020/01/01,0500 UTC,2,"18,8","18,2",94.0,91.0
2020/01/01,0600 UTC,0,"18,4",18,94.0,92.0
2020/01/01,0700 UTC,"0,2","18,4",18,94.0,93.0
2020/01/01,0800 UTC,"1,4","18,3",18,94.0,94.0
2020/01/01,0900 UTC,"0,2","18,4","18,1",94.0,94.0
2020/01/01,1000 UTC,0,19,"18,3",94.0,93.0
2020/01/01,1100 UTC,0,"21,5",19,93.0,82.0
2020/01/01,1200 UTC,0,"23,2","21,5",85.0,74.0
2020/01/01,1300 UTC,0,"24,5",23,77.0,67.0
2020/01/01,1400 UTC,0,"27,1","24,2",70.0,61.0
2020/01/01,1500 UTC,0,"28,3","26,1",68.0,52.0
2020/01/01,1600 UTC,"0,2","28,7","27,1",56.0,46.0
2020/01/01,1700 UTC,0,"28,4","26,4",64.0,53.0
2020/01/01,1800 UTC,0,"28,9","27,1",61.0,50.0
2020/01/01,1900 UTC,0,"27,6","24,9",69.0,57.0
2020/01/01,2000 UTC,0,"26,5","24,9",70.0,61.0
2020/01/01,2100 UTC,0,"26,4","24,2",73.0,63.0
2020/01/01,2200 UTC,0,"24,2","22,4",80.0,71.0
2020/01/01,2300 UTC,0,"22,5","21,1",84.0,77.0
2020/01/02,0000 UTC,0,"21,1","20,7",87.0,83.0
2020/01/02,0100 UTC,0,"20,9","20,6",88.0,85.0
2020/01/02,0200 UTC,0,"20,6","20,2",92.0,88.0
2020/01/02,0300 UTC,0,"20,2","20,1",92.0,92.0
2020/01/02,0400 UTC,0,"20,3","20,1",92.0,92.0
2020/01/02,0500 UTC,0,"20,3","20,2",93.0,92.0
2020/01/02,0600 UTC,0,"20,4","20,1",93.0,92.0
2020/01/02,0700 UTC,0,"20,1","19,8",93.0,92.0
