Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2020,0000 UTC,0,"26,9","25,8",83.0,79.0
01/01/2020,0100 UTC,0,26,"25,3",85.0,82.0
01/01/2020,0200 UTC,0,"25,6","24,7",87.0,83.0
01/01/2020,0300 UTC,0,25,"24,4",89.0,85.0
01/01/2020,0400 UTC,0,"24,5","24,2",91.0,89.0
01/01/2020,0500 UTC,0,"24,5","24,2",90.0,89.0
01/01/2020,0600 UTC,0,"24,2","23,8",93.0,90.0
01/01/2020,0700 UTC,0,"23,9","23,3",94.0,92.0
01/01/2020,0800 UTC,0,"23,7","23,2",94.0,92.0
01/01/2020,0900 UTC,0,"23,6","23,1",94.0,92.0
01/01/2020,1000 UTC,0,"25,8","23,5",93.0,81.0
01/01/2020,1100 UTC,0,"29,4","25,8",81.0,68.0
01/01/2020,1200 UTC,0,"31,7","28,9",71.0,62.0
01/01/2020,1300 UTC,0,"32,9","30,8",69.0,57.0
01/01/2020,1400 UTC,0,"34,7","31,7",64.0,49.0
01/01/2020,1500 UTC,0,"35,6","34,3",53.0,44.0
01/01/2020,1600 UTC,0,"35,8","33,6",55.0,41.0
01/01/2020,1700 UTC,0,"35,7","29,9",73.0,46.0
01/01/2020,1800 UTC,0,"33,8","30,1",72.0,51.0
01/01/2020,1900 UTC,0,"34,5","33,1",57.0,48.0
01/01/2020,2000 UTC,0,"33,5","33,1",54.0,48.0
01/01/2020,2100 UTC,0,"33,3","29,1",73.0,48.0
01/01/2020,2200 UTC,0,"29,5","28,5",75.0,71.0
01/01/2020,2300 UTC,0,"29,2","28,3",74.0,66.0
02/01/2020,0000 UTC,0,"28,5","27,5",77.0,72.0
02/01/2020,0100 UTC,0,"27,5","26,9",78.0,76.0
02/01/2020,0200 UTC,0,"27,2","26,2",82.0,76.0
02/01/2020,0300 UTC,0,"26,8","26,3",80.0,77.0
02/01/2020,0400 UTC,0,"26,9","25,8",82.0,76.0
02/01/2020,0500 UTC,0,"26,6","25,8",82.0,78.0
02/01/2020,0600 UTC,0,"25,8","25,3",83.0,81.0
02/01/2020,0700 UTC,0,"25,6","25,1",84.0,80.0
02/01/2020,0800 UTC,0,"25,7",25,83.0,78.0
02/01/2020,0900 UTC,0,"25,5","24,9",84.0,79.0
02/01/2020,1000 UTC,0,"26,1","25,5",81.0,77.0
02/01/2020,1100 UTC,0,"27,6","25,9",80.0,71.0
02/01/2020,1200 UTC,0,"28,6","27,4",79.0,70.0
02/01/2020,1300 UTC,0,"29,3","28,2",74.0,66.0
02/01/2020,1400 UTC,0,"30,2","28,8",75.0,67.0
02/01/2020,1500 UTC,0,"30,6",29,74.0,65.0
02/01/2020,1600 UTC,0,"31,4","29,8",69.0,63.0
02/01/2020,1700 UTC,0,"31,2","28,8",75.0,63.0
02/01/2020,1800 UTC,"0,6","28,8","25,8",91.0,67.0
02/01/2020,1900 UTC,1,"26,9","25,6",94.0,88.0
02/01/2020,2000 UTC,0,"27,5","26,6",91.0,78.0
02/01/2020,2100 UTC,0,"27,6","26,7",83.0,78.0
02/01/2020,2200 UTC,0,27,"26,1",88.0,82.0
02/01/2020,2300 UTC,0,"26,4","25,6",92.0,88.0
03/01/2020,0000 UTC,0,"25,7","25,4",93.0,92.0
03/01/2020,0100 UTC,0,"25,5","25,3",93.0,91.0
03/01/2020,0200 UTC,0,"25,3","24,8",95.0,92.0
03/01/2020,0300 UTC,0,"24,8","24,4",95.0,94.0
03/01/2020,0400 UTC,0,"24,5",24,95.0,94.0
03/01/2020,0500 UTC,0,"24,1",24,94.0,93.0
03/01/2020,0600 UTC,0,"24,1","23,9",94.0,92.0
03/01/2020,0700 UTC,0,24,"23,8",95.0,93.0
03/01/2020,0800 UTC,0,"24,2","23,9",94.0,93.0
03/01/2020,0900 UTC,0,"24,3",24,94.0,92.0
03/01/2020,1000 UTC,0,"25,5","24,2",93.0,87.0
03/01/2020,1100 UTC,0,"25,9","24,7",92.0,86.0
03/01/2020,1200 UTC,"1,8","24,7",24,97.0,92.0
03/01/2020,1300 UTC,"0,4","24,6","23,9",97.0,95.0
03/01/2020,1400 UTC,"0,2","24,7","24,2",95.0,89.0
03/01/2020,1500 UTC,0,"26,3","24,7",91.0,81.0
03/01/2020,1600 UTC,0,"26,8","25,8",85.0,77.0
03/01/2020,1700 UTC,0,"26,8","25,8",84.0,76.0
03/01/2020,1800 UTC,0,"26,7","25,9",82.0,75.0
03/01/2020,1900 UTC,"0,2","25,9","24,6",92.0,77.0
03/01/2020,2000 UTC,0,25,"23,8",96.0,89.0
03/01/2020,2100 UTC,0,"24,7","23,8",96.0,84.0
03/01/2020,2200 UTC,0,"24,7","24,1",90.0,84.0
03/01/2020,2300 UTC,0,"24,1","23,4",94.0,89.0
04/01/2020,0000 UTC,0,"23,5","22,9",93.0,90.0
04/01/2020,0100 UTC,0,"22,9","22,8",92.0,91.0
04/01/2020,0200 UTC,0,"22,8","22,2",95.0,92.0
04/01/2020,0300 UTC,0,"22,3","21,8",96.0,94.0
04/01/2020,0400 UTC,0,"21,8","21,5",96.0,94.0
04/01/2020,0500 UTC,0,"21,6","21,3",95.0,94.0
04/01/2020,0600 UTC,0,"21,4","21,1",95.0,93.0
04/01/2020,0700 UTC,0,"21,4",21,95.0,92.0
04/01/2020,0800 UTC,0,"21,4",21,95.0,92.0
04/01/2020,0900 UTC,0,"21,4","20,9",95.0,93.0
04/01/2020,1000 UTC,0,"22,9","21,4",93.0,88.0
04/01/2020,1100 UTC,0,"25,6","22,8",89.0,71.0
04/01/2020,1200 UTC,0,"27,6","25,6",74.0,62.0
04/01/2020,1300 UTC,0,"27,8","26,8",72.0,64.0
04/01/2020,1400 UTC,"0,2","28,9","27,3",73.0,63.0
04/01/2020,1500 UTC,0,"29,2","28,2",66.0,61.0
04/01/2020,1600 UTC,0,29,"27,3",67.0,62.0
04/01/2020,1700 UTC,0,"29,6","27,4",69.0,64.0
04/01/2020,1800 UTC,0,"28,4","27,1",75.0,68.0
04/01/2020,1900 UTC,0,"28,2","26,6",75.0,68.0
04/01/2020,2000 UTC,0,"26,6","24,3",92.0,72.0
04/01/2020,2100 UTC,"0,4","24,4",24,94.0,91.0
04/01/2020,2200 UTC,0,"24,4","23,9",94.0,90.0
04/01/2020,2300 UTC,"0,2","23,9","23,6",96.0,94.0
05/01/2020,0000 UTC,0,"23,6","23,4",96.0,95.0
05/01/2020,0100 UTC,"1,8","23,5",23,97.0,93.0
05/01/2020,0200 UTC,"0,6","23,2","22,8",97.0,97.0
05/01/2020,0300 UTC,"0,6",23,"22,7",98.0,97.0
05/01/2020,0400 UTC,0,"22,7","22,6",98.0,97.0
05/01/2020,0500 UTC,2,"22,8","22,4",98.0,98.0
05/01/2020,0600 UTC,0,"22,5","22,2",98.0,98.0
05/01/2020,0700 UTC,0,"22,2","21,8",98.0,98.0
05/01/2020,0800 UTC,0,"21,9","21,6",98.0,98.0
05/01/2020,0900 UTC,0,"21,7","21,5",98.0,97.0
05/01/2020,1000 UTC,0,"23,3","21,6",98.0,92.0
05/01/2020,1100 UTC,0,"25,1","23,3",93.0,86.0
05/01/2020,1200 UTC,0,"26,1","24,8",89.0,82.0
05/01/2020,1300 UTC,0,"26,2","25,5",87.0,81.0
05/01/2020,1400 UTC,"0,2",27,"25,8",83.0,76.0
05/01/2020,1500 UTC,0,"26,8","25,9",80.0,73.0
05/01/2020,1600 UTC,0,"26,9","26,4",80.0,72.0
05/01/2020,1700 UTC,0,"26,4","25,8",85.0,78.0
05/01/2020,1800 UTC,0,"26,1","25,8",85.0,82.0
05/01/2020,1900 UTC,0,"26,1","25,2",88.0,82.0
05/01/2020,2000 UTC,"1,8","25,6","24,4",94.0,80.0
05/01/2020,2100 UTC,"9,2","24,4","23,2",98.0,94.0
05/01/2020,2200 UTC,3,"23,2","22,7",98.0,98.0
05/01/2020,2300 UTC,0,"22,9","22,7",98.0,97.0
06/01/2020,0000 UTC,"0,4","23,2","22,8",98.0,98.0
06/01/2020,0100 UTC,"0,2","23,2","22,8",98.0,98.0
06/01/2020,0200 UTC,"0,2","23,1","22,7",98.0,98.0
06/01/2020,0300 UTC,"0,4",23,"22,6",98.0,97.0
06/01/2020,0400 UTC,"1,2","22,8","22,5",98.0,98.0
06/01/2020,0500 UTC,"0,8","22,9","22,6",98.0,97.0
06/01/2020,0600 UTC,"0,4","22,9","22,3",98.0,96.0
06/01/2020,0700 UTC,0,"22,4",22,98.0,97.0
06/01/2020,0800 UTC,0,22,"21,7",98.0,97.0
06/01/2020,0900 UTC,0,"21,8","21,6",98.0,98.0
06/01/2020,1000 UTC,0,"22,9","21,7",98.0,95.0
