Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2021/01/01,0000 UTC,0,"26,1","24,9",71.0,65.0
2021/01/01,0100 UTC,0,"24,9","24,4",72.0,70.0
2021/01/01,0200 UTC,0,"24,6","23,8",76.0,71.0
2021/01/01,0300 UTC,0,"24,1","23,2",81.0,75.0
2021/01/01,0400 UTC,0,"23,3","22,7",85.0,80.0
2021/01/01,0500 UTC,0,"22,7","22,4",89.0,85.0
2021/01/01,0600 UTC,0,"22,4",22,91.0,89.0
2021/01/01,0700 UTC,0,"22,2","21,9",92.0,91.0
2021/01/01,0800 UTC,0,"22,1","21,7",92.0,92.0
2021/01/01,0900 UTC,0,"23,9","21,9",93.0,86.0
2021/01/01,1000 UTC,0,"27,5","23,7",86.0,72.0
2021/01/01,1100 UTC,0,"29,7","27,2",73.0,62.0
2021/01/01,1200 UTC,0,"30,9","28,7",67.0,60.0
2021/01/01,1300 UTC,0,"31,1","29,4",66.0,59.0
2021/01/01,1400 UTC,0,"31,5","30,4",63.0,57.0
2021/01/01,1500 UTC,0,"31,1","30,1",62.0,56.0
2021/01/01,1600 UTC,0,"30,8","25,8",77.0,58.0
2021/01/01,1700 UTC,0,"26,4","25,7",80.0,77.0
2021/01/01,1800 UTC,0,"25,9","25,2",81.0,78.0
2021/01/01,1900 UTC,0,"26,1","25,3",84.0,78.0
2021/01/01,2000 UTC,0,"25,3","24,4",89.0,84.0
2021/01/01,2100 UTC,0,"24,4","23,7",93.0,89.0
2021/01/01,2200 UTC,0,"24,1","23,1",93.0,92.0
2021/01/01,2300 UTC,0,"23,1","22,7",94.0,92.0
2021/01/02,0000 UTC,0,"23,2","22,8",94.0,94.0
2021/01/02,0100 UTC,0,"23,2","22,8",94.0,94.0
2021/01/02,0200 UTC,0,23,"22,6",94.0,93.0
2021/01/02,0300 UTC,0,"22,9","22,7",94.0,94.0
