Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2022/01/01,0000 UTC,0,"24,3","24,1",92.0,92.0
2022/01/01,0100 UTC,0,"24,4","24,1",92.0,91.0
2022/01/01,0200 UTC,"0,2","24,4","24,3",91.0,90.0
2022/01/01,0300 UTC,0,"24,3",24,92.0,91.0
2022/01/01,0400 UTC,0,"24,1",24,92.0,92.0
2022/01/01,0500 UTC,0,"24,2",24,92.0,92.0
2022/01/01,0600 UTC,0,"24,4","24,1",92.0,91.0
2022/01/01,0700 UTC,0,"24,5","24,3",91.0,90.0
2022/01/01,0800 UTC,"0,2","24,5","24,4",90.0,88.0
2022/01/01,0900 UTC,0,"24,5","24,3",89.0,88.0
2022/01/01,1000 UTC,0,"25,4","24,3",88.0,85.0
2022/01/01,1100 UTC,0,25,"24,7",87.0,85.0
2022/01/01,1200 UTC,0,"25,5","24,8",87.0,82.0
2022/01/01,1300 UTC,0,"25,6","24,9",87.0,79.0
2022/01/01,1400 UTC,0,"25,9",25,87.0,82.0
2022/01/01,1500 UTC,0,"25,8","25,3",86.0,84.0
2022/01/01,1600 UTC,0,"25,4","24,9",88.0,86.0
2022/01/01,1700 UTC,0,"25,4","24,8",89.0,87.0
2022/01/01,1800 UTC,0,25,"24,1",91.0,88.0
2022/01/01,1900 UTC,"1,8","24,3","24,1",91.0,90.0
2022/01/01,2000 UTC,"1,2","24,3",24,92.0,90.0
2022/01/01,2100 UTC,0,"24,2","23,5",92.0,90.0
2022/01/01,2200 UTC,0,24,"23,5",92.0,90.0
2022/01/01,2300 UTC,"0,2","24,1","23,9",91.0,90.0
2022/01/02,0000 UTC,"0,2","24,2","23,8",92.0,91.0
2022/01/02,0100 UTC,0,"23,8","23,6",93.0,92.0
2022/01/02,0200 UTC,"0,2","24,4","23,6",93.0,90.0
2022/01/02,0300 UTC,0,"24,3","24,1",90.0,90.0
2022/01/02,0400 UTC,0,"24,3","23,7",92.0,90.0
2022/01/02,0500 UTC,0,"23,7","23,5",93.0,92.0
2022/01/02,0600 UTC,0,"23,8","23,6",92.0,90.0
2022/01/02,0700 UTC,0,"23,8","23,6",91.0,90.0
2022/01/02,0800 UTC,0,"23,9","23,5",92.0,90.0
2022/01/02,0900 UTC,"0,2","23,9","23,4",92.0,89.0
2022/01/02,1000 UTC,"0,2","23,7","23,1",92.0,90.0
2022/01/02,1100 UTC,"0,2","23,9","23,5",92.0,91.0
2022/01/02,1200 UTC,"0,2","24,3","23,6",93.0,92.0
2022/01/02,1300 UTC,0,"25,6","24,1",92.0,87.0
2022/01/02,1400 UTC,0,"26,3","24,9",88.0,83.0
2022/01/02,1500 UTC,0,"26,9","25,2",86.0,81.0
2022/01/02,1600 UTC,0,"27,3","26,4",83.0,78.0
2022/01/02,1700 UTC,0,"27,1","26,4",83.0,80.0
2022/01/02,1800 UTC,0,"27,6",26,82.0,76.0
2022/01/02,1900 UTC,0,"27,2",25,84.0,75.0
2022/01/02,2000 UTC,0,"25,1","24,7",85.0,83.0
2022/01/02,2100 UTC,0,"24,9","24,3",86.0,83.0
2022/01/02,2200 UTC,0,"24,5",24,87.0,85.0
2022/01/02,2300 UTC,0,"24,6","24,1",86.0,84.0
2022/01/03,0000 UTC,0,"24,5","24,2",85.0,84.0
2022/01/03,0100 UTC,0,"24,4","23,8",86.0,84.0
2022/01/03,0200 UTC,0,"23,9","23,5",87.0,86.0
2022/01/03,0300 UTC,0,"23,7","23,4",89.0,87.0
2022/01/03,0400 UTC,0,"23,4","23,1",92.0,89.0
2022/01/03,0500 UTC,0,"23,4","23,2",93.0,91.0
2022/01/03,0600 UTC,"0,2","23,5","22,7",94.0,92.0
2022/01/03,0700 UTC,0,23,"22,7",94.0,93.0
2022/01/03,0800 UTC,0,23,"22,7",94.0,94.0
2022/01/03,0900 UTC,0,23,"22,7",94.0,94.0
2022/01/03,1000 UTC,0,"23,8","22,9",94.0,91.0
2022/01/03,1100 UTC,0,"24,1","23,7",91.0,88.0
