Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2022/01/01,0000 UTC,0,"19,2",19,90,89
2022/01/01,0100 UTC,"0,4","19,5",19,92,88
2022/01/01,0200 UTC,0,"19,1","18,8",93,91
2022/01/01,0300 UTC,0,"19,2","18,8",91,89
2022/01/01,0400 UTC,0,"18,8","18,4",92,91
2022/01/01,0500 UTC,0,"18,7","18,4",93,92
2022/01/01,0600 UTC,"0,8","18,7","18,3",94,92
2022/01/01,0700 UTC,"0,4","18,4","18,3",95,94
2022/01/01,0800 UTC,0,"18,4","18,3",95,95
2022/01/01,0900 UTC,0,"18,3","18,2",95,95
2022/01/01,1000 UTC,"0,2","18,6","18,3",95,95
2022/01/01,1100 UTC,0,"19,1","18,6",95,93
2022/01/01,1200 UTC,"0,6",19,"18,9",94,93
2022/01/01,1300 UTC,"0,2","20,6",19,94,87
2022/01/01,1400 UTC,0,21,"20,1",90,84
2022/01/01,1500 UTC,"5,2","20,9","19,3",95,87
2022/01/01,1600 UTC,0,"22,9","20,8",94,79
2022/01/01,1700 UTC,"3,2","22,4","19,8",91,79
2022/01/01,1800 UTC,0,"21,2","20,5",89,84
2022/01/01,1900 UTC,0,"21,2","20,3",86,81
2022/01/01,2000 UTC,"10,2","20,3","18,9",95,86
2022/01/01,2100 UTC,"3,8",19,"18,8",95,95
2022/01/01,2200 UTC,"0,8",19,"18,6",95,93
2022/01/01,2300 UTC,0,"18,6","18,3",93,93
2022/01/02,0000 UTC,"0,2","18,3",18,94,93
2022/01/02,0100 UTC,0,"18,5","18,1",95,94
2022/01/02,0200 UTC,0,"18,4","18,3",94,94
2022/01/02,0300 UTC,0,"18,3","18,2",95,94
2022/01/02,0400 UTC,0,"18,3","18,3",95,95
2022/01/02,0500 UTC,0,"18,4","18,1",95,95
2022/01/02,0600 UTC,0,"18,1","17,9",95,95
2022/01/02,0700 UTC,0,"18,2","18,1",95,95
2022/01/02,0800 UTC,0,"18,3","18,1",95,94
2022/01/02,0900 UTC,"0,2","18,2","18,1",95,94
2022/01/02,1000 UTC,"0,2","18,5","18,2",95,95
2022/01/02,1100 UTC,0,"19,6","18,4",95,91
2022/01/02,1200 UTC,1,"19,9","18,8",95,92
2022/01/02,1300 UTC,"0,8","21,1","19,6",93,86
