Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
01/01/2022,0000 UTC,0,"25,2","24,7",84.0,82.0
01/01/2022,0100 UTC,0,"25,2",25,83.0,82.0
01/01/2022,0200 UTC,0,"25,1","24,8",83.0,82.0
01/01/2022,0300 UTC,0,"24,9","24,5",85.0,83.0
01/01/2022,0400 UTC,0,"24,7","24,5",85.0,84.0
01/01/2022,0500 UTC,0,"24,7","24,5",84.0,84.0
01/01/2022,0600 UTC,0,"24,5","23,9",87.0,84.0
01/01/2022,0700 UTC,0,24,"23,6",89.0,87.0
01/01/2022,0800 UTC,0,"23,6","23,4",90.0,89.0
01/01/2022,0900 UTC,0,"23,6","23,4",90.0,89.0
01/01/2022,1000 UTC,0,"23,6","23,4",91.0,90.0
01/01/2022,1100 UTC,"0,2","24,4","23,6",92.0,91.0
01/01/2022,1200 UTC,0,"27,2","24,3",91.0,78.0
01/01/2022,1300 UTC,0,"29,6","27,1",78.0,68.0
01/01/2022,1400 UTC,"0,2","30,9","29,5",68.0,59.0
01/01/2022,1500 UTC,0,"30,7","29,4",64.0,58.0
01/01/2022,1600 UTC,0,"30,5","28,1",72.0,59.0
01/01/2022,1700 UTC,0,"28,1","27,2",74.0,70.0
01/01/2022,1800 UTC,0,"29,1","27,8",71.0,64.0
01/01/2022,1900 UTC,0,"28,3","26,7",71.0,64.0
01/01/2022,2000 UTC,0,"26,7","26,1",77.0,71.0
01/01/2022,2100 UTC,0,"26,1","25,7",79.0,76.0
01/01/2022,2200 UTC,0,"25,7","25,1",81.0,79.0
01/01/2022,2300 UTC,0,"25,2",25,82.0,81.0
02/01/2022,0000 UTC,0,"25,3","25,2",82.0,81.0
02/01/2022,0100 UTC,0,"25,2","24,9",84.0,82.0
02/01/2022,0200 UTC,0,"24,9","24,4",87.0,84.0
02/01/2022,0300 UTC,"0,2","24,4","23,9",90.0,87.0
02/01/2022,0400 UTC,"0,2",24,"23,6",91.0,90.0
02/01/2022,0500 UTC,0,"23,6","23,5",92.0,91.0
02/01/2022,0600 UTC,0,"23,6","23,5",91.0,91.0
02/01/2022,0700 UTC,0,"23,6","23,4",91.0,91.0
02/01/2022,0800 UTC,0,"23,7","23,6",92.0,91.0
02/01/2022,0900 UTC,0,"23,7","23,6",92.0,92.0
02/01/2022,1000 UTC,0,"25,1","23,6",92.0,81.0
02/01/2022,1100 UTC,0,"26,2","24,9",82.0,75.0
02/01/2022,1200 UTC,0,"27,6",26,76.0,70.0
02/01/2022,1300 UTC,0,"29,9","27,6",72.0,62.0
02/01/2022,1400 UTC,0,"30,3","29,1",63.0,56.0
02/01/2022,1500 UTC,0,"31,8","29,8",59.0,53.0
02/01/2022,1600 UTC,0,"32,5","29,6",56.0,47.0
02/01/2022,1700 UTC,0,"30,3","28,5",67.0,55.0
02/01/2022,1800 UTC,0,"29,9","28,6",65.0,61.0
02/01/2022,1900 UTC,0,"30,3","29,4",63.0,58.0
02/01/2022,2000 UTC,0,"29,5","28,2",65.0,60.0
02/01/2022,2100 UTC,0,"28,5","26,9",69.0,64.0
02/01/2022,2200 UTC,0,"26,9","25,3",78.0,69.0
02/01/2022,2300 UTC,0,"25,3","24,8",79.0,78.0
03/01/2022,0000 UTC,0,"24,9","24,6",81.0,79.0
03/01/2022,0100 UTC,0,"24,9","24,7",83.0,80.0
03/01/2022,0200 UTC,0,"24,9","24,5",84.0,82.0
03/01/2022,0300 UTC,0,"24,6","24,2",86.0,84.0
03/01/2022,0400 UTC,0,"24,3",24,87.0,85.0
03/01/2022,0500 UTC,0,24,"23,7",88.0,87.0
03/01/2022,0600 UTC,0,"23,7","23,3",90.0,88.0
03/01/2022,0700 UTC,0,"23,3","23,2",90.0,90.0
03/01/2022,0800 UTC,0,"23,5","23,3",90.0,88.0
03/01/2022,0900 UTC,0,"23,6","23,4",88.0,87.0
03/01/2022,1000 UTC,0,"24,3","23,6",87.0,84.0
03/01/2022,1100 UTC,0,"25,5","24,4",84.0,79.0
03/01/2022,1200 UTC,0,"27,1","25,4",80.0,73.0
03/01/2022,1300 UTC,0,"28,1",27,73.0,69.0
03/01/2022,1400 UTC,0,"30,2","27,6",73.0,62.0
03/01/2022,1500 UTC,0,"30,8","29,2",65.0,58.0
03/01/2022,1600 UTC,0,"29,9","28,7",67.0,63.0
03/01/2022,1700 UTC,0,"28,9",27,77.0,66.0
03/01/2022,1800 UTC,0,"27,1","26,6",77.0,75.0
03/01/2022,1900 UTC,0,27,"24,4",87.0,75.0
03/01/2022,2000 UTC,"0,6","24,4","23,5",91.0,87.0
03/01/2022,2100 UTC,0,"23,6","23,4",91.0,89.0
03/01/2022,2200 UTC,0,"23,6","23,4",91.0,89.0
03/01/2022,2300 UTC,0,"23,4","23,1",91.0,91.0
04/01/2022,0000 UTC,0,"23,4","23,1",91.0,91.0
