Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,"20,3","19,4",90.0,87.0
2023/01/01,0100 UTC,0,"19,8",19,91.0,89.0
2023/01/01,0200 UTC,0,19,"18,2",92.0,90.0
2023/01/01,0300 UTC,0,"18,5","17,6",93.0,92.0
2023/01/01,0400 UTC,0,"18,5",18,93.0,93.0
2023/01/01,0500 UTC,0,"18,7","17,6",93.0,93.0
2023/01/01,0600 UTC,0,"19,1","18,2",93.0,93.0
2023/01/01,0700 UTC,0,"19,5","18,2",93.0,90.0
2023/01/01,0800 UTC,0,"19,5","18,9",90.0,85.0
2023/01/01,0900 UTC,0,"19,5","17,9",90.0,84.0
2023/01/01,1000 UTC,0,"19,3","18,1",91.0,89.0
2023/01/01,1100 UTC,0,"20,7","19,3",90.0,85.0
2023/01/01,1200 UTC,0,"22,2","20,7",86.0,77.0
2023/01/01,1300 UTC,0,"24,3","22,2",78.0,66.0
2023/01/01,1400 UTC,0,"26,4","24,3",70.0,57.0
2023/01/01,1500 UTC,0,"27,2","25,7",61.0,51.0
2023/01/01,1600 UTC,0,"28,5","26,2",59.0,46.0
2023/01/01,1700 UTC,0,29,"27,4",54.0,45.0
2023/01/01,1800 UTC,0,"29,3","27,6",51.0,44.0
2023/01/01,1900 UTC,0,"29,3","24,1",70.0,41.0
2023/01/01,2000 UTC,0,"26,8","24,2",69.0,58.0
2023/01/01,2100 UTC,0,"27,5","24,3",70.0,54.0
2023/01/01,2200 UTC,0,"24,3","23,1",76.0,69.0
2023/01/01,2300 UTC,0,"23,3","21,5",83.0,71.0
2023/01/02,0000 UTC,0,22,"21,3",85.0,81.0
2023/01/02,0100 UTC,0,"21,6","20,9",86.0,82.0
2023/01/02,0200 UTC,0,22,"21,4",84.0,80.0
2023/01/02,0300 UTC,0,"21,8","20,8",88.0,82.0
2023/01/02,0400 UTC,0,"21,4","20,9",88.0,85.0
2023/01/02,0500 UTC,0,21,"20,5",89.0,86.0
2023/01/02,0600 UTC,0,"21,9","20,8",88.0,74.0
2023/01/02,0700 UTC,0,"22,2","20,5",79.0,71.0
2023/01/02,0800 UTC,0,"21,6",20,83.0,73.0
2023/01/02,0900 UTC,0,"20,2","19,4",89.0,83.0
2023/01/02,1000 UTC,0,"22,8","19,6",89.0,69.0
2023/01/02,1100 UTC,0,"24,4","22,8",70.0,55.0
2023/01/02,1200 UTC,0,"25,5","24,3",57.0,50.0
2023/01/02,1300 UTC,0,"26,8","24,8",54.0,46.0
2023/01/02,1400 UTC,0,"27,5","26,1",51.0,43.0
2023/01/02,1500 UTC,0,"28,1","26,8",54.0,43.0
2023/01/02,1600 UTC,0,"28,5","26,8",54.0,46.0
2023/01/02,1700 UTC,0,29,"27,5",52.0,44.0
2023/01/02,1800 UTC,0,"28,9","27,1",53.0,44.0
2023/01/02,1900 UTC,"22,8","27,1","19,2",86.0,51.0
2023/01/02,2000 UTC,"0,4","21,4","20,5",87.0,73.0
2023/01/02,2100 UTC,"0,2","22,1","20,9",88.0,79.0
2023/01/02,2200 UTC,0,"22,6","21,9",86.0,77.0
2023/01/02,2300 UTC,0,"22,3","21,1",86.0,77.0
2023/01/03,0000 UTC,0,"21,5","20,4",86.0,82.0
2023/01/03,0100 UTC,0,"20,4","19,7",89.0,84.0
2023/01/03,0200 UTC,0,"20,1","19,6",88.0,87.0
2023/01/03,0300 UTC,"0,4","19,8","19,4",89.0,87.0
2023/01/03,0400 UTC,0,"19,4","19,1",89.0,88.0
2023/01/03,0500 UTC,0,"19,1","18,8",90.0,89.0
2023/01/03,0600 UTC,0,"18,8","18,5",92.0,90.0
2023/01/03,0700 UTC,0,"18,7","18,4",92.0,92.0
2023/01/03,0800 UTC,0,"18,5","18,2",92.0,92.0
2023/01/03,0900 UTC,0,"18,5","18,2",93.0,92.0
2023/01/03,1000 UTC,0,19,"18,5",93.0,93.0
2023/01/03,1100 UTC,0,"20,4","18,9",93.0,90.0
2023/01/03,1200 UTC,0,"23,4","20,4",90.0,66.0
2023/01/03,1300 UTC,0,"24,8","23,1",74.0,68.0
2023/01/03,1400 UTC,0,"26,2",24,72.0,59.0
2023/01/03,1500 UTC,0,"27,3","25,4",66.0,51.0
2023/01/03,1600 UTC,0,"27,5","25,5",65.0,47.0
2023/01/03,1700 UTC,0,"26,7","24,8",66.0,55.0
2023/01/03,1800 UTC,"0,8","26,2",22,80.0,58.0
2023/01/03,1900 UTC,0,"24,6","23,2",73.0,67.0
2023/01/03,2000 UTC,0,"23,4","22,8",70.0,67.0
2023/01/03,2100 UTC,0,"22,9","22,1",77.0,68.0
2023/01/03,2200 UTC,0,"22,1","21,4",82.0,77.0
2023/01/03,2300 UTC,0,"21,5","20,9",81.0,80.0
2023/01/04,0000 UTC,0,"21,2","20,8",81.0,79.0
2023/01/04,0100 UTC,0,"21,4","19,9",86.0,78.0
2023/01/04,0200 UTC,0,"20,6",20,87.0,85.0
2023/01/04,0300 UTC,0,"20,3","19,8",89.0,87.0
2023/01/04,0400 UTC,0,"20,1","19,4",91.0,88.0
2023/01/04,0500 UTC,0,"20,5","19,6",91.0,86.0
2023/01/04,0600 UTC,0,"20,5","19,6",87.0,85.0
2023/01/04,0700 UTC,0,"19,6","18,9",90.0,87.0
2023/01/04,0800 UTC,0,19,"18,6",90.0,90.0
2023/01/04,0900 UTC,0,"18,7","18,2",92.0,90.0
2023/01/04,1000 UTC,0,"20,2","18,5",92.0,87.0
2023/01/04,1100 UTC,0,22,"20,2",87.0,80.0
2023/01/04,1200 UTC,0,"23,2","21,7",80.0,70.0
2023/01/04,1300 UTC,0,"24,2","22,8",73.0,67.0
2023/01/04,1400 UTC,0,"24,9","23,9",70.0,63.0
2023/01/04,1500 UTC,0,"25,7","23,8",69.0,61.0
2023/01/04,1600 UTC,0,"26,5","24,4",68.0,57.0
2023/01/04,1700 UTC,"0,6","26,4","21,9",82.0,60.0
2023/01/04,1800 UTC,0,"26,6","24,5",68.0,55.0
2023/01/04,1900 UTC,0,"26,6","25,4",60.0,55.0
2023/01/04,2000 UTC,0,"26,7",23,71.0,55.0
2023/01/04,2100 UTC,0,"22,9","21,2",83.0,71.0
2023/01/04,2200 UTC,0,"22,3","21,4",83.0,81.0
2023/01/04,2300 UTC,0,"21,4","20,4",87.0,83.0
2023/01/05,0000 UTC,0,"20,6","20,2",86.0,84.0
2023/01/05,0100 UTC,0,"20,2","19,6",88.0,86.0
2023/01/05,0200 UTC,0,"20,2","19,5",88.0,86.0
2023/01/05,0300 UTC,0,"20,2","19,7",87.0,85.0
2023/01/05,0400 UTC,0,"20,1","19,8",86.0,85.0
2023/01/05,0500 UTC,0,"19,9","19,8",86.0,85.0
2023/01/05,0600 UTC,0,"20,1","19,6",86.0,85.0
2023/01/05,0700 UTC,"0,2",20,"19,7",88.0,86.0
2023/01/05,0800 UTC,0,"19,7","19,1",89.0,88.0
2023/01/05,0900 UTC,0,"19,1","18,9",90.0,89.0
2023/01/05,1000 UTC,0,"20,6",19,89.0,83.0
2023/01/05,1100 UTC,0,"21,8","20,6",83.0,78.0
2023/01/05,1200 UTC,0,"23,1","21,3",82.0,73.0
2023/01/05,1300 UTC,0,"23,2","22,3",76.0,72.0
2023/01/05,1400 UTC,0,"23,7","22,9",74.0,69.0
2023/01/05,1500 UTC,0,"24,5","23,5",72.0,67.0
2023/01/05,1600 UTC,0,"24,6","23,3",72.0,64.0
2023/01/05,1700 UTC,0,"25,1","24,4",69.0,62.0
2023/01/05,1800 UTC,0,"25,6","24,3",65.0,60.0
2023/01/05,1900 UTC,0,"26,5","25,1",62.0,56.0
2023/01/05,2000 UTC,0,"26,7","24,9",63.0,55.0
2023/01/05,2100 UTC,0,"25,4","24,6",65.0,60.0
2023/01/05,2200 UTC,0,"24,8",23,70.0,63.0
2023/01/05,2300 UTC,0,23,"21,4",79.0,70.0
2023/01/06,0000 UTC,0,"22,4","20,5",81.0,76.0
2023/01/06,0100 UTC,1,"21,5","20,2",89.0,81.0
