Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,,,,,
2023/01/01,0100 UTC,,,,,
2023/01/01,0200 UTC,0,20,"19,6",96.0,94.0
2023/01/01,0300 UTC,0,20,"19,5",96.0,95.0
2023/01/01,0400 UTC,0,"19,7","18,7",96.0,95.0
2023/01/01,0500 UTC,0,"18,7","17,5",95.0,92.0
2023/01/01,0600 UTC,0,"17,8","17,4",96.0,94.0
2023/01/01,0700 UTC,0,"17,7","17,5",98.0,96.0
2023/01/01,0800 UTC,0,18,"17,6",98.0,97.0
2023/01/01,0900 UTC,0,"18,1","17,9",99.0,98.0
2023/01/01,1000 UTC,0,"18,7","18,1",99.0,99.0
2023/01/01,1100 UTC,0,"19,1","18,6",99.0,99.0
2023/01/01,1200 UTC,0,"20,7",19,99.0,95.0
2023/01/01,1300 UTC,0,"23,7","20,7",95.0,78.0
2023/01/01,1400 UTC,0,"24,9",23,81.0,70.0
2023/01/01,1500 UTC,0,"26,2","24,2",74.0,65.0
2023/01/01,1600 UTC,0,"27,2",25,70.0,58.0
2023/01/01,1700 UTC,0,"27,8","25,9",62.0,53.0
2023/01/01,1800 UTC,0,"28,1","26,6",60.0,54.0
2023/01/01,1900 UTC,0,28,"26,6",60.0,53.0
2023/01/01,2000 UTC,0,"28,2","27,2",56.0,53.0
2023/01/01,2100 UTC,0,"27,4","26,2",62.0,53.0
2023/01/01,2200 UTC,0,"26,2","23,2",77.0,61.0
2023/01/01,2300 UTC,0,"23,3","22,5",79.0,76.0
2023/01/02,0000 UTC,0,"22,9","21,9",81.0,78.0
2023/01/02,0100 UTC,0,23,"21,8",85.0,77.0
2023/01/02,0200 UTC,0,"22,8","21,8",86.0,79.0
2023/01/02,0300 UTC,0,"22,1","21,5",87.0,83.0
2023/01/02,0400 UTC,0,"21,7",21,90.0,86.0
2023/01/02,0500 UTC,0,"21,2","20,9",90.0,88.0
2023/01/02,0600 UTC,0,21,"20,6",89.0,87.0
2023/01/02,0700 UTC,0,"20,6",20,88.0,86.0
2023/01/02,0800 UTC,0,"20,5","19,8",88.0,85.0
2023/01/02,0900 UTC,0,"19,9","19,3",90.0,86.0
2023/01/02,1000 UTC,0,21,"19,9",86.0,81.0
2023/01/02,1100 UTC,0,22,"20,9",83.0,80.0
2023/01/02,1200 UTC,0,"24,2",22,81.0,69.0
2023/01/02,1300 UTC,0,"25,7","23,2",73.0,62.0
2023/01/02,1400 UTC,0,"26,4","24,5",64.0,56.0
2023/01/02,1500 UTC,0,"26,9","25,2",62.0,54.0
2023/01/02,1600 UTC,0,"27,9","25,5",62.0,51.0
2023/01/02,1700 UTC,0,"28,4","26,1",58.0,45.0
2023/01/02,1800 UTC,0,"28,9","27,7",52.0,46.0
2023/01/02,1900 UTC,0,"28,5","27,4",54.0,47.0
2023/01/02,2000 UTC,0,"28,1",27,54.0,50.0
2023/01/02,2100 UTC,0,"27,4","25,8",60.0,51.0
2023/01/02,2200 UTC,0,"25,8","24,1",68.0,60.0
2023/01/02,2300 UTC,0,"24,1",23,75.0,67.0
2023/01/03,0000 UTC,0,"23,6","22,3",78.0,68.0
2023/01/03,0100 UTC,0,"22,4",22,82.0,77.0
2023/01/03,0200 UTC,0,"22,2","21,9",82.0,79.0
2023/01/03,0300 UTC,0,"21,9","20,1",93.0,80.0
2023/01/03,0400 UTC,0,"20,1","19,7",93.0,92.0
