Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,21,"20,5",87,84
2023/01/01,0100 UTC,0,"20,5","20,3",86,84
2023/01/01,0200 UTC,0,"20,4","19,8",86,83
2023/01/01,0300 UTC,0,"19,9","19,7",87,85
2023/01/01,0400 UTC,0,"20,1","19,8",86,84
2023/01/01,0500 UTC,0,"20,3","19,8",87,83
2023/01/01,0600 UTC,0,"19,8","19,5",89,87
2023/01/01,0700 UTC,0,"19,6","19,1",89,87
2023/01/01,0800 UTC,0,"19,2","18,3",92,89
2023/01/01,0900 UTC,0,"19,1","18,4",90,88
2023/01/01,1000 UTC,0,"20,2","18,9",89,85
2023/01/01,1100 UTC,0,21,"20,1",87,83
2023/01/01,1200 UTC,0,"22,8",21,84,72
2023/01/01,1300 UTC,0,"24,9","22,6",74,63
2023/01/01,1400 UTC,0,"25,7","23,8",66,53
2023/01/01,1500 UTC,0,"25,9","24,6",63,55
2023/01/01,1600 UTC,0,"26,3","24,8",62,53
2023/01/01,1700 UTC,0,"27,1","25,5",60,53
2023/01/01,1800 UTC,0,"26,7","25,9",58,53
2023/01/01,1900 UTC,0,"27,8","26,2",56,48
2023/01/01,2000 UTC,"2,6",27,"21,7",83,50
2023/01/01,2100 UTC,"2,2","22,4","21,5",86,74
2023/01/01,2200 UTC,0,"22,4","21,6",88,81
2023/01/01,2300 UTC,0,"22,4","21,6",88,79
2023/01/02,0000 UTC,0,"22,4",21,88,72
2023/01/02,0100 UTC,0,"22,3","20,7",82,72
2023/01/02,0200 UTC,0,"21,9","20,6",86,74
2023/01/02,0300 UTC,0,"20,9","20,6",88,85
2023/01/02,0400 UTC,2,"20,9","20,4",91,88
2023/01/02,0500 UTC,"3,8","20,5","19,6",93,90
2023/01/02,0600 UTC,"0,6",20,"19,1",94,92
2023/01/02,0700 UTC,0,"19,5","18,9",94,86
2023/01/02,0800 UTC,0,"19,3","18,8",92,90
2023/01/02,0900 UTC,0,19,"18,5",90,87
2023/01/02,1000 UTC,0,"20,3","18,8",88,83
2023/01/02,1100 UTC,0,"21,5","20,3",85,78
2023/01/02,1200 UTC,0,"22,9","21,4",80,69
2023/01/02,1300 UTC,0,24,"22,7",73,62
2023/01/02,1400 UTC,0,"25,1",24,67,61
2023/01/02,1500 UTC,0,"25,6","24,1",67,60
2023/01/02,1600 UTC,0,26,"24,3",65,58
2023/01/02,1700 UTC,0,26,"24,6",67,58
2023/01/02,1800 UTC,0,"26,4",25,64,54
2023/01/02,1900 UTC,0,"26,7",25,63,56
2023/01/02,2000 UTC,0,25,"24,2",67,60
2023/01/02,2100 UTC,0,"24,2","21,8",75,66
2023/01/02,2200 UTC,0,"21,8","20,3",81,70
2023/01/02,2300 UTC,0,"21,2","19,8",88,77
2023/01/03,0000 UTC,0,20,"19,5",89,87
2023/01/03,0100 UTC,0,20,19,92,86
2023/01/03,0200 UTC,0,19,"18,4",94,92
2023/01/03,0300 UTC,0,"18,5","18,2",94,93
2023/01/03,0400 UTC,0,"18,2",18,93,93
2023/01/03,0500 UTC,0,"18,2",18,93,92
2023/01/03,0600 UTC,0,"18,8",18,92,87
2023/01/03,0700 UTC,0,"19,3","18,6",87,83
2023/01/03,0800 UTC,0,"19,2","18,6",87,83
2023/01/03,0900 UTC,0,"19,4","18,5",88,84
2023/01/03,1000 UTC,0,20,"19,3",86,82
2023/01/03,1100 UTC,0,21,"19,9",86,78
2023/01/03,1200 UTC,0,"21,9","20,9",82,77
2023/01/03,1300 UTC,0,"22,6","21,7",80,75
2023/01/03,1400 UTC,0,"24,1","22,1",78,68
2023/01/03,1500 UTC,0,"25,2","23,5",72,60
2023/01/03,1600 UTC,0,"25,9","24,6",64,57
2023/01/03,1700 UTC,0,"26,9","20,8",78,51
2023/01/03,1800 UTC,"0,8","21,4","19,5",90,78
2023/01/03,1900 UTC,0,"21,6","20,8",82,77
2023/01/03,2000 UTC,0,"22,5","21,4",79,71
2023/01/03,2100 UTC,0,"22,4","21,6",77,71
2023/01/03,2200 UTC,0,"21,7","20,5",87,77
2023/01/03,2300 UTC,0,"20,6","19,8",91,87
2023/01/04,0000 UTC,0,"20,2","19,6",91,89
2023/01/04,0100 UTC,0,"19,8","19,4",94,90
2023/01/04,0200 UTC,0,"19,4","19,3",94,94
2023/01/04,0300 UTC,0,"19,3","19,1",94,94
2023/01/04,0400 UTC,0,"19,3",19,94,91
2023/01/04,0500 UTC,0,19,"18,3",94,92
2023/01/04,0600 UTC,0,"18,4","18,1",95,94
2023/01/04,0700 UTC,0,"18,2","17,8",95,95
2023/01/04,0800 UTC,0,"18,1","17,8",95,95
2023/01/04,0900 UTC,0,"18,4","18,1",95,95
2023/01/04,1000 UTC,0,"19,4","18,4",95,93
2023/01/04,1100 UTC,0,20,"19,4",93,87
2023/01/04,1200 UTC,0,"21,8",20,89,77
2023/01/04,1300 UTC,0,"22,6","21,5",79,74
