Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,0,"20,3","19,4",90,87
2023/01/01,0100 UTC,0,"19,8",19,91,89
2023/01/01,0200 UTC,0,19,"18,2",92,90
2023/01/01,0300 UTC,0,"18,5","17,6",93,92
2023/01/01,0400 UTC,0,"18,5",18,93,93
2023/01/01,0500 UTC,0,"18,7","17,6",93,93
2023/01/01,0600 UTC,0,"19,1","18,2",93,93
2023/01/01,0700 UTC,0,"19,5","18,2",93,90
2023/01/01,0800 UTC,0,"19,5","18,9",90,85
2023/01/01,0900 UTC,0,"19,5","17,9",90,84
2023/01/01,1000 UTC,0,"19,3","18,1",91,89
2023/01/01,1100 UTC,0,"20,7","19,3",90,85
2023/01/01,1200 UTC,0,"22,2","20,7",86,77
2023/01/01,1300 UTC,0,"24,3","22,2",78,66
2023/01/01,1400 UTC,0,"26,4","24,3",70,57
2023/01/01,1500 UTC,0,"27,2","25,7",61,51
2023/01/01,1600 UTC,0,"28,5","26,2",59,46
2023/01/01,1700 UTC,0,29,"27,4",54,45
2023/01/01,1800 UTC,0,"29,3","27,6",51,44
2023/01/01,1900 UTC,0,"29,3","24,1",70,41
2023/01/01,2000 UTC,0,"26,8","24,2",69,58
2023/01/01,2100 UTC,0,"27,5","24,3",70,54
2023/01/01,2200 UTC,0,"24,3","23,1",76,69
2023/01/01,2300 UTC,0,"23,3","21,5",83,71
2023/01/02,0000 UTC,0,22,"21,3",85,81
2023/01/02,0100 UTC,0,"21,6","20,9",86,82
2023/01/02,0200 UTC,0,22,"21,4",84,80
2023/01/02,0300 UTC,0,"21,8","20,8",88,82
2023/01/02,0400 UTC,0,"21,4","20,9",88,85
2023/01/02,0500 UTC,0,21,"20,5",89,86
2023/01/02,0600 UTC,0,"21,9","20,8",88,74
2023/01/02,0700 UTC,0,"22,2","20,5",79,71
2023/01/02,0800 UTC,0,"21,6",20,83,73
2023/01/02,0900 UTC,0,"20,2","19,4",89,83
2023/01/02,1000 UTC,0,"22,8","19,6",89,69
2023/01/02,1100 UTC,0,"24,4","22,8",70,55
2023/01/02,1200 UTC,0,"25,5","24,3",57,50
2023/01/02,1300 UTC,0,"26,8","24,8",54,46
2023/01/02,1400 UTC,0,"27,5","26,1",51,43
2023/01/02,1500 UTC,0,"28,1","26,8",54,43
2023/01/02,1600 UTC,0,"28,5","26,8",54,46
2023/01/02,1700 UTC,0,29,"27,5",52,44
2023/01/02,1800 UTC,0,"28,9","27,1",53,44
2023/01/02,1900 UTC,"22,8","27,1","19,2",86,51
2023/01/02,2000 UTC,"0,4","21,4","20,5",87,73
2023/01/02,2100 UTC,"0,2","22,1","20,9",88,79
2023/01/02,2200 UTC,0,"22,6","21,9",86,77
2023/01/02,2300 UTC,0,"22,3","21,1",86,77
2023/01/03,0000 UTC,0,"21,5","20,4",86,82
2023/01/03,0100 UTC,0,"20,4","19,7",89,84
2023/01/03,0200 UTC,0,"20,1","19,6",88,87
2023/01/03,0300 UTC,"0,4","19,8","19,4",89,87
2023/01/03,0400 UTC,0,"19,4","19,1",89,88
2023/01/03,0500 UTC,0,"19,1","18,8",90,89
2023/01/03,0600 UTC,0,"18,8","18,5",92,90
2023/01/03,0700 UTC,0,"18,7","18,4",92,92
2023/01/03,0800 UTC,0,"18,5","18,2",92,92
2023/01/03,0900 UTC,0,"18,5","18,2",93,92
2023/01/03,1000 UTC,0,19,"18,5",93,93
2023/01/03,1100 UTC,0,"20,4","18,9",93,90
2023/01/03,1200 UTC,0,"23,4","20,4",90,66
2023/01/03,1300 UTC,0,"24,8","23,1",74,68
2023/01/03,1400 UTC,0,"26,2",24,72,59
2023/01/03,1500 UTC,0,"27,3","25,4",66,51
2023/01/03,1600 UTC,0,"27,5","25,5",65,47
2023/01/03,1700 UTC,0,"26,7","24,8",66,55
2023/01/03,1800 UTC,"0,8","26,2",22,80,58
2023/01/03,1900 UTC,0,"24,6","23,2",73,67
2023/01/03,2000 UTC,0,"23,4","22,8",70,67
2023/01/03,2100 UTC,0,"22,9","22,1",77,68
2023/01/03,2200 UTC,0,"22,1","21,4",82,77
2023/01/03,2300 UTC,0,"21,5","20,9",81,80
2023/01/04,0000 UTC,0,"21,2","20,8",81,79
2023/01/04,0100 UTC,0,"21,4","19,9",86,78
2023/01/04,0200 UTC,0,"20,6",20,87,85
2023/01/04,0300 UTC,0,"20,3","19,8",89,87
