Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
2023/01/01,0000 UTC,,,,,,,
2023/01/01,0100 UTC,,,,,,,
2023/01/01,0200 UTC,0,20,"19,6","19,3","18,8",96,94
2023/01/01,0300 UTC,0,20,"19,5","19,3","18,9",96,95
2023/01/01,0400 UTC,0,"19,7","18,7",19,"17,9",96,95
2023/01/01,0500 UTC,0,"18,7","17,5","17,9","16,5",95,92
2023/01/01,0600 UTC,0,"17,8","17,4","17,2","16,6",96,94
2023/01/01,0700 UTC,0,"17,7","17,5","17,3",17,98,96
2023/01/01,0800 UTC,0,18,"17,6","17,6","17,2",98,97
2023/01/01,0900 UTC,0,"18,1","17,9","17,9","17,6",99,98
2023/01/01,1000 UTC,0,"18,7","18,1","18,5","17,9",99,99
2023/01/01,1100 UTC,0,"19,1","18,6",19,"18,4",99,99
2023/01/01,1200 UTC,0,"20,7",19,"19,9","18,8",99,95
2023/01/01,1300 UTC,0,"23,7","20,7","20,2","19,2",95,78
2023/01/01,1400 UTC,0,"24,9",23,"20,3","18,8",81,70
2023/01/01,1500 UTC,0,"26,2","24,2",20,"18,6",74,65
2023/01/01,1600 UTC,0,"27,2",25,"19,5","17,9",70,58
2023/01/01,1700 UTC,0,"27,8","25,9","18,7","16,9",62,53
2023/01/01,1800 UTC,0,"28,1","26,6","18,9","17,5",60,54
2023/01/01,1900 UTC,0,28,"26,6","18,8",17,60,53
2023/01/01,2000 UTC,0,"28,2","27,2","18,1","16,8",56,53
2023/01/01,2100 UTC,0,"27,4","26,2","18,3","16,7",62,53
2023/01/01,2200 UTC,0,"26,2","23,2","18,9","17,8",77,61
2023/01/01,2300 UTC,0,"23,3","22,5","18,9","18,5",79,76
2023/01/02,0000 UTC,0,"22,9","21,9","18,9","18,4",81,78
2023/01/02,0100 UTC,0,23,"21,8","19,2","18,7",85,77
2023/01/02,0200 UTC,0,"22,8","21,8","19,3","18,9",86,79
2023/01/02,0300 UTC,0,"22,1","21,5","19,3","19,1",87,83
2023/01/02,0400 UTC,0,"21,7",21,"19,3","19,1",90,86
2023/01/02,0500 UTC,0,"21,2","20,9","19,3","18,9",90,88
2023/01/02,0600 UTC,0,21,"20,6","18,9","18,3",89,87
2023/01/02,0700 UTC,0,"20,6",20,"18,3","17,9",88,86
2023/01/02,0800 UTC,0,"20,5","19,8","17,9","17,6",88,85
2023/01/02,0900 UTC,0,"19,9","19,3","17,8","17,5",90,86
2023/01/02,1000 UTC,0,21,"19,9","17,8","17,4",86,81
2023/01/02,1100 UTC,0,22,"20,9","18,8","17,5",83,80
2023/01/02,1200 UTC,0,"24,2",22,19,"17,5",81,69
2023/01/02,1300 UTC,0,"25,7","23,2","18,4","17,3",73,62
2023/01/02,1400 UTC,0,"26,4","24,5","17,8","16,5",64,56
2023/01/02,1500 UTC,0,"26,9","25,2","18,2","16,5",62,54
2023/01/02,1600 UTC,0,"27,9","25,5","18,2","16,4",62,51
2023/01/02,1700 UTC,0,"28,4","26,1","17,9",15,58,45
2023/01/02,1800 UTC,0,"28,9","27,7","17,8","15,6",52,46
2023/01/02,1900 UTC,0,"28,5","27,4","17,5","15,8",54,47
2023/01/02,2000 UTC,0,"28,1",27,"17,3",16,54,50
2023/01/02,2100 UTC,0,"27,4","25,8","17,4","16,3",60,51
